,Date,Open,High,Low,Close,Volume
0,2021-04-15,0.1052,0.112,0.10155,0.10801,303975.0
1,2021-04-16,0.09832,0.10665,0.09169,0.0967,185055.00000000003
2,2021-04-17,0.10119,0.11,0.09408,0.10114,326289.49999999994
3,2021-04-18,0.08327,0.10171,0.07451,0.08376,120247.59999999999
4,2021-04-19,0.07716,0.0915,0.07305,0.08982,306069.1
5,2021-04-20,0.07327,0.08333,0.06542,0.07388,138423.1
6,2021-04-21,0.07235,0.10389,0.06963,0.07422,1422573.3000000003
7,2021-04-22,0.09159,0.10559,0.07364,0.09159,1535116.7
8,2021-04-23,0.06094,0.079,0.051,0.06441,804276.4000000001
9,2021-04-24,0.06929,0.07239,0.06023,0.06529,197557.30000000002
10,2021-04-25,0.0712,0.07267,0.057,0.06421,311889.80000000005
11,2021-04-26,0.06656,0.07409,0.06186,0.07151,277160.39999999997
12,2021-04-27,0.08187,0.087,0.07113,0.0808,587451.1
13,2021-04-28,0.08083,0.08555,0.07105,0.08035,230195.2
14,2021-04-29,0.0829,0.08362,0.07531,0.0808,123252.00000000001
15,2021-04-30,0.08399,0.08912,0.07784,0.08142,311815.20000000007
16,2021-05-01,0.08418,0.09629,0.08216,0.08342,575021.4
17,2021-05-02,0.09077,0.09394,0.08429,0.09131,290016.10000000003
18,2021-05-03,0.09213,0.10298,0.0894,0.09072,553174.0
19,2021-05-04,0.08388,0.09098,0.0797,0.08052,452052.4999999999
20,2021-05-05,0.08201,0.08593,0.07699,0.07946,260613.8
21,2021-05-06,0.0805,0.0852,0.07725,0.07962,219223.39999999997
22,2021-05-07,0.07778,0.0899,0.077,0.08072,238556.4
23,2021-05-08,0.07961,0.085,0.078,0.08119,144054.6
24,2021-05-09,0.08,0.08189,0.07495,0.08,134828.80000000002
25,2021-05-10,0.07736,0.08015,0.065,0.0728,81815.20000000001
26,2021-05-11,0.07056,0.07213,0.06425,0.07119,315524.8
27,2021-05-12,0.06686,0.07222,0.05904,0.07095,159818.5
28,2021-05-13,0.05624,0.06747,0.052,0.0552,150596.80000000005
29,2021-05-14,0.06156,0.06418,0.056,0.06368,208786.6
30,2021-05-15,0.05793,0.06146,0.055,0.05768,249916.90000000005
31,2021-05-16,0.05943,0.07849,0.05714,0.06977,1333397.7999999998
32,2021-05-17,0.06131,0.06245,0.05413,0.05444,481491.5000000001
