,Date,Open,High,Low,Close,Volume
0,2020-12-15,0.4048,0.4368,0.3977,0.4048,1943145.67
1,2020-12-16,0.3955,0.4045,0.3907,0.3972,4777847.710000002
2,2020-12-17,0.4,0.4078,0.3901,0.4031,45371.270000000004
3,2020-12-18,0.377,0.3975,0.3736,0.3755,22676.209999999995
4,2020-12-19,0.3805,0.3907,0.375,0.3767,17087.67
5,2020-12-20,0.3801,0.4054,0.3724,0.3833,14497.06
6,2020-12-21,0.385,0.3863,0.3523,0.364,1635.37
7,2020-12-22,0.3554,0.3641,0.347,0.347,1540.31
8,2020-12-23,0.3288,0.3479,0.308,0.3209,8647.74
9,2020-12-24,0.308,0.3234,0.3016,0.3234,1444.65
10,2020-12-25,0.3238,0.3301,0.3114,0.321,24702.48
11,2020-12-26,0.3106,0.3177,0.3102,0.3177,1732.6699999999998
12,2020-12-27,0.3042,0.3182,0.3042,0.3177,4853.48
13,2020-12-28,0.313,0.344,0.3078,0.3396,36110.77
14,2020-12-29,0.3229,0.3353,0.3031,0.3155,11184.16
15,2020-12-30,0.3123,0.32,0.2923,0.3123,5882.3
16,2020-12-31,0.2919,0.2942,0.2818,0.2923,5902.719999999999
17,2021-01-01,0.2942,0.3028,0.2915,0.3028,3506.2
18,2021-01-02,0.2919,0.2988,0.287,0.2926,4407.6900000000005
19,2021-01-03,0.2769,0.288,0.2705,0.2792,2999.8900000000003
20,2021-01-04,0.2819,0.3064,0.2805,0.3044,7870.65
21,2021-01-05,0.2861,0.306,0.2861,0.2971,1162.6499999999999
22,2021-01-06,0.3243,0.3348,0.2954,0.3178,5435.47
23,2021-01-07,0.3241,0.3483,0.3189,0.3258,9694.140000000001
24,2021-01-08,0.3076,0.34,0.3072,0.3187,3288.43
25,2021-01-09,0.3447,0.3552,0.3192,0.3315,11687.1
26,2021-01-10,0.369,0.4559,0.3313,0.4,27284.769999999997
27,2021-01-11,0.3517,0.4063,0.3083,0.3285,7470.039999999999
28,2021-01-12,0.3275,0.3523,0.3214,0.3483,1254.05
29,2021-01-13,0.3273,0.3413,0.3267,0.3388,1645.84
30,2021-01-14,0.3465,0.357,0.3377,0.3465,1998.4500000000003
31,2021-01-15,0.3564,0.3649,0.3398,0.3547,2853.9400000000005
32,2021-01-16,0.3573,0.3679,0.3573,0.3573,3960.63
33,2021-01-17,0.3594,0.3727,0.3467,0.3557,2519.4700000000003
