,Date,Open,High,Low,Close,Volume
0,2020-04-29,0.4548,0.4985,0.389,0.4616,374004.0400000001
1,2020-04-30,0.4322,0.485,0.4226,0.462,189598.45
2,2020-05-01,0.4104,0.4226,0.37,0.3736,367441.94999999995
3,2020-05-02,0.3565,0.3866,0.3342,0.385,339121.11999999994
4,2020-05-03,0.4113,0.4341,0.3101,0.3518,718177.3
5,2020-05-04,0.3825,0.4681,0.3611,0.4247,760442.5299999998
6,2020-05-05,0.4104,0.4296,0.3906,0.3979,166078.84999999998
7,2020-05-06,0.3956,0.4066,0.3673,0.4002,136523.15000000002
8,2020-05-07,0.366,0.39,0.3583,0.3686,200944.7
9,2020-05-08,0.374,0.39,0.3603,0.37,107373.82
10,2020-05-09,0.3669,0.3705,0.354,0.365,83702.31000000001
11,2020-05-10,0.311,0.3563,0.2999,0.323,145575.96000000002
12,2020-05-11,0.3351,0.3538,0.307,0.3315,132070.2
13,2020-05-12,0.3291,0.3399,0.3185,0.3282,67830.51
14,2020-05-13,0.3234,0.3309,0.3203,0.3284,31335.180000000004
15,2020-05-14,0.3203,0.3411,0.3155,0.3265,52971.53
16,2020-05-15,0.3272,0.3375,0.3136,0.318,33510.340000000004
17,2020-05-16,0.3185,0.3191,0.3091,0.3172,51060.32000000001
18,2020-05-17,0.3205,0.353,0.3096,0.3124,217211.81
19,2020-05-18,0.326,0.3468,0.32,0.3284,113554.64000000001
20,2020-05-19,0.3209,0.3398,0.3166,0.3205,137195.43
21,2020-05-20,0.3212,0.3375,0.3122,0.3258,155618.51
22,2020-05-21,0.3212,0.3229,0.2825,0.2996,115017.31000000001
23,2020-05-22,0.2953,0.3052,0.2861,0.2993,69035.17
24,2020-05-23,0.295,0.3037,0.2929,0.2929,42038.31
25,2020-05-24,0.2969,0.2998,0.2702,0.285,82918.48999999998
26,2020-05-25,0.2827,0.2915,0.2615,0.2716,89759.08
27,2020-05-26,0.2799,0.2827,0.2708,0.2761,58110.93000000001
28,2020-05-27,0.277,0.2877,0.2727,0.2791,98238.79999999997
29,2020-05-28,0.2705,0.2799,0.2705,0.2778,34627.81
30,2020-05-29,0.272,0.2757,0.271,0.2733,40010.24999999999
31,2020-05-30,0.267,0.2742,0.256,0.2679,70546.73999999999
32,2020-05-31,0.2414,0.2655,0.2398,0.2641,81566.18999999999
33,2020-06-01,0.2432,0.2704,0.2362,0.2574,71678.10999999999
34,2020-06-02,0.2507,0.2611,0.2356,0.2397,53843.67
35,2020-06-03,0.2464,0.25,0.238,0.2409,17026.010000000002
36,2020-06-04,0.2455,0.2629,0.2437,0.2493,26719.56
37,2020-06-05,0.2593,0.2665,0.2582,0.2582,42712.22
38,2020-06-06,0.2597,0.2597,0.2492,0.2545,11794.240000000002
39,2020-06-07,0.2505,0.2549,0.2454,0.2549,24581.789999999997
40,2020-06-08,0.2506,0.2554,0.249,0.251,12042.369999999999
41,2020-06-09,0.2504,0.2552,0.2501,0.2502,5352.699999999999
42,2020-06-10,0.254,0.2542,0.2487,0.2489,9350.05
43,2020-06-11,0.248,0.2648,0.24,0.2521,102800.87999999998
44,2020-06-12,0.2453,0.2546,0.2415,0.2431,27573.59
45,2020-06-13,0.2549,0.2578,0.2464,0.255,30685.57
46,2020-06-14,0.2632,0.2825,0.2555,0.2634,80922.38
47,2020-06-15,0.2469,0.2619,0.2388,0.249,17157.32
