,Date,Open,High,Low,Close,Volume
0,2020-11,0.811,1.916,0.725,1.433,20161.397999999997
1,2020-12,1.433,1.847,1.139,1.3,17966.767
2,2021-01,1.409,3.0,1.198,2.327,71341.689
3,2021-02,2.18,5.2,2.174,4.071,229906.27199999997
4,2021-03,4.279,13.659,3.85,9.411,158522.057
5,2021-04,10.4,23.95,9.0,16.502,131076.15999999997
6,2021-05,16.557,23.95,8.448,16.303,130695.38099999998
7,2021-06,15.552,16.654,9.0,12.572,62866.05000000001
8,2021-07,12.467,15.035,9.345,13.96,37204.985
9,2021-08,13.818,26.632,12.794,21.674,59048.831000000006
10,2021-09,22.923,25.032,16.65,17.42,12839.212
11,2021-10,18.36,32.489,17.14,31.5,15971.539999999999
