,Date,Open,High,Low,Close,Volume
0,2021-10-12,623.6,632.6,608.0,623.6,0.939
1,2021-10-13,628.6,631.5,601.0,630.9,1.11
2,2021-10-14,682.1,702.8,507.0,654.0,2.7929999999999997
3,2021-10-15,695.5,740.0,600.0,729.7,15.84
4,2021-10-16,719.8,770.5,650.3,734.3,5.852
5,2021-10-17,720.8,750.4,716.6,718.8,2.6699999999999995
6,2021-10-18,715.7,743.7,710.0,715.7,3.2319999999999998
7,2021-10-19,716.1,736.3,650.0,662.2,1.5390000000000001
8,2021-10-20,718.0,800.0,661.0,788.1,8.550999999999998
9,2021-10-21,789.3,826.2,770.0,773.2,4.556
10,2021-10-22,773.2,807.0,773.2,785.9,1.5179999999999998
11,2021-10-23,787.9,819.3,777.5,799.5,1.887
12,2021-10-24,808.5,831.4,799.5,831.4,4.316
13,2021-10-25,846.0,862.3,808.5,835.2,2.1780000000000004
14,2021-10-26,867.3,873.4,849.9,850.0,2.2289999999999996
15,2021-10-27,919.8,919.8,783.1,866.1,8.384
16,2021-10-28,836.9,919.9,822.3,871.0,5.611999999999999
17,2021-10-29,972.0,1999.0,919.8,919.8,41.517
18,2021-10-30,966.2,1120.0,925.0,961.5,16.954
19,2021-10-31,995.8,1109.8,960.0,1000.0,14.900999999999998
20,2021-11-01,1009.9,1050.0,961.1,1039.6,10.156999999999998
21,2021-11-02,1203.7,1217.3,1050.0,1089.0,37.69800000000001
22,2021-11-03,1247.8,1317.6,1156.3,1249.9,23.111000000000004
23,2021-11-04,1235.6,1250.4,1202.0,1225.1,14.417999999999997
24,2021-11-05,1297.1,1319.9,1245.9,1270.8,25.806999999999995
25,2021-11-06,1250.0,1250.0,1115.1,1202.5,17.575000000000006
26,2021-11-07,1249.9,1375.0,1116.2,1160.0,14.093000000000002
27,2021-11-08,1201.0,1285.0,1118.0,1240.5,4.699
28,2021-11-09,1253.2,1271.6,1121.5,1271.0,5.898000000000001
29,2021-11-10,1213.5,1238.7,1183.8,1223.9,5.974999999999999
30,2021-11-11,1139.5,1216.6,1112.2,1149.6,8.536
