,Date,Open,High,Low,Close,Volume
0,2020-11-24,1.3,1.45,1.3,1.3163,16667.36
1,2020-11-25,1.2869,1.3399,1.2393,1.2809,11570.86
2,2020-11-26,1.0568,1.2563,0.9636,1.0094,10015.01
3,2020-11-27,1.0932,1.1129,1.0399,1.0399,3529.81
4,2020-11-28,1.1455,1.17,1.0974,1.15,8457.960000000001
5,2020-11-29,1.1838,1.1838,1.113,1.1524,1335.18
6,2020-11-30,1.1553,1.223,1.0724,1.1871,4696.8099999999995
7,2020-12-01,1.2428,1.3387,1.1817,1.3111,12898.840000000004
8,2020-12-02,1.5527,1.5595,1.2483,1.2859,26580.469999999998
9,2020-12-03,1.3821,1.4906,1.371,1.3851,3718.0
10,2020-12-04,1.5916,1.6714,1.4281,1.5213,13011.720000000001
11,2020-12-05,1.615,1.88,1.5617,1.766,15753.98
12,2020-12-06,1.5786,1.7006,1.5607,1.6427,4357.87
13,2020-12-07,1.687,1.7145,1.5177,1.6839,4453.09
14,2020-12-08,1.9,2.2667,1.7,1.9397,24552.709999999995
15,2020-12-09,1.9752,2.322,1.7342,2.005,21277.969999999998
16,2020-12-10,2.0133,2.35,1.983,2.0435,6256.4400000000005
17,2020-12-11,1.8442,2.1362,1.7935,1.9366,4127.24
18,2020-12-12,2.1391,2.1628,1.8696,2.1446,4462.34
19,2020-12-13,2.1663,2.25,2.0339,2.25,8082.000000000001
20,2020-12-14,2.7,3.4999,2.1913,2.4884,26765.13
21,2020-12-15,3.3864,3.4193,2.6918,3.251,35596.780000000006
22,2020-12-16,3.3565,3.9483,2.3,3.3264,60064.31000000001
23,2020-12-17,2.9726,3.408,2.95,3.0294,28711.500000000004
24,2020-12-18,2.9803,3.55,2.8264,3.138,27982.300000000003
25,2020-12-19,3.2461,3.3793,3.024,3.3399,19410.929999999997
26,2020-12-20,3.0375,3.1713,2.9157,2.9899,7507.2300000000005
27,2020-12-21,2.9614,3.8799,2.7078,3.7,26480.370000000003
28,2020-12-22,3.7578,4.75,3.108,3.5212,17851.45
29,2020-12-23,4.5434,5.2343,3.9073,4.3417,20184.809999999994
30,2020-12-24,4.6629,5.0848,3.83,4.0495,13627.93
31,2020-12-25,4.2,4.8563,4.0393,4.1922,11889.97
32,2020-12-26,4.4148,4.7,3.8577,4.1383,16647.54
