,Date,Open,High,Low,Close,Volume
0,2020-12,1.2428,5.2343,1.1817,4.0343,504777.84
1,2021-01,4.06,10.9,1.49,8.7636,176883.18999999997
2,2021-02,9.15,19.9999,8.8725,11.956,119341.38
3,2021-03,12.9757,15.0,10.0899,13.2403,73279.62
4,2021-04,14.085,25.0,11.0,21.911,63521.84
5,2021-05,21.1121,25.0,5.829,9.27,66863.31999999999
6,2021-06,9.039,11.3,4.75,6.946,40520.98
7,2021-07,6.7961,8.301,5.0,6.589,44339.68000000001
8,2021-08,6.878,14.7875,6.32,11.305,58056.91
9,2021-09,11.1109,16.428,7.993,9.575,48483.399999999994
10,2021-10,10.574,14.3011,9.611,10.7706,42299.49999999999
