,Date,Open,High,Low,Close,Volume
0,2019-07,0.387,0.4,0.2642,0.2879,37885.33
1,2019-08,0.2864,0.2955,0.2333,0.2524,27250.540000000005
2,2019-09,0.2489,0.3052,0.2357,0.2669,52963.079999999994
3,2019-10,0.2669,0.3002,0.25,0.281,48454.13
4,2019-11,0.2726,0.2805,0.1999,0.2156,75066.15000000001
5,2019-12,0.202,0.2107,0.1498,0.159,61371.67
6,2020-01,0.1607,0.3102,0.1577,0.2937,122153.13
7,2020-02,0.2977,0.3644,0.205,0.2148,319598.8300000001
8,2020-03,0.21,0.2358,0.0923,0.144,278953.71
9,2020-04,0.1384,0.192,0.1369,0.18,385722.24999999994
10,2020-05,0.1859,0.24,0.1704,0.2346,318766.08
11,2020-06,0.2214,0.255,0.1986,0.2148,236329.93
12,2020-07,0.2247,0.3056,0.22,0.299,167967.04
13,2020-08,0.3061,0.4391,0.2827,0.3602,233510.39
14,2020-09,0.3638,0.3714,0.2349,0.269,104763.43999999999
15,2020-10,0.2837,0.2931,0.249,0.2584,42382.92999999999
16,2020-11,0.2496,0.4255,0.23,0.3466,236479.9893
17,2020-12,0.3451,0.3551,0.26,0.2968,201297.81
18,2021-01,0.2952,0.5063,0.2803,0.4208,461858.06
19,2021-02,0.4245,1.5879,0.4022,1.1289,839416.0599999999
20,2021-03,1.15,1.95,1.13,1.485,368162.24
21,2021-04,1.5828,3.8032,1.4562,2.1063,598649.86
22,2021-05,2.1097,2.5095,0.65,1.0435,486888.54000000004
23,2021-06,1.1586,1.6396,0.5882,0.8085,303629.75
24,2021-07,0.8442,0.9274,0.581,0.8415,154023.0
25,2021-08,0.9526,1.22,0.81,1.0036,241023.99999999997
26,2021-09,1.1374,2.0698,0.9698,1.1465,660615.4500000001
27,2021-10,1.24,1.6,1.1379,1.42,393258.83999999997
