,Date,Open,High,Low,Close,Volume
0,2020-11,0.01952,0.02673,0.019,0.02184,1307982.1984
1,2020-12,0.02786,0.03671,0.0205,0.02243,2648450.0
2,2021-01,0.02193,0.0389,0.02131,0.03042,2460194.0
3,2021-02,0.03223,0.07999,0.03063,0.04444,6043287.0
4,2021-03,0.0451,0.15,0.041,0.12,12319419.0
5,2021-04,0.13,0.27,0.06727,0.12112,15733835.0
6,2021-05,0.13095,0.161,0.05,0.06638,2618239.0
7,2021-06,0.06648,0.07476,0.0313,0.04796,1964112.0
8,2021-07,0.05081,0.05602,0.03615,0.05067,1057589.0
9,2021-08,0.05369,0.08227,0.04969,0.07161,2351789.0
10,2021-09,0.07222,0.10017,0.05856,0.06352,2391105.0
11,2021-10,0.06325,0.09617,0.06324,0.08383,1985809.0
