,Date,Open,High,Low,Close,Volume
0,2020-07-14,1.6629,2.0,1.6075,1.8,822891.68
1,2020-07-15,2.0933,2.1293,1.9501,1.9949,17044.209999999995
2,2020-07-16,2.0413,2.1346,1.83,1.95,4251.53
3,2020-07-17,2.194,2.2606,1.9293,2.155,5016.1900000000005
4,2020-07-18,2.4243,2.4243,2.0781,2.2383,1818.69
5,2020-07-19,2.8728,3.0,2.4027,2.5498,15359.380000000001
6,2020-07-20,2.9912,3.5739,2.5751,3.335,26450.97
7,2020-07-21,2.6571,3.1,2.47,2.6318,23652.71
8,2020-07-22,2.8801,3.1759,2.7814,2.9408,14099.269999999997
9,2020-07-23,2.9067,3.1214,2.6555,2.7254,9280.009999999998
10,2020-07-24,2.5668,2.8603,2.4409,2.655,8579.250000000002
11,2020-07-25,2.552,2.6257,2.4,2.552,12092.66
12,2020-07-26,2.302,2.434,2.2,2.3716,17828.190000000002
13,2020-07-27,2.0751,2.4,1.9203,2.0436,16915.45
14,2020-07-28,2.4412,2.7,2.05,2.3521,24253.53
15,2020-07-29,2.6641,2.7122,2.4795,2.485,14214.939999999999
16,2020-07-30,2.4068,2.5362,2.35,2.3908,12970.560000000001
17,2020-07-31,2.4343,2.48,2.3429,2.4111,8526.220000000001
18,2020-08-01,2.454,2.55,2.4111,2.481,7420.029999999999
19,2020-08-02,2.345,2.4251,2.065,2.3428,10512.320000000002
20,2020-08-03,2.4853,2.4969,2.301,2.4824,4785.83
21,2020-08-04,2.6602,2.86,2.41,2.5515,13651.979999999998
22,2020-08-05,2.8315,3.0,2.6978,2.7013,12000.830000000002
23,2020-08-06,3.6382,3.6382,2.9959,3.6382,17175.34
24,2020-08-07,3.4458,3.7139,3.2314,3.5131,7910.06
25,2020-08-08,4.2916,4.5,3.4341,4.4708,17641.199999999997
26,2020-08-09,4.01,4.6787,3.9352,4.0348,17496.01
27,2020-08-10,4.5069,5.0471,4.1006,4.6765,16777.14
28,2020-08-11,4.3687,4.5667,3.8354,4.4076,15293.540000000005
29,2020-08-12,4.3042,4.54,3.8401,4.2647,11198.929999999998
30,2020-08-13,4.2783,4.4741,3.9543,4.2986,12116.1
31,2020-08-14,4.1768,4.4,4.1044,4.1527,7975.6799999999985
32,2020-08-15,4.6586,4.8,4.0819,4.2001,10610.140000000003
33,2020-08-16,4.5695,5.3675,4.5328,5.1122,14048.63
34,2020-08-17,5.111,5.4819,4.67,5.3193,5569.870000000001
35,2020-08-18,4.3953,4.9286,4.1,4.8688,5212.43
36,2020-08-19,4.2999,4.5512,3.9749,4.1718,2790.1299999999997
37,2020-08-20,4.6224,4.8587,4.1988,4.5434,4697.579999999999
38,2020-08-21,4.011,4.7176,3.8826,4.102,5662.319999999999
39,2020-08-22,3.9819,4.1306,3.5312,3.945,4434.4
40,2020-08-23,4.2048,4.2359,3.7634,3.8916,3463.02
41,2020-08-24,4.2553,4.2925,4.0404,4.26,3047.4
42,2020-08-25,3.9457,4.15,3.8,4.0774,1291.5
43,2020-08-26,3.9214,4.2434,3.8669,3.9179,3228.88
44,2020-08-27,4.1809,4.2,3.7671,3.8895,2439.21
45,2020-08-28,4.03,4.1384,3.8178,4.0988,1755.16
46,2020-08-29,4.1757,4.1757,4.0021,4.1688,3502.0200000000004
47,2020-08-30,4.2943,4.5,4.0862,4.0862,5142.07
48,2020-08-31,4.0534,4.3602,3.9932,4.1737,4269.29
49,2020-09-01,4.0525,4.0525,3.8366,3.875,6581.019999999999
50,2020-09-02,3.6142,3.944,3.2,3.8952,5552.51
51,2020-09-03,3.2938,3.6142,2.8,2.935,8691.660000000002
52,2020-09-04,2.4906,2.8477,2.345,2.7361,9286.550000000001
53,2020-09-05,2.2255,2.8599,2.0118,2.1432,15947.8
54,2020-09-06,2.3274,2.5,2.057,2.3274,6237.610000000001
55,2020-09-07,2.2585,2.4543,2.1,2.4528,1823.7
56,2020-09-08,2.3274,2.5835,2.2506,2.3862,4115.37
57,2020-09-09,2.271,2.5526,2.2433,2.3,3886.9399999999996
58,2020-09-10,2.5996,2.8327,2.4806,2.5738,6400.79
59,2020-09-11,2.6276,2.8327,2.5603,2.6526,3159.129999999999
60,2020-09-12,2.7069,2.9776,2.6316,2.7947,6861.599999999999
61,2020-09-13,2.9403,2.9788,2.5403,2.9298,5015.089999999999
62,2020-09-14,2.6906,2.7225,2.5791,2.6732,2498.1099999999997
63,2020-09-15,2.5922,2.6484,2.38,2.5379,1620.9999999999998
64,2020-09-16,2.3112,2.4633,2.2,2.4323,2867.7
65,2020-09-17,2.2665,2.5526,2.2555,2.43,4696.349999999999
66,2020-09-18,2.4525,2.54,2.3033,2.3033,2903.4500000000003
67,2020-09-19,2.6528,2.6956,2.452,2.6528,5486.130000000001
68,2020-09-20,2.4231,2.5913,2.3913,2.5895,954.6399999999999
69,2020-09-21,2.0678,2.5887,2.067,2.5887,2960.64
70,2020-09-22,2.08,2.1242,1.9478,2.075,2369.9300000000003
71,2020-09-23,2.1105,2.1595,1.885,2.0543,2056.64
72,2020-09-24,1.9923,2.0225,1.7759,1.9967,4300.67
73,2020-09-25,2.0692,2.2,1.935,2.0692,2764.7899999999995
74,2020-09-26,2.17,2.26,2.09,2.1425,2843.3000000000006
75,2020-09-27,2.12,2.2869,2.0674,2.2666,1067.27
