,Date,Open,High,Low,Close,Volume
0,2020-10-24,0.16566,0.16794,0.16566,0.16709,407.0
1,2020-10-25,0.16566,0.16888,0.15,0.16832,1532.0
2,2020-10-26,0.15,0.16663,0.15,0.16663,246.0
3,2020-10-27,0.15,0.16038,0.15,0.15441,4333.0
4,2020-10-28,0.15,0.16038,0.15,0.15342,4493.0
5,2020-10-29,0.14504,0.15,0.14504,0.14504,88.0
6,2020-10-30,0.12727,0.14504,0.1221,0.12244,1376.0
7,2020-10-31,0.13347,0.14136,0.12244,0.13347,2183.0
8,2020-11-01,0.14902,0.15128,0.14136,0.14365,12921.0
9,2020-11-02,0.14645,0.14645,0.13809,0.14003,835.0
10,2020-11-03,0.13199,0.14003,0.13199,0.13199,918.0
11,2020-11-04,0.12,0.13199,0.12,0.12,1472.0
12,2020-11-05,0.12,0.12285,0.11941,0.12,284.0
13,2020-11-06,0.12725,0.13795,0.12285,0.13426,67445.0
14,2020-11-07,0.14914,0.15759,0.13795,0.14914,9868.0
15,2020-11-08,0.14914,0.15267,0.14698,0.14914,61786.0
16,2020-11-09,0.15915,0.16552,0.15232,0.15567,1904.0
17,2020-11-10,0.16159,0.24606,0.15698,0.16113,24040.0
18,2020-11-11,0.20865,0.2173,0.18771,0.19187,99606.0
19,2020-11-12,0.17962,0.18772,0.17399,0.1768,9370.0
20,2020-11-13,0.19152,0.19473,0.1768,0.1768,41685.0
21,2020-11-14,0.19152,0.19152,0.17496,0.17879,631.0
22,2020-11-15,0.18434,0.18588,0.17785,0.1809,5385.0
23,2020-11-16,0.17785,0.19256,0.17785,0.19256,36531.0
24,2020-11-17,0.18211,0.18852,0.18094,0.18852,18309.0
25,2020-11-18,0.1769,0.18417,0.17146,0.18369,50224.0
26,2020-11-19,0.17463,0.18851,0.1739,0.18669,3698.0
27,2020-11-20,0.19123,0.19123,0.18037,0.184,5619.0
28,2020-11-21,0.19123,0.21,0.18278,0.21,28223.0
29,2020-11-22,0.19249,0.19434,0.18512,0.18512,4428.0
30,2020-11-23,0.18982,0.20124,0.18982,0.1996,7749.0
31,2020-11-24,0.20148,0.21547,0.19633,0.199,27611.0
32,2020-11-25,0.2215,0.23519,0.21547,0.21611,23491.0
33,2020-11-26,0.19424,0.23117,0.17716,0.19424,4029.0
34,2020-11-27,0.18041,0.1901,0.17444,0.17444,2416.0
35,2020-11-28,0.19309,0.19966,0.179,0.19621,2400.0
36,2020-11-29,0.19842,0.20145,0.19485,0.19842,13795.0
37,2020-11-30,0.19842,0.20174,0.19245,0.19448,1987.0
38,2020-12-01,0.20174,0.20386,0.19076,0.20174,9279.0
39,2020-12-02,0.19783,0.20464,0.19076,0.19783,4469.0
40,2020-12-03,0.19752,0.20464,0.19561,0.19693,2171.0
41,2020-12-04,0.19611,0.19693,0.18969,0.18969,494.0
42,2020-12-05,0.18609,0.19222,0.18609,0.18969,4528.0
43,2020-12-06,0.19152,0.19152,0.18623,0.18623,150.0
