,Date,Open,High,Low,Close,Volume
0,2018-07-23,83.05,85.83,81.921,84.81,17.117
1,2018-07-24,86.83,88.8,80.8,88.17,24.335000000000004
2,2018-07-25,85.93,88.75,84.84,87.16,27.618000000000002
3,2018-07-26,86.47,87.8,83.48,86.47,16.840000000000003
4,2018-07-27,83.0,87.8,81.0,82.55,22.016
5,2018-07-28,83.46,89.0,83.19,84.7,32.873999999999995
6,2018-07-29,83.84,84.61,83.09,83.12,13.304999999999998
7,2018-07-30,83.55,84.76,81.0,81.05,23.715000000000003
8,2018-07-31,80.0,84.84,70.001,84.839,14.010000000000002
9,2018-08-01,78.5,84.285,71.008,78.5,29.029
10,2018-08-02,76.94,78.36,75.48,77.885,27.479
11,2018-08-03,77.61,77.83,74.66,77.61,31.143
12,2018-08-04,76.19,78.225,72.86,77.77,38.07300000000001
13,2018-08-05,72.59,74.91,72.16,73.63,26.139999999999997
14,2018-08-06,73.53,75.88,73.25,73.25,39.85099999999999
15,2018-08-07,73.53,75.2,68.0,72.1,33.513
16,2018-08-08,68.0,72.1,61.27,67.0,45.025999999999996
17,2018-08-09,63.98,63.98,61.63,62.42,33.016000000000005
18,2018-08-10,61.6,68.0,60.84,61.41,47.64000000000001
19,2018-08-11,55.0,61.6,54.93,56.71,53.532999999999994
20,2018-08-12,58.92,61.25,57.96,58.95,28.88
21,2018-08-13,59.0,61.0,56.11,59.05,79.66
22,2018-08-14,51.55,56.11,50.52,50.92,73.734
23,2018-08-15,55.99,59.03,53.36,59.03,56.821000000000005
24,2018-08-16,55.62,56.93,54.42,54.64,39.145
25,2018-08-17,56.16,61.13,53.0,58.37,27.934999999999995
26,2018-08-18,59.19,61.63,54.92,58.64,45.975
27,2018-08-19,57.01,59.01,55.98,57.66,37.707
28,2018-08-20,56.11,58.24,55.09,56.2,50.923
29,2018-08-21,56.5,57.6,55.001,57.55,8.805
30,2018-08-22,57.94,58.57,54.07,54.64,77.80199999999998
31,2018-08-23,55.08,57.78,54.07,56.69,126.115
32,2018-08-24,56.33,58.0,55.46,57.08,51.221000000000004
33,2018-08-25,57.59,65.0,57.15,57.83,43.86600000000001
34,2018-08-26,56.4,58.19,55.85,56.769,42.976
35,2018-08-27,56.4,60.0,56.4,57.035,97.28300000000003
36,2018-08-28,62.34,62.34,59.5,60.28,63.40099999999999
37,2018-08-29,62.0,63.27,60.77,62.67,38.474000000000004
38,2018-08-30,60.17,61.35,58.63,59.0,37.367
39,2018-08-31,59.39,62.55,59.0,60.29,17.678
40,2018-09-01,63.11,68.36,61.65,61.65,69.929
41,2018-09-02,66.0,67.41,64.35,65.89,32.42
42,2018-09-03,65.18,66.23,64.21,66.23,47.564
43,2018-09-04,66.49,69.27,66.17,66.17,70.03399999999999
44,2018-09-05,68.47,68.88,58.38,60.69,85.76100000000001
45,2018-09-06,56.5,58.38,54.44,55.4,51.641000000000005
46,2018-09-07,57.38,58.52,55.33,56.0,71.363
47,2018-09-08,56.75,58.45,52.37,52.37,44.566
48,2018-09-09,54.86,57.45,52.37,54.86,25.646
49,2018-09-10,54.7,55.84,53.4,54.52,40.833000000000006
50,2018-09-11,52.06,54.64,50.71,54.37,40.327
51,2018-09-12,51.7,52.28,47.57,51.7,55.59
52,2018-09-13,54.53,55.0,51.24,52.04,36.357
53,2018-09-14,53.74,58.45,52.89,58.45,28.52
54,2018-09-15,53.15,58.45,53.0,58.45,68.082
55,2018-09-16,55.74,57.75,54.72,55.8,56.098
56,2018-09-17,55.9,57.75,51.48,52.85,198.223
57,2018-09-18,53.09,55.59,51.0,53.49,140.72
58,2018-09-19,52.96,54.64,52.0,52.96,59.25699999999998
59,2018-09-20,54.47,56.75,52.97,54.0,109.127
60,2018-09-21,56.71,62.13,56.04,62.0,227.45400000000004
61,2018-09-22,60.33,61.38,57.09,61.27,121.87400000000001
62,2018-09-23,60.46,63.77,60.05,60.65,112.39199999999998
63,2018-09-24,59.09,61.36,57.05,59.24,121.56200000000001
64,2018-09-25,55.2,57.72,55.2,56.51,70.01499999999999
65,2018-09-26,56.51,59.5,56.48,58.49,88.33099999999999
66,2018-09-27,58.04,65.28,56.58,58.04,107.62499999999999
67,2018-09-28,61.99,64.31,60.6,64.14,76.424
68,2018-09-29,59.29,62.47,59.29,61.5,84.049
69,2018-09-30,60.8,63.0,60.57,60.89,73.74800000000002
70,2018-10-01,60.22,62.09,59.7,61.59,43.629000000000005
71,2018-10-02,60.56,61.62,59.42,60.05,62.856999999999985
72,2018-10-03,57.43,59.9,56.67,57.15,71.50200000000001
73,2018-10-04,58.38,59.43,57.15,59.25,57.385999999999996
74,2018-10-05,58.1,59.25,57.51,58.29,33.832
75,2018-10-06,57.76,59.2,57.11,59.06,46.903000000000006
76,2018-10-07,57.77,58.38,56.95,58.05,66.59
77,2018-10-08,59.66,59.9,57.55,57.55,73.379
78,2018-10-09,59.24,59.87,58.0,58.69,26.378999999999998
79,2018-10-10,57.82,58.98,57.56,58.06,45.029
80,2018-10-11,52.7,58.48,51.0,53.13,94.57499999999999
81,2018-10-12,53.83,54.06,51.0,51.33,58.41000000000001
82,2018-10-13,54.16,54.64,53.5,53.83,64.242
83,2018-10-14,53.56,54.2,53.45,53.66,51.24199999999999
84,2018-10-15,60.4,61.39,52.51,56.0,212.839
85,2018-10-16,56.05,57.26,54.63,56.05,73.55300000000001
86,2018-10-17,55.24,55.8,54.59,55.01,49.87400000000001
87,2018-10-18,55.4,55.52,52.98,55.41,96.15999999999998
88,2018-10-19,53.7,56.41,53.05,53.7,28.319000000000003
89,2018-10-20,53.64,54.44,53.64,53.69,34.539
90,2018-10-21,54.55,54.65,53.29,54.4,55.580999999999996
91,2018-10-22,53.72,54.19,53.0,53.72,94.363
92,2018-10-23,53.29,53.75,52.48,53.14,89.166
93,2018-10-24,53.95,53.99,53.09,53.56,53.532999999999994
94,2018-10-25,53.05,53.4,52.55,52.64,36.853
95,2018-10-26,52.73,53.31,52.55,52.89,34.922999999999995
96,2018-10-27,52.7,52.9,51.94,52.44,57.08
97,2018-10-28,52.17,52.65,51.89,52.31,32.194
98,2018-10-29,52.17,52.4,48.69,51.5,81.61100000000002
99,2018-10-30,49.58,50.01,49.26,49.68,76.546
100,2018-10-31,49.3,50.58,48.58,50.42,97.537
101,2018-11-01,49.83,50.76,49.72,50.35,36.789
102,2018-11-02,50.73,52.19,50.5,51.24,70.829
103,2018-11-03,50.72,51.91,50.72,50.95,73.516
104,2018-11-04,56.37,56.37,50.58,54.0,244.04600000000005
105,2018-11-05,53.93,55.0,53.27,53.89,84.50200000000001
106,2018-11-06,54.22,55.54,53.78,55.13,118.56599999999997
107,2018-11-07,55.89,56.54,53.5,54.22,155.50800000000004
108,2018-11-08,53.5,54.94,52.82,53.5,81.34099999999998
109,2018-11-09,52.82,53.17,51.77,52.37,71.455
110,2018-11-10,52.75,53.12,51.77,52.88,58.034000000000006
111,2018-11-11,52.42,52.75,49.85,50.87,96.88000000000002
112,2018-11-12,51.16,51.74,50.48,50.53,75.732
113,2018-11-13,50.71,51.78,50.12,50.71,92.172
114,2018-11-14,49.49,51.68,43.14,49.49,192.766
115,2018-11-15,43.8,45.34,40.0,45.34,168.949
116,2018-11-16,42.67,45.0,42.55,42.67,88.225
117,2018-11-17,42.16,43.06,41.96,42.02,97.32800000000002
118,2018-11-18,42.66,43.32,42.02,42.6,72.059
119,2018-11-19,41.66,42.3,36.48,37.19,163.88799999999998
120,2018-11-20,33.55,38.78,31.67,33.2,233.065
121,2018-11-21,34.11,35.34,32.63,33.9,244.03300000000004
122,2018-11-22,35.14,38.13,32.65,35.31,155.73999999999998
123,2018-11-23,33.0,33.85,31.44,33.0,273.21400000000006
124,2018-11-24,32.87,33.8,29.74,32.3,157.64
125,2018-11-25,32.27,32.39,28.0,29.02,318.371
126,2018-11-26,31.36,32.89,29.0,29.7,194.28799999999998
127,2018-11-27,31.0,31.96,29.38,30.0,177.63000000000002
128,2018-11-28,35.23,36.0,31.44,32.86,452.106
129,2018-11-29,35.01,38.5,33.04,37.0,246.51699999999994
130,2018-11-30,32.22,34.4,31.2,33.51,170.422
131,2018-12-01,33.59,35.0,31.54,34.49,160.71099999999998
132,2018-12-02,34.51,34.68,33.43,34.37,58.67099999999999
133,2018-12-03,32.66,33.94,30.3,32.01,222.69099999999997
134,2018-12-04,32.07,33.0,30.0,31.02,171.68499999999997
135,2018-12-05,29.75,32.49,29.37,29.37,236.479
136,2018-12-06,27.81,30.48,26.63,29.3,227.67900000000003
137,2018-12-07,26.08,26.63,22.61,25.55,973.0609999999999
138,2018-12-08,24.0,26.69,23.2,26.21,1414.6750000000002
139,2018-12-09,24.62,26.66,24.29,25.4,2294.3039999999996
140,2018-12-10,25.65,25.65,23.96,24.49,330.618
141,2018-12-11,23.51,24.55,23.14,23.57,220.33800000000005
142,2018-12-12,23.45,24.88,23.45,24.88,115.14699999999999
143,2018-12-13,23.89,24.5,23.01,24.5,127.085
144,2018-12-14,23.31,23.6,22.47,23.5,78.051
145,2018-12-15,23.5,23.88,23.06,23.78,119.18599999999999
146,2018-12-16,25.76,26.43,23.61,26.06,418.962
147,2018-12-17,25.96,30.41,25.61,27.23,242.221
148,2018-12-18,28.7,29.72,27.75,28.4,205.30700000000002
149,2018-12-19,30.24,31.0,28.82,30.0,391.162
150,2018-12-20,28.75,32.43,28.52,30.96,395.38
151,2018-12-21,31.44,32.76,29.66,31.64,363.51800000000003
152,2018-12-22,30.35,31.18,29.68,30.48,136.598
153,2018-12-23,32.54,33.5,30.88,32.54,182.69699999999995
154,2018-12-24,35.0,36.18,33.26,33.97,362.81399999999996
155,2018-12-25,33.45,33.97,29.38,33.54,252.704
156,2018-12-26,30.5,31.65,28.98,30.0,210.19100000000006
157,2018-12-27,29.51,30.25,27.38,27.7,182.867
158,2018-12-28,31.54,33.0,27.38,28.22,270.187
159,2018-12-29,31.34,32.5,30.57,31.6,192.24499999999998
160,2018-12-30,30.63,32.49,30.0,30.53,115.929
161,2018-12-31,31.41,31.41,29.63,30.68,142.28699999999998
162,2019-01-01,29.63,31.25,29.53,31.21,136.537
163,2019-01-02,32.12,33.0,31.21,31.74,208.184
164,2019-01-03,31.32,33.0,30.56,32.63,334.099
165,2019-01-04,31.65,32.47,30.67,32.15,119.612
166,2019-01-05,34.84,35.82,31.61,32.45,434.9600000000001
167,2019-01-06,38.47,39.72,33.92,34.98,341.5100000000001
168,2019-01-07,37.11,38.88,36.76,37.68,667.1890000000001
169,2019-01-08,39.25,40.62,37.07,38.5,303.48199999999997
170,2019-01-09,38.88,39.72,38.0,38.1,158.622
171,2019-01-10,38.54,38.77,31.6,33.41,328.578
172,2019-01-11,32.8,32.91,31.0,32.25,128.912
173,2019-01-12,32.6,35.97,30.2,34.18,143.26
