,Date,Open,High,Low,Close,Volume
0,2018-08-06 21:00:00,73.53,73.53,73.53,73.53,0.0
1,2018-08-13 05:00:00,59.0,59.49,58.49,58.49,13.4
2,2018-08-20 18:00:00,56.11,56.5,56.11,56.2,0.241
3,2018-08-27 00:00:00,56.4,56.4,56.4,56.4,0.0
4,2018-09-15 05:00:00,53.15,57.24,53.15,57.24,1.462
5,2018-09-25 13:00:00,55.2,55.2,55.2,55.2,0.0
6,2018-09-27 12:00:00,58.04,63.77,58.04,63.77,17.921
7,2018-09-27 21:00:00,65.28,65.28,64.26,64.26,2.441
8,2018-10-09 04:00:00,59.24,59.35,59.24,59.35,2.3
9,2018-10-11 22:00:00,52.7,52.75,52.7,52.75,0.084
10,2018-10-19 04:00:00,53.7,53.7,53.3,53.3,2.265
11,2018-10-22 10:00:00,53.72,53.73,53.48,53.48,6.787
12,2018-11-11 09:00:00,52.42,52.42,51.9,52.26,5.057
13,2018-11-19 02:00:00,41.66,41.66,40.81,40.81,0.927
14,2018-11-20 12:00:00,33.55,34.1,33.33,33.92,11.57
15,2018-11-23 10:00:00,33.0,33.39,32.79,32.79,19.933
16,2018-11-23 18:00:00,32.01,32.13,32.01,32.05,53.233
17,2018-12-09 03:00:00,24.62,24.62,24.45,24.45,2.2
18,2018-12-13 04:00:00,23.89,23.89,23.87,23.87,1.785
19,2018-12-23 15:00:00,32.54,32.54,32.02,32.02,19.21
20,2019-01-28 04:00:00,31.4,31.54,31.25,31.52,4.844
21,2019-01-31 14:00:00,31.2,31.2,31.14,31.14,5.633
22,2019-02-18 09:00:00,44.36,44.63,44.23,44.23,10.395
23,2019-02-27 09:00:00,45.45,45.45,45.45,45.45,0.0
24,2019-03-07 07:00:00,55.5,56.31,55.37,56.31,6.408
25,2019-03-10 16:00:00,56.42,56.78,56.42,56.56,1.255
26,2019-03-20 11:00:00,59.5,59.99,59.42,59.7,10.68
27,2019-03-27 21:00:00,60.69,60.87,60.69,60.87,0.314
28,2019-04-05 19:00:00,87.8,87.8,87.8,87.8,0.0
29,2019-04-06 22:00:00,91.19,91.22,91.19,91.22,1.683
30,2019-04-12 10:00:00,77.14,79.46,77.14,79.29,58.33
31,2019-04-13 06:00:00,79.7,79.91,79.7,79.88,0.362
32,2019-04-26 11:00:00,72.8,73.37,72.8,73.37,0.05
33,2019-05-14 05:00:00,91.76,93.35,90.0,90.0,92.335
34,2019-05-30 02:00:00,114.89,114.89,114.27,114.31,1.195
35,2019-05-30 13:00:00,117.07,117.57,116.68,117.32,3.842
36,2019-06-11 18:00:00,135.17,136.68,133.45,134.41,41.694
37,2019-06-30 22:00:00,130.94,130.94,123.0,123.0,7.593
38,2019-07-14 11:00:00,93.8,94.38,92.5,92.5,27.768
39,2019-08-12 04:00:00,88.32,88.43,88.32,88.43,0.1
40,2019-08-13 21:00:00,84.23,84.23,84.23,84.23,0.0
41,2019-08-20 11:00:00,75.47,75.6,75.17,75.6,13.314
42,2019-09-01 14:00:00,64.6,64.6,64.53,64.53,1.183
43,2019-09-08 20:00:00,69.65,69.65,69.5,69.5,0.114
44,2019-09-15 08:00:00,70.43,70.43,70.1,70.43,17.373
45,2019-09-24 17:00:00,64.75,65.33,64.75,65.18,0.804
46,2019-10-01 14:00:00,55.33,55.51,55.33,55.51,5.454
47,2019-10-02 02:00:00,55.81,55.81,55.81,55.81,0.0
48,2019-10-06 02:00:00,56.34,56.34,56.19,56.19,2.289
49,2019-10-10 04:00:00,58.86,59.22,58.86,59.08,26.054
50,2019-10-17 07:00:00,52.09,52.24,52.09,52.24,4.722
51,2019-10-31 11:00:00,57.59,57.97,57.59,57.92,6.177
52,2019-11-24 15:00:00,45.5,45.91,44.53,44.6,42.809
53,2019-12-03 12:00:00,44.76,44.94,44.62,44.76,10.853
54,2019-12-03 14:00:00,44.74,45.6,44.74,45.58,25.365
55,2019-12-30 03:00:00,42.86,43.05,42.86,43.05,0.7
56,2019-12-30 16:00:00,42.21,42.25,41.78,42.15,2.201
57,2020-01-06 12:00:00,44.95,44.95,44.88,44.95,13.099
58,2020-01-09 02:00:00,45.5,45.5,45.21,45.21,3.291
59,2020-01-10 13:00:00,44.5,45.31,44.5,45.17,12.833
60,2020-01-20 17:00:00,57.48,58.0,57.48,57.92,41.107
61,2020-02-03 14:00:00,70.23,70.31,70.03,70.25,32.647
62,2020-02-14 13:00:00,82.0,82.0,81.3,81.94,5.122
63,2020-02-17 04:00:00,73.38,73.38,71.9,72.51,2.937
64,2020-02-17 20:00:00,72.06,72.22,72.06,72.14,1.299
65,2020-03-11 09:00:00,49.57,49.58,49.15,49.2,175.035
66,2020-03-14 18:00:00,35.38,36.59,35.38,35.84,149.019
67,2020-03-29 06:00:00,38.58,38.58,38.24,38.5,5.874
68,2020-03-31 13:00:00,38.73,38.87,38.7,38.87,6.897
69,2020-04-08 16:00:00,45.69,45.69,45.69,45.69,1.0
70,2020-04-12 07:00:00,42.17,42.21,41.93,42.2,15.919
71,2020-04-25 12:00:00,44.81,45.19,44.81,45.19,8.692
72,2020-04-25 23:00:00,44.66,44.66,44.31,44.31,2.94
73,2020-04-30 01:00:00,48.54,48.74,48.41,48.55,23.031
74,2020-05-12 03:00:00,41.63,41.63,41.53,41.53,2.875
75,2020-05-15 12:00:00,43.38,43.38,42.94,43.34,24.752
76,2020-06-12 18:00:00,44.96,45.21,44.53,44.53,3.921
77,2020-06-20 04:00:00,42.88,43.12,42.88,43.08,3.271
78,2020-06-28 15:00:00,41.02,41.38,41.02,41.34,10.075
79,2020-07-01 20:00:00,41.95,41.95,41.71,41.71,6.551
80,2020-07-05 12:00:00,41.39,41.45,41.28,41.45,1.309
81,2020-07-09 08:00:00,45.19,45.63,45.19,45.62,44.692
82,2020-07-11 23:00:00,44.43,44.48,44.31,44.48,61.393
83,2020-07-13 07:00:00,44.84,44.84,44.55,44.8,42.136
84,2020-07-18 21:00:00,42.71,42.71,42.71,42.71,0.0
85,2020-07-20 22:00:00,41.92,41.98,41.92,41.98,5.075
86,2020-07-23 02:00:00,44.87,45.5,44.87,45.04,222.281
87,2020-07-24 18:00:00,44.56,44.61,44.11,44.61,2.692
88,2020-07-30 07:00:00,54.87,55.12,54.14,54.22,27.178
89,2020-08-30 18:00:00,61.2,61.92,61.02,61.92,52.956
90,2020-09-10 04:00:00,49.23,49.47,49.2,49.2,2.169
91,2020-09-16 06:00:00,47.75,49.83,47.75,48.22,3.475
92,2020-10-07 18:00:00,46.31,46.31,46.31,46.31,0.0
