,Date,Open,High,Low,Close,Volume
0,2019-08,0.04057,0.04112,0.03191,0.03191,36054.0
1,2019-09,0.03191,0.03554,0.02687,0.02687,69962.0
2,2019-10,0.02687,0.03301,0.02685,0.03186,9622.0
3,2019-11,0.03186,0.03186,0.02394,0.0256,93826.0
4,2019-12,0.0256,0.03545,0.02328,0.03545,31471.0
5,2020-01,0.03545,0.03799,0.03268,0.03515,44260.0
6,2020-02,0.03515,0.084,0.03515,0.0391,359401.0
7,2020-03,0.04078,0.05731,0.01505,0.02541,467926.0
8,2020-04,0.02577,0.03471,0.02498,0.03428,669796.0
9,2020-05,0.03329,0.04321,0.03192,0.04119,983747.0
10,2020-06,0.04095,0.04639,0.03599,0.03766,438896.0
11,2020-07,0.03798,0.05293,0.035,0.0463,961748.0
12,2020-08,0.04633,0.12992,0.04345,0.09901,2930422.0
13,2020-09,0.10062,0.10466,0.06817,0.08774,280427.0
14,2020-10,0.08404,0.085,0.06233,0.06268,100043.0
15,2020-11,0.06447,0.11,0.06292,0.08483,491451.0
16,2020-12,0.08609,0.09833,0.07107,0.07759,121239.0
17,2021-01,0.07777,0.2146,0.07589,0.15331,1907311.0
18,2021-02,0.14985,0.37146,0.14684,0.23784,962495.0
19,2021-03,0.24684,1.38759,0.23507,1.01735,6452733.0
20,2021-04,1.02581,1.72,0.83311,1.4483,4719614.8
21,2021-05,1.4554,1.6,0.4987,0.835,1558024.2000000002
22,2021-06,0.8246,0.92008,0.36,0.5628,1451870.7999999998
23,2021-07,0.5303,0.8418,0.4963,0.70593,1580051.9
24,2021-08,0.74037,1.1095,0.657,0.93961,1309994.5999999999
25,2021-09,0.92021,1.07978,0.6,0.66502,662147.9999999999
26,2021-10,0.7301,4.9,0.67821,3.17774,2592887.9000000004
