,Date,Open,High,Low,Close,Volume
0,2021-09-25,8.962,9.477,8.659,8.939,699.6
1,2021-09-26,8.338,8.984,7.305,8.265,364.8999999999999
2,2021-09-27,8.54,9.292,8.013,8.543,242.29999999999998
3,2021-09-28,8.195,8.542,8.152,8.152,102.0
4,2021-09-29,8.264,8.717,8.148,8.264,233.60000000000005
5,2021-09-30,8.71,9.296,8.3,8.71,355.4
6,2021-10-01,8.956,10.0,8.956,9.684,593.5
7,2021-10-02,10.623,10.83,9.401,9.401,1214.0
8,2021-10-03,10.089,10.38,9.972,10.171,337.6
9,2021-10-04,9.865,10.171,9.396,9.865,189.4
10,2021-10-05,11.3,11.511,5.1,11.24,996.8000000000001
11,2021-10-06,11.0,11.7,10.276,11.0,422.99999999999994
12,2021-10-07,10.616,12.0,10.4,10.612,111.30000000000001
13,2021-10-08,10.899,11.405,10.75,11.159,80.5
14,2021-10-09,10.75,10.868,10.416,10.416,183.60000000000002
15,2021-10-10,10.637,10.86,9.9,10.421,767.3
16,2021-10-11,10.164,10.164,9.478,9.478,223.59999999999997
17,2021-10-12,9.389,9.727,9.0,9.0,34.0
18,2021-10-13,9.142,9.482,9.0,9.22,15.0
19,2021-10-14,9.496,9.668,9.22,9.22,89.5
20,2021-10-15,10.103,10.568,9.2,9.364,5426.000000000001
21,2021-10-16,10.103,11.2,9.856,9.856,2815.7
22,2021-10-17,10.385,10.988,9.22,10.385,3655.5999999999995
23,2021-10-18,9.9,10.1,9.22,10.079,417.1
24,2021-10-19,9.25,9.84,9.25,9.84,84.8
25,2021-10-20,10.1,10.1,9.271,9.78,377.1
26,2021-10-21,9.501,10.8,9.43,10.059,707.7
27,2021-10-22,10.032,10.389,9.6,10.389,569.9
28,2021-10-23,10.032,10.032,9.6,10.0,61.0
29,2021-10-24,9.6,9.887,9.143,9.426,225.90000000000003
30,2021-10-25,9.148,9.706,9.143,9.437,152.8
31,2021-10-26,9.82,9.82,9.0,9.0,501.49999999999994
32,2021-10-27,11.544,17.909,9.0,10.847,5627.5
33,2021-10-28,11.31,12.999,10.0,11.0,2510.2999999999997
34,2021-10-29,12.0,12.366,10.8,11.405,563.4
35,2021-10-30,11.121,12.501,10.326,11.313,1259.1000000000001
36,2021-10-31,10.474,11.6,9.998,10.576,2185.7000000000003
37,2021-11-01,10.5,12.69,10.5,11.11,1419.9
38,2021-11-02,12.21,12.7,10.796,12.0,1196.2
39,2021-11-03,12.535,14.1,12.042,13.036,4145.900000000001
40,2021-11-04,13.053,13.058,11.758,11.822,643.2000000000002
41,2021-11-05,11.879,12.3,11.554,11.65,312.3
42,2021-11-06,11.849,12.062,10.5,11.848,1212.5
43,2021-11-07,11.46,12.005,11.226,11.899,3731.2
44,2021-11-08,11.887,12.8,11.4,11.95,1765.7000000000005
45,2021-11-09,12.2,12.688,11.4,12.0,1144.3000000000002
46,2021-11-10,14.162,16.538,12.092,12.092,4753.900000000001
47,2021-11-11,16.762,19.665,13.501,17.9,3865.4
