,Date,Open,High,Low,Close,Volume
0,2021-09-19 17:00:00,5.679,5.687,5.516,5.619,422.8
1,2021-09-22 17:00:00,5.145,5.145,4.353,4.795,88.0
2,2021-10-03 07:00:00,5.18,5.189,5.18,5.189,90.8
3,2021-10-14 10:00:00,4.487,4.578,4.487,4.578,61.7
4,2021-10-16 20:00:00,4.339,4.339,4.339,4.339,0.0
5,2021-10-18 12:00:00,4.13,4.161,4.076,4.155,127.0
6,2021-10-25 13:00:00,4.203,4.3,4.203,4.3,321.6
7,2021-09-18 00:00:00,5.848,5.975,5.848,5.975,119.4
8,2021-09-24 21:00:00,4.445,4.445,4.445,4.445,41.1
9,2021-09-28 00:00:00,4.0,4.0,3.8,3.8,17.9
10,2021-09-30 06:00:00,4.554,4.554,4.554,4.554,0.0
11,2021-10-14 21:00:00,4.5,4.5,4.5,4.5,0.0
12,2021-11-02 07:00:00,4.348,4.6,4.269,4.6,339.4
13,2021-11-03 21:00:00,4.261,4.28,4.261,4.261,50.4
14,2021-11-05 02:00:00,4.155,4.233,4.155,4.233,304.1
15,2021-11-06 07:00:00,4.152,4.208,4.15,4.208,62.6
16,2021-11-07 18:00:00,4.258,4.258,4.258,4.258,1.8
17,2021-11-12 04:00:00,4.302,4.302,4.26,4.286,6.3
18,2021-09-21 18:00:00,4.648,4.648,4.5,4.5,43.4
19,2021-10-02 07:00:00,5.14,5.5,5.07,5.457,1375.5
20,2021-10-03 16:00:00,5.003,5.176,5.003,5.087,739.1
21,2021-10-03 23:00:00,5.189,5.274,5.179,5.179,139.8
22,2021-10-17 21:00:00,4.3,4.3,4.214,4.214,475.4
23,2021-10-22 03:00:00,4.256,4.309,4.256,4.309,49.1
24,2021-10-26 02:00:00,4.24,4.24,4.24,4.24,1.0
25,2021-10-29 14:00:00,4.06,4.069,3.938,4.008,28.4
26,2021-11-07 02:00:00,4.25,4.25,4.25,4.25,8.2
27,2021-09-24 06:00:00,4.623,4.733,4.623,4.733,66.2
28,2021-09-24 19:00:00,4.445,4.445,4.445,4.445,14.1
29,2021-09-30 22:00:00,4.42,4.42,4.42,4.42,0.0
30,2021-10-01 05:00:00,4.421,4.455,4.38,4.455,67.1
31,2021-10-04 22:00:00,5.311,5.311,5.295,5.295,11.1
32,2021-10-14 12:00:00,4.597,4.597,4.53,4.53,676.0
33,2021-10-20 04:00:00,4.227,4.456,4.227,4.456,492.0
34,2021-10-29 03:00:00,3.988,4.012,3.9,4.012,330.6
35,2021-09-18 06:00:00,5.977,5.977,5.816,5.967,1002.2
36,2021-10-06 22:00:00,4.836,4.836,4.836,4.836,1.4
37,2021-10-07 06:00:00,4.708,4.737,4.649,4.737,120.3
38,2021-10-07 08:00:00,4.749,4.848,4.723,4.848,161.0
39,2021-10-10 12:00:00,4.331,4.331,4.249,4.249,31.5
40,2021-10-18 08:00:00,4.258,4.258,4.15,4.15,227.2
41,2021-10-23 04:00:00,4.27,4.31,4.25,4.25,12.6
42,2021-11-01 12:00:00,4.25,4.291,4.248,4.248,243.0
43,2021-11-04 20:00:00,4.1,4.168,4.1,4.168,7.0
44,2021-11-05 07:00:00,4.2,4.272,4.2,4.272,588.1
45,2021-11-07 00:00:00,4.254,4.254,4.254,4.254,0.0
46,2021-09-18 08:00:00,5.941,5.941,5.85,5.929,172.5
47,2021-09-19 12:00:00,5.5,5.575,5.5,5.575,123.1
