,Date,Open,High,Low,Close,Volume
0,2021-06-26,1.4236,1.5347,1.3041,1.3041,1631.5900000000001
1,2021-06-27,1.421,1.5499,1.3614,1.5098,2459.419999999999
2,2021-06-28,1.5721,1.6309,1.4315,1.5472,8570.409999999998
3,2021-06-29,1.5995,1.638,1.4715,1.6012,783.77
4,2021-06-30,1.5981,1.6556,1.5534,1.5655,2162.0
5,2021-07-01,1.642,1.6759,1.5906,1.6196,1708.1399999999999
6,2021-07-02,1.6357,1.6773,1.5998,1.6652,3454.0700000000006
7,2021-07-03,1.6636,1.6886,1.6175,1.674,1065.19
8,2021-07-04,1.7,1.7023,1.6213,1.7023,101.86999999999998
9,2021-07-05,1.6898,1.6898,1.4,1.5946,62.53
10,2021-07-06,1.677,1.677,1.603,1.6493,806.9300000000001
11,2021-07-07,1.6891,1.6959,1.6581,1.6845,1113.02
12,2021-07-08,1.6717,1.7161,1.6194,1.6245,3193.1500000000005
13,2021-07-09,1.6751,1.6899,1.6079,1.6163,3064.209999999999
14,2021-07-10,1.6054,1.6748,1.6054,1.6054,70.36
15,2021-07-11,1.6127,1.63,1.5875,1.5875,173.77
16,2021-07-12,1.5792,1.6329,1.5071,1.6329,1027.67
17,2021-07-13,1.4815,1.5201,1.46,1.4891,1725.1899999999998
18,2021-07-14,1.4638,1.5441,1.41,1.4638,1388.07
19,2021-07-15,1.41,1.5441,1.2901,1.5441,813.94
20,2021-07-16,1.301,1.5045,1.29,1.4789,246.53
21,2021-07-17,1.4827,1.5075,1.3065,1.3413,691.0300000000001
22,2021-07-18,1.4898,1.4898,1.3452,1.4898,2087.75
23,2021-07-19,1.424,1.4882,1.3066,1.3699,2109.8599999999997
24,2021-07-20,1.1605,1.3667,1.115,1.1472,20105.45
25,2021-07-21,1.1877,1.2095,1.0646,1.0699,45769.82
26,2021-07-22,1.1441,1.17,1.1194,1.1416,10135.930000000002
27,2021-07-23,1.1286,1.1792,1.1036,1.1106,15275.57
28,2021-07-24,1.1821,1.2686,1.1285,1.1376,12458.16
29,2021-07-25,1.1875,1.234,1.1546,1.1842,3036.66
30,2021-07-26,1.1875,1.2833,1.1875,1.2469,15678.309999999998
31,2021-07-27,1.1799,1.2206,1.1456,1.1456,9682.920000000002
32,2021-07-28,1.1676,1.1992,1.1605,1.1705,10937.900000000001
33,2021-07-29,1.1357,1.1686,1.0914,1.1441,38709.060000000005
34,2021-07-30,1.11,1.1255,1.0499,1.0838,34737.99
35,2021-07-31,1.101,1.2299,1.094,1.101,24937.949999999997
36,2021-08-01,1.147,1.1663,1.1065,1.1394,22815.200000000004
37,2021-08-02,1.1631,1.186,1.0889,1.1245,7466.76
38,2021-08-03,1.1415,1.1534,1.1059,1.1201,7261.39
39,2021-08-04,1.1694,1.18,1.1113,1.18,5381.35
40,2021-08-05,1.1469,1.186,1.1345,1.171,3941.83
41,2021-08-06,1.215,1.3201,1.1697,1.2709,16952.540000000005
42,2021-08-07,1.32,1.4,1.2709,1.3721,27675.53
43,2021-08-08,1.3533,1.3818,1.265,1.3051,15995.230000000001
44,2021-08-09,1.3211,1.41,1.1353,1.2964,9991.449999999999
45,2021-08-10,1.324,1.3408,1.2827,1.3014,8931.300000000001
46,2021-08-11,1.3285,1.4141,1.2965,1.349,12252.730000000001
47,2021-08-12,1.349,1.4399,1.204,1.3442,12402.260000000002
48,2021-08-13,5.98,329.9998,1.3442,1.445,474038.1
49,2021-08-14,1.39,1.4432,1.3701,1.4289,148124.65999999997
50,2021-08-15,1.351,1.422,1.33,1.357,15793.71
51,2021-08-16,1.4078,1.5275,1.3352,1.4497,86513.64000000003
52,2021-08-17,1.4132,1.47,1.3583,1.4288,22696.660000000003
53,2021-08-18,1.3599,1.3777,1.279,1.2802,61241.590000000004
54,2021-08-19,1.305,1.3333,1.2675,1.3,38738.329999999994
55,2021-08-20,1.34,1.3645,1.314,1.35,24841.02
56,2021-08-21,1.347,1.3586,1.3183,1.33,16825.559999999998
57,2021-08-22,1.3766,1.4076,1.3337,1.3376,23475.820000000003
58,2021-08-23,1.3973,1.4299,1.3489,1.359,14581.54
59,2021-08-24,1.5148,1.65,1.3,1.51,96725.54000000001
60,2021-08-25,1.6259,1.75,1.4501,1.5471,81250.75
61,2021-08-26,1.541,1.6671,1.4401,1.6281,31966.720000000005
62,2021-08-27,1.495,1.516,1.42,1.42,48665.460000000014
63,2021-08-28,1.496,1.525,1.45,1.5,58167.72
64,2021-08-29,1.44,1.485,1.405,1.426,16274.499999999998
65,2021-08-30,1.437,1.468,1.372,1.429,27204.379999999997
66,2021-08-31,1.3939,1.437,1.3792,1.404,37806.840000000004
67,2021-09-01,1.423,1.4539,1.352,1.4334,31392.209999999995
68,2021-09-02,1.442,1.5357,1.4199,1.476,41064.16000000001
69,2021-09-03,1.5,1.8,1.433,1.454,122904.38
70,2021-09-04,1.564,1.726,1.5161,1.646,176052.09999999998
71,2021-09-05,1.6609,1.821,1.635,1.757,121620.06999999998
72,2021-09-06,1.773,2.2,1.7133,1.963,131505.56
73,2021-09-07,1.791,2.0479,1.5,1.933,85776.95
74,2021-09-08,1.733,1.841,1.5,1.712,48679.45999999999
75,2021-09-09,1.72,2.032,1.699,1.723,65994.61
76,2021-09-10,1.8795,1.955,1.804,1.8462,22869.54
77,2021-09-11,1.936,1.951,1.847,1.936,14320.939999999999
78,2021-09-12,1.811,1.86,1.794,1.839,4465.109999999999
79,2021-09-13,1.7635,1.822,1.654,1.71,5736.249999999999
80,2021-09-14,1.704,1.7359,1.677,1.704,3855.15
