,Date,Open,High,Low,Close,Volume
0,2021-07-04 19:00:00,1.7,1.7,1.7,1.7,0.0
1,2021-07-14 16:00:00,1.4638,1.4638,1.41,1.41,61.78
2,2021-07-15 23:00:00,1.41,1.41,1.301,1.301,39.46
3,2021-07-29 16:00:00,1.1357,1.1357,1.1324,1.1324,1042.29
4,2021-08-01 20:00:00,1.147,1.147,1.1278,1.1278,4.41
5,2021-08-04 19:00:00,1.1694,1.1717,1.1694,1.1717,32.76
6,2021-08-06 09:00:00,1.215,1.215,1.2071,1.2071,2346.7
7,2021-08-10 08:00:00,1.324,1.3408,1.324,1.3408,170.65
8,2021-08-12 06:00:00,1.349,1.349,1.349,1.349,0.0
9,2021-09-06 03:00:00,1.773,1.881,1.7688,1.808,2124.46
10,2021-09-11 13:00:00,1.936,1.936,1.892,1.892,82.57
11,2021-09-25 21:00:00,1.129,1.129,1.121,1.121,25.65
12,2021-09-27 02:00:00,1.1198,1.1198,1.1,1.103,8906.68
13,2021-09-27 12:00:00,1.142,1.149,1.127,1.146,13947.88
14,2021-10-02 05:00:00,1.209,1.212,1.209,1.212,2.0
15,2021-10-07 06:00:00,1.137,1.145,1.137,1.138,6054.79
16,2021-10-08 12:00:00,1.397,1.423,1.391,1.411,1794.37
17,2021-10-28 17:00:00,1.0949,1.098,1.0382,1.0945,121.86
18,2021-10-30 20:00:00,1.035,1.0775,1.035,1.035,6424.04
19,2021-06-26 08:00:00,1.4236,1.4236,1.3047,1.3047,176.48
20,2021-06-29 23:00:00,1.5995,1.6084,1.5995,1.6084,97.18
21,2021-07-02 18:00:00,1.6357,1.6357,1.6298,1.6298,137.8
22,2021-07-03 14:00:00,1.6636,1.6636,1.6636,1.6636,0.0
23,2021-07-13 20:00:00,1.4815,1.4891,1.4815,1.4891,56.88
24,2021-08-01 03:00:00,1.1394,1.1617,1.1394,1.1573,59.19
25,2021-08-05 12:00:00,1.1469,1.1469,1.1469,1.1469,0.0
26,2021-08-15 23:00:00,1.351,1.351,1.351,1.351,0.0
27,2021-08-18 02:00:00,1.3599,1.36,1.3388,1.36,394.24
28,2021-08-23 14:00:00,1.3973,1.4,1.3799,1.3977,715.57
29,2021-08-30 23:00:00,1.437,1.437,1.437,1.437,0.0
30,2021-09-09 09:00:00,1.72,1.82,1.71,1.802,1067.29
31,2021-09-22 20:00:00,1.356,1.357,1.354,1.357,4787.67
32,2021-10-01 05:00:00,1.117,1.125,1.117,1.125,4136.79
33,2021-10-07 09:00:00,1.2,1.2612,1.2,1.24,5071.35
34,2021-10-08 08:00:00,1.44,1.44,1.406,1.406,5413.63
35,2021-10-13 09:00:00,1.509,1.518,1.503,1.513,2231.15
36,2021-10-20 17:00:00,1.2266,1.243,1.223,1.223,2442.38
37,2021-10-21 11:00:00,1.2269,1.227,1.204,1.222,1404.72
38,2021-11-03 15:00:00,1.054,1.0759,1.054,1.058,121.6
39,2021-07-01 20:00:00,1.642,1.6759,1.637,1.637,592.89
40,2021-07-16 00:00:00,1.301,1.301,1.301,1.301,0.0
41,2021-07-16 04:00:00,1.5045,1.5045,1.5045,1.5045,0.0
42,2021-07-18 07:00:00,1.4898,1.4898,1.4898,1.4898,0.0
43,2021-07-21 16:00:00,1.1877,1.2095,1.1877,1.2011,99.05
44,2021-07-22 18:00:00,1.1441,1.1441,1.1416,1.1416,73.3
45,2021-07-25 19:00:00,1.1875,1.1875,1.1875,1.1875,0.0
46,2021-07-30 03:00:00,1.11,1.1243,1.11,1.1201,97.64
47,2021-08-04 08:00:00,1.1314,1.1649,1.1314,1.1649,117.41
48,2021-08-11 05:00:00,1.3285,1.3556,1.3285,1.3497,559.24
49,2021-08-15 09:00:00,1.357,1.3577,1.3312,1.3489,501.16
50,2021-08-28 10:00:00,1.496,1.496,1.482,1.488,8449.71
51,2021-08-29 14:00:00,1.44,1.4445,1.44,1.4445,92.13
