,Date,Open,High,Low,Close,Volume
0,2021-08-31,3.71,4.0,3.145,3.7,44542.09999999999
1,2021-09-01,4.265,4.7,3.414,3.414,96122.30000000002
2,2021-09-02,4.161,4.249,3.85,3.886,17255.300000000003
3,2021-09-03,3.849,4.12,3.778,3.839,17926.100000000002
4,2021-09-04,3.852,4.063,3.751,3.825,12638.599999999997
5,2021-09-05,3.884,4.401,3.764,3.795,20917.499999999996
6,2021-09-06,4.399,4.61,4.053,4.225,15816.199999999999
7,2021-09-07,3.788,4.3,3.299,4.02,10062.0
8,2021-09-08,4.25,4.25,3.25,3.916,6632.500000000002
9,2021-09-09,4.952,5.8,4.0,4.86,38313.70000000001
10,2021-09-10,5.555,6.202,4.913,5.95,26350.600000000002
11,2021-09-11,5.524,6.1,5.122,6.1,8289.999999999998
12,2021-09-12,5.0,5.366,4.963,5.249,6019.799999999998
13,2021-09-13,5.385,6.125,4.559,4.789,25270.199999999997
14,2021-09-14,6.028,6.5,5.663,6.05,23008.499999999996
15,2021-09-15,5.977,6.249,5.605,5.85,8314.900000000001
16,2021-09-16,5.793,6.238,5.434,5.434,3008.6
17,2021-09-17,5.2,5.941,5.19,5.289,1874.8999999999999
18,2021-09-18,5.32,5.568,5.019,5.421,1284.3
19,2021-09-19,5.224,5.639,5.157,5.31,3116.1
20,2021-09-20,4.49,5.346,4.005,5.227,5652.699999999999
21,2021-09-21,4.812,4.87,3.901,4.5,2182.9
22,2021-09-22,4.31,4.854,3.91,4.728,3926.2999999999997
23,2021-09-23,4.65,4.957,4.2,4.5,5435.0999999999985
24,2021-09-24,4.75,4.862,3.904,4.23,6233.199999999999
25,2021-09-25,4.1,4.398,4.0,4.374,3334.6
26,2021-09-26,4.289,4.499,3.75,4.244,2871.7000000000003
27,2021-09-27,4.16,4.6,4.085,4.37,2190.0
28,2021-09-28,4.101,4.185,3.831,3.962,1676.6000000000001
29,2021-09-29,3.933,4.189,3.9,4.142,1634.8
30,2021-09-30,4.0,4.147,3.933,4.12,2363.5999999999995
31,2021-10-01,4.54,4.6,4.02,4.439,2884.0
32,2021-10-02,4.494,4.674,4.411,4.635,1950.3
33,2021-10-03,4.499,4.639,4.32,4.499,5197.799999999999
34,2021-10-04,4.339,4.527,4.232,4.339,2706.2
35,2021-10-05,4.356,4.999,4.292,4.799,3239.5
36,2021-10-06,4.683,4.88,4.302,4.697,2123.7999999999997
37,2021-10-07,4.543,4.823,4.532,4.543,1539.5
38,2021-10-08,4.656,4.743,4.472,4.627,1553.3000000000002
39,2021-10-09,4.63,4.79,4.4,4.504,2172.8
40,2021-10-10,4.302,4.485,4.148,4.148,889.4
41,2021-10-11,4.24,4.506,4.118,4.232,1306.7999999999997
42,2021-10-12,4.176,4.317,3.949,4.142,829.1000000000001
43,2021-10-13,4.172,4.479,4.06,4.072,886.2
44,2021-10-14,4.397,4.501,4.146,4.42,1364.6999999999998
45,2021-10-15,4.185,4.375,4.155,4.288,2792.8999999999996
46,2021-10-16,4.224,4.499,4.092,4.201,2796.1
47,2021-10-17,4.263,4.277,4.055,4.168,614.0999999999999
48,2021-10-18,4.06,4.191,4.021,4.046,618.9000000000001
49,2021-10-19,4.119,4.127,4.0,4.073,367.00000000000006
50,2021-10-20,4.316,4.388,4.001,4.014,1774.8000000000002
51,2021-10-21,4.356,4.444,4.19,4.336,1493.1999999999998
52,2021-10-22,4.2,4.407,4.19,4.209,2725.2999999999997
53,2021-10-23,4.192,4.263,4.161,4.244,447.5
54,2021-10-24,4.28,4.788,4.225,4.499,2719.8
55,2021-10-25,4.795,4.914,4.527,4.732,3111.6
56,2021-10-26,5.07,5.3,4.854,5.102,2532.3999999999996
57,2021-10-27,4.649,5.217,4.399,4.637,2013.2999999999997
58,2021-10-28,4.932,5.287,4.368,4.602,2469.9000000000005
59,2021-10-29,4.742,4.873,4.551,4.786,2498.3000000000006
60,2021-10-30,4.66,4.99,4.4,4.551,868.4000000000001
61,2021-10-31,4.447,4.9,4.3,4.45,2104.6000000000004
62,2021-11-01,4.493,4.71,4.375,4.501,3064.5000000000005
63,2021-11-02,4.517,4.56,4.387,4.477,1234.0
64,2021-11-03,4.44,4.648,4.362,4.441,1726.6000000000001
65,2021-11-04,4.44,4.516,4.25,4.439,1487.8
66,2021-11-05,4.326,4.356,4.221,4.312,1958.8000000000002
67,2021-11-06,4.497,4.497,4.144,4.291,639.6
68,2021-11-07,4.497,4.675,4.156,4.479,3899.6000000000004
69,2021-11-08,4.378,4.675,4.2,4.354,2923.6
70,2021-11-09,4.39,4.6,4.25,4.355,1426.7999999999997
71,2021-11-10,4.241,5.924,4.221,4.289,11282.3
72,2021-11-11,5.154,6.56,4.762,5.935,26354.1
