,Date,Open,High,Low,Close,Volume
0,2021-09-03 21:00:00,3.849,3.849,3.829,3.829,5.0
1,2021-09-04 02:00:00,3.852,3.854,3.796,3.796,110.0
2,2021-09-04 14:00:00,4.0,4.012,3.903,3.992,576.0
3,2021-09-07 20:00:00,3.788,3.796,3.788,3.796,3.1
4,2021-09-11 16:00:00,5.524,5.524,5.355,5.383,594.4
5,2021-10-06 04:00:00,4.683,4.683,4.51,4.51,162.9
6,2021-10-06 12:00:00,4.41,4.575,4.41,4.544,196.2
7,2021-10-07 20:00:00,4.543,4.543,4.543,4.543,0.0
8,2021-10-07 22:00:00,4.543,4.543,4.543,4.543,0.0
9,2021-10-11 07:00:00,4.24,4.24,4.24,4.24,0.0
10,2021-10-25 13:00:00,4.795,4.804,4.745,4.745,70.8
11,2021-10-27 15:00:00,4.649,4.649,4.55,4.55,290.2
12,2021-10-28 09:00:00,4.932,4.98,4.9,4.922,322.5
13,2021-11-07 01:00:00,4.497,4.497,4.263,4.263,13.0
14,2021-09-06 16:00:00,4.399,4.399,4.239,4.257,425.7
15,2021-09-10 01:00:00,5.555,5.555,5.373,5.381,407.9
16,2021-09-10 16:00:00,5.648,5.648,5.429,5.529,554.9
17,2021-09-15 06:00:00,5.977,6.2,5.977,6.1,79.9
18,2021-10-09 06:00:00,4.63,4.631,4.559,4.581,52.2
19,2021-10-11 14:00:00,4.382,4.382,4.295,4.295,4.5
20,2021-10-15 12:00:00,4.185,4.185,4.185,4.185,0.0
21,2021-10-31 06:00:00,4.447,4.447,4.376,4.376,33.0
22,2021-09-16 08:00:00,5.793,5.978,5.793,5.959,25.4
23,2021-09-16 14:00:00,5.7,5.734,5.625,5.734,19.0
24,2021-09-28 03:00:00,4.101,4.101,3.831,4.069,240.4
25,2021-10-03 15:00:00,4.499,4.5,4.468,4.468,103.1
26,2021-10-27 02:00:00,4.849,4.879,4.8,4.879,7.2
27,2021-11-03 16:00:00,4.44,4.443,4.413,4.413,172.3
28,2021-11-06 22:00:00,4.497,4.497,4.497,4.497,1.5
29,2021-09-01 17:00:00,4.265,4.366,4.25,4.294,1674.3
30,2021-09-14 09:00:00,6.028,6.416,6.0,6.291,2689.5
31,2021-09-28 07:00:00,3.914,4.069,3.914,3.914,11.2
32,2021-10-17 05:00:00,4.263,4.277,4.262,4.271,104.1
33,2021-10-18 11:00:00,4.06,4.06,4.06,4.06,0.0
34,2021-10-21 01:00:00,4.356,4.401,4.299,4.299,136.5
35,2021-11-01 17:00:00,4.493,4.522,4.4,4.522,19.2
36,2021-11-03 06:00:00,4.533,4.533,4.463,4.463,18.1
37,2021-09-10 00:00:00,5.816,5.816,5.435,5.55,1209.4
38,2021-09-18 20:00:00,5.32,5.32,5.25,5.25,80.4
39,2021-09-21 12:00:00,4.812,4.87,4.361,4.361,114.5
40,2021-10-04 17:00:00,4.339,4.406,4.337,4.406,217.1
41,2021-11-04 11:00:00,4.44,4.44,4.384,4.439,65.1
42,2021-10-02 10:00:00,4.494,4.494,4.459,4.459,0.7
43,2021-10-05 07:00:00,4.356,4.571,4.356,4.571,112.1
44,2021-10-08 11:00:00,4.656,4.656,4.544,4.544,501.3
45,2021-10-09 10:00:00,4.56,4.56,4.56,4.56,0.0
46,2021-10-26 10:00:00,5.07,5.169,5.07,5.161,274.4
47,2021-11-08 07:00:00,4.378,4.378,4.378,4.378,0.0
48,2021-09-04 11:00:00,3.825,3.89,3.8,3.8,166.2
49,2021-09-23 11:00:00,4.65,4.65,4.626,4.626,30.6
50,2021-09-29 23:00:00,3.933,3.933,3.933,3.933,0.0
51,2021-10-11 10:00:00,4.47,4.47,4.367,4.38,211.9
52,2021-10-23 13:00:00,4.192,4.192,4.192,4.192,0.0
53,2021-09-13 17:00:00,5.385,5.521,5.36,5.406,6166.8
54,2021-09-27 16:00:00,4.16,4.16,4.085,4.09,44.0
55,2021-10-04 05:00:00,4.376,4.393,4.376,4.393,59.6
56,2021-10-16 18:00:00,4.224,4.224,4.166,4.166,599.7
57,2021-10-19 06:00:00,4.119,4.119,4.059,4.059,70.8
58,2021-10-25 03:00:00,4.527,4.629,4.527,4.557,3.7
59,2021-10-27 22:00:00,4.884,4.884,4.518,4.518,426.4
60,2021-11-04 16:00:00,4.323,4.323,4.26,4.26,633.8
61,2021-11-05 09:00:00,4.326,4.326,4.301,4.314,102.2
62,2021-11-11 00:00:00,5.154,5.24,4.82,4.873,184.2
63,2021-09-14 22:00:00,6.2,6.244,6.2,6.234,331.5
64,2021-10-03 11:00:00,4.453,4.453,4.453,4.453,0.0
65,2021-10-16 09:00:00,4.246,4.246,4.246,4.246,17.8
66,2021-10-18 06:00:00,4.175,4.175,4.175,4.175,0.0
67,2021-09-01 04:00:00,3.434,3.501,3.434,3.444,1070.4
68,2021-09-16 02:00:00,5.761,5.785,5.658,5.713,390.7
69,2021-09-18 07:00:00,5.43,5.43,5.43,5.43,0.0
70,2021-10-06 08:00:00,4.5,4.5,4.302,4.358,39.9
71,2021-10-11 23:00:00,4.118,4.118,4.118,4.118,0.0
72,2021-10-12 03:00:00,4.176,4.176,4.117,4.117,1.6
73,2021-10-15 08:00:00,4.284,4.284,4.157,4.157,349.0
74,2021-10-24 03:00:00,4.28,4.28,4.28,4.28,0.0
75,2021-11-09 09:00:00,4.39,4.6,4.39,4.6,5.0
76,2021-08-30 15:00:00,2.841,3.434,2.835,3.356,3164.9
77,2021-09-01 23:00:00,4.1,4.134,4.1,4.126,714.9
78,2021-09-02 08:00:00,4.161,4.178,4.13,4.178,250.1
79,2021-09-02 16:00:00,4.0,4.083,3.969,4.032,1032.8
80,2021-09-03 23:00:00,3.803,3.838,3.796,3.838,172.7
81,2021-09-04 18:00:00,3.927,3.929,3.824,3.929,4636.8
82,2021-09-05 03:00:00,3.884,3.895,3.86,3.86,36.0
83,2021-09-07 13:00:00,3.91,3.91,3.86,3.86,73.3
84,2021-10-03 12:00:00,4.453,4.478,4.453,4.478,10.8
85,2021-10-14 14:00:00,4.397,4.499,4.397,4.49,19.2
86,2021-10-14 16:00:00,4.463,4.5,4.463,4.49,7.5
87,2021-10-24 07:00:00,4.444,4.788,4.4,4.788,496.9
88,2021-10-25 21:00:00,4.778,4.778,4.765,4.765,2.1
89,2021-10-30 01:00:00,4.66,4.669,4.613,4.669,10.5
90,2021-11-09 18:00:00,4.3,4.332,4.273,4.275,122.2
91,2021-11-12 03:00:00,5.967,5.967,5.828,5.828,16.2
92,2021-11-12 09:00:00,5.638,5.638,5.53,5.626,331.3
93,2021-08-30 13:00:00,2.796,2.812,2.79,2.812,112.2
94,2021-09-13 15:00:00,5.33,5.453,5.254,5.333,4348.6
95,2021-10-05 18:00:00,4.725,4.73,4.696,4.73,21.0
96,2021-10-10 19:00:00,4.302,4.34,4.301,4.301,3.3
97,2021-10-22 22:00:00,4.2,4.2,4.2,4.2,0.0
98,2021-11-01 15:00:00,4.511,4.511,4.486,4.488,83.6
99,2021-09-05 07:00:00,3.94,3.94,3.94,3.94,11.0
100,2021-09-05 20:00:00,4.091,4.239,4.058,4.239,216.4
101,2021-09-13 10:00:00,4.789,4.984,4.776,4.984,878.9
102,2021-09-22 13:00:00,4.31,4.31,4.309,4.309,34.8
103,2021-09-24 01:00:00,4.75,4.75,4.75,4.75,0.0
104,2021-10-16 14:00:00,4.241,4.241,4.234,4.234,5.2
105,2021-10-17 11:00:00,4.232,4.232,4.178,4.178,28.9
106,2021-10-30 02:00:00,4.669,4.669,4.669,4.669,0.0
107,2021-10-30 15:00:00,4.4,4.401,4.4,4.4,12.3
108,2021-09-03 10:00:00,4.017,4.12,3.914,3.914,1723.7
109,2021-09-10 14:00:00,5.5,5.6,5.095,5.225,1269.9
110,2021-10-11 03:00:00,4.138,4.239,4.138,4.21,6.9
111,2021-10-23 23:00:00,4.231,4.231,4.231,4.231,0.0
112,2021-10-25 20:00:00,4.69,4.778,4.69,4.778,4.6
113,2021-11-09 19:00:00,4.275,4.275,4.275,4.275,0.0
114,2021-11-10 17:00:00,4.241,4.306,4.241,4.306,13.9
115,2021-09-02 06:00:00,4.083,4.159,4.016,4.159,1037.4
116,2021-09-20 22:00:00,4.49,4.49,4.49,4.49,17.6
117,2021-09-21 02:00:00,4.49,4.575,4.457,4.457,640.5
118,2021-10-01 23:00:00,4.54,4.54,4.54,4.54,0.0
119,2021-10-09 20:00:00,4.472,4.472,4.4,4.472,33.4
120,2021-10-10 22:00:00,4.148,4.148,4.148,4.148,0.0
121,2021-10-26 18:00:00,5.062,5.062,5.05,5.05,0.5
122,2021-11-04 07:00:00,4.465,4.465,4.465,4.465,0.0
123,2021-08-30 11:00:00,2.828,2.831,2.79,2.81,2123.2
124,2021-09-02 12:00:00,4.17,4.17,4.06,4.098,166.7
125,2021-09-11 23:00:00,5.209,5.209,5.122,5.122,12.1
126,2021-09-13 18:00:00,5.406,5.584,5.36,5.584,709.8
127,2021-09-14 00:00:00,5.807,6.074,5.807,6.073,201.0
128,2021-09-29 07:00:00,4.142,4.142,4.142,4.142,0.0
129,2021-09-29 22:00:00,3.933,3.933,3.933,3.933,0.0
130,2021-10-14 06:00:00,4.146,4.146,4.146,4.146,0.0
131,2021-10-29 18:00:00,4.742,4.742,4.687,4.687,38.1
132,2021-09-02 11:00:00,4.096,4.175,4.095,4.17,163.5
133,2021-09-06 21:00:00,4.225,4.225,4.225,4.225,0.0
134,2021-09-12 22:00:00,5.0,5.092,4.997,4.997,23.1
135,2021-09-15 21:00:00,5.75,5.75,5.605,5.61,2087.1
136,2021-09-27 08:00:00,4.545,4.545,4.37,4.37,1.5
137,2021-09-27 11:00:00,4.428,4.428,4.213,4.213,19.5
138,2021-09-30 15:00:00,4.0,4.094,4.0,4.026,835.5
139,2021-10-20 21:00:00,4.316,4.316,4.316,4.316,0.0
140,2021-10-28 10:00:00,4.922,4.922,4.858,4.858,2.0
141,2021-09-12 20:00:00,5.23,5.23,5.035,5.035,55.1
142,2021-09-22 15:00:00,4.2,4.596,4.2,4.596,248.0
143,2021-09-28 14:00:00,4.164,4.164,4.049,4.049,59.5
144,2021-10-12 06:00:00,4.098,4.131,4.098,4.131,109.7
145,2021-10-20 13:00:00,4.232,4.288,4.227,4.288,62.7
146,2021-10-23 21:00:00,4.211,4.211,4.166,4.17,35.0
147,2021-10-24 12:00:00,4.499,4.499,4.49,4.499,10.4
148,2021-11-10 06:00:00,4.289,4.289,4.289,4.289,0.0
149,2021-09-09 13:00:00,4.952,5.005,4.843,4.962,730.4
150,2021-09-27 02:00:00,4.5,4.5,4.499,4.499,74.0
151,2021-10-08 04:00:00,4.58,4.58,4.571,4.571,0.5
152,2021-10-19 00:00:00,4.046,4.046,4.046,4.046,0.0
153,2021-10-20 16:00:00,4.254,4.33,4.254,4.33,35.5
154,2021-10-31 15:00:00,4.389,4.389,4.389,4.389,0.0
155,2021-10-31 17:00:00,4.45,4.709,4.45,4.709,2.0
156,2021-11-07 02:00:00,4.263,4.495,4.199,4.199,358.2
157,2021-09-02 09:00:00,4.178,4.178,4.062,4.062,1278.3
158,2021-09-04 01:00:00,3.91,3.91,3.837,3.852,613.1
159,2021-09-12 00:00:00,5.122,5.171,5.122,5.146,8.4
160,2021-09-17 23:00:00,5.2,5.2,5.19,5.19,16.9
161,2021-10-31 11:00:00,4.386,4.386,4.386,4.386,1.0
162,2021-11-02 13:00:00,4.517,4.517,4.46,4.46,79.1
163,2021-11-10 23:00:00,5.304,5.304,4.729,5.154,472.3
164,2021-09-04 03:00:00,3.796,3.859,3.796,3.798,392.7
165,2021-09-06 03:00:00,4.501,4.511,4.377,4.388,749.6
166,2021-09-09 09:00:00,4.858,5.05,4.858,5.049,1038.0
167,2021-09-28 06:00:00,4.069,4.069,3.914,3.914,21.3
168,2021-10-07 10:00:00,4.7,4.757,4.611,4.611,74.8
169,2021-10-11 05:00:00,4.251,4.251,4.25,4.25,3.5
170,2021-10-19 14:00:00,4.127,4.127,4.056,4.056,4.5
171,2021-10-23 11:00:00,4.263,4.263,4.2,4.208,168.5
172,2021-09-08 01:00:00,4.25,4.25,3.899,3.899,94.3
173,2021-09-13 01:00:00,5.09,5.09,4.984,4.994,75.0
174,2021-10-04 12:00:00,4.24,4.323,4.24,4.323,1.0
175,2021-10-26 05:00:00,5.1,5.1,5.065,5.081,133.4
176,2021-11-05 16:00:00,4.306,4.306,4.286,4.287,12.9
177,2021-09-05 23:00:00,4.259,4.261,4.233,4.233,38.6
178,2021-09-06 15:00:00,4.301,4.399,4.192,4.399,117.7
179,2021-09-19 01:00:00,5.224,5.251,5.212,5.251,21.9
180,2021-10-02 07:00:00,4.51,4.51,4.5,4.5,33.3
181,2021-11-02 19:00:00,4.45,4.56,4.45,4.53,51.9
182,2021-11-05 19:00:00,4.332,4.332,4.262,4.31,19.0
183,2021-11-09 14:00:00,4.444,4.444,4.444,4.444,0.0
184,2021-09-30 22:00:00,4.026,4.026,4.026,4.026,0.0
185,2021-10-15 20:00:00,4.276,4.366,4.276,4.366,370.8
186,2021-10-18 18:00:00,4.064,4.064,4.042,4.042,16.4
187,2021-10-26 19:00:00,5.05,5.1,5.05,5.1,44.9
188,2021-11-02 05:00:00,4.442,4.442,4.442,4.442,0.0
