,Date,Open,High,Low,Close,Volume
0,2021-07-08,3.744,3.985,3.703,3.705,5388.148
1,2021-07-09,3.677,3.763,3.577,3.577,1898.5159999999998
2,2021-07-10,3.79,3.803,3.663,3.715,997.314
3,2021-07-11,3.681,3.724,3.681,3.715,1252.2590000000002
4,2021-07-12,3.706,3.738,3.56,3.662,121.48100000000001
5,2021-07-13,3.336,3.744,2.061,3.412,683.8640000000001
6,2021-07-14,3.223,3.412,3.155,3.285,559.187
7,2021-07-15,3.351,3.663,3.285,3.285,3155.278
8,2021-07-16,3.292,3.394,3.15,3.355,436.32300000000004
9,2021-07-17,2.987,3.15,2.97,3.025,220.74200000000002
10,2021-07-18,3.042,3.089,2.942,3.039,474.887
11,2021-07-19,2.96,2.96,2.795,2.802,185.03900000000002
12,2021-07-20,2.802,2.802,2.478,2.611,2032.9089999999999
13,2021-07-21,2.711,2.778,2.565,2.778,2582.322
14,2021-07-22,2.709,2.755,2.668,2.678,227.399
15,2021-07-23,2.738,2.8,2.7,2.731,412.7180000000001
16,2021-07-24,2.736,2.869,2.71,2.776,591.884
17,2021-07-25,2.915,2.928,2.804,2.811,4073.662
18,2021-07-26,2.999,3.1,2.835,2.931,1804.374
19,2021-07-27,2.945,3.06,2.874,2.909,863.5899999999999
20,2021-07-28,2.927,2.953,2.895,2.927,288.265
21,2021-07-29,2.959,2.977,2.872,2.958,673.193
22,2021-07-30,2.875,2.985,2.872,2.971,850.6120000000001
23,2021-07-31,2.93,3.022,2.905,2.96,5285.944999999999
24,2021-08-01,3.08,3.223,2.961,2.961,824.469
25,2021-08-02,2.981,2.981,2.926,2.95,831.6779999999999
26,2021-08-03,2.909,2.958,2.871,2.909,230.41900000000004
27,2021-08-04,3.111,3.111,2.871,3.06,1205.765
28,2021-08-05,3.092,3.097,2.969,3.041,1053.386
29,2021-08-06,3.361,3.361,3.097,3.097,1598.732
30,2021-08-07,3.384,3.589,3.315,3.413,2345.203
31,2021-08-08,3.312,3.439,3.219,3.369,1734.2630000000001
32,2021-08-09,3.234,3.9,3.12,3.382,6223.840999999999
33,2021-08-10,3.42,3.531,3.216,3.439,8362.916
34,2021-08-11,3.6,3.9,3.4,3.7,3443.8729999999996
35,2021-08-12,3.859,3.95,3.15,3.4,4954.8009999999995
36,2021-08-13,4.95,12.0,3.255,3.899,14978.821999999998
37,2021-08-14,3.793,4.2,3.717,3.8,16302.399
38,2021-08-15,4.168,4.18,3.832,3.927,3050.249
39,2021-08-16,4.144,4.17,3.806,4.106,3299.753999999999
40,2021-08-17,4.383,4.881,3.941,4.337,20224.358999999997
41,2021-08-18,4.465,4.693,4.0,4.402,8909.941
42,2021-08-19,4.647,4.87,4.402,4.525,8756.651000000002
43,2021-08-20,4.542,4.611,4.4,4.528,8887.976
44,2021-08-21,4.466,4.54,4.28,4.38,5742.119000000001
45,2021-08-22,4.268,4.358,4.095,4.143,2715.805
46,2021-08-23,4.153,4.297,4.109,4.132,2643.724
47,2021-08-24,4.401,4.45,4.035,4.118,3533.3760000000007
48,2021-08-25,4.047,4.118,3.867,3.986,4766.669
49,2021-08-26,4.007,4.038,3.672,4.028,3972.894
50,2021-08-27,3.695,4.05,3.59,4.005,2250.5280000000007
51,2021-08-28,4.005,4.166,3.727,3.902,3155.6059999999998
52,2021-08-29,4.444,4.5,4.036,4.166,5963.047
53,2021-08-30,4.143,4.254,4.031,4.103,1222.6109999999999
54,2021-08-31,3.85,4.068,3.8,3.993,2650.7519999999995
55,2021-09-01,4.044,4.109,3.929,4.054,2010.104
56,2021-09-02,4.08,4.103,3.984,4.042,1515.705
57,2021-09-03,4.032,4.467,3.907,3.93,14012.508000000003
58,2021-09-04,4.133,4.245,4.05,4.156,8259.925
59,2021-09-05,4.105,4.276,4.088,4.105,2193.733
60,2021-09-06,4.159,4.339,4.083,4.2,2698.103
61,2021-09-07,4.305,4.305,3.401,3.55,5285.390000000001
62,2021-09-08,3.5,3.641,3.395,3.495,3083.935
63,2021-09-09,3.561,3.574,3.435,3.497,6462.070000000001
64,2021-09-10,3.53,4.27,3.45,3.566,6832.234999999999
65,2021-09-11,3.726,4.012,3.683,3.788,2198.802
