,Date,Open,High,Low,Close,Volume
0,2021-07-08 08:00:00,3.744,3.744,3.703,3.703,139.962
1,2021-07-28 13:00:00,2.927,2.927,2.927,2.927,0.0
2,2021-07-29 12:00:00,2.959,2.959,2.904,2.904,59.527
3,2021-08-01 13:00:00,3.08,3.08,3.08,3.08,0.0
4,2021-08-05 16:00:00,3.092,3.092,3.05,3.05,129.213
5,2021-08-31 19:00:00,3.85,3.95,3.85,3.95,258.164
6,2021-09-11 23:00:00,3.726,3.726,3.683,3.683,16.255
7,2021-09-13 12:00:00,3.512,3.512,3.422,3.422,4.9
8,2021-09-17 11:00:00,3.565,3.565,3.498,3.498,2.649
9,2021-09-18 14:00:00,3.551,3.606,3.551,3.553,460.768
10,2021-10-19 11:00:00,2.934,2.949,2.934,2.949,1.455
11,2021-10-21 22:00:00,2.947,2.947,2.947,2.947,0.0
12,2021-10-30 07:00:00,3.202,3.202,3.149,3.149,50.789
13,2021-07-15 06:00:00,3.351,3.372,3.351,3.372,69.736
14,2021-07-17 16:00:00,2.987,3.025,2.987,3.025,3.071
15,2021-07-21 09:00:00,2.711,2.711,2.689,2.689,51.0
16,2021-08-03 12:00:00,2.909,2.909,2.909,2.909,0.0
17,2021-08-06 22:00:00,3.361,3.361,3.327,3.327,400.182
18,2021-08-08 15:00:00,3.312,3.312,3.24,3.24,3.634
19,2021-08-18 19:00:00,4.465,4.465,4.332,4.332,20.677
20,2021-08-25 01:00:00,4.047,4.048,4.033,4.033,34.418
21,2021-09-25 15:00:00,3.082,3.082,2.998,2.998,3.923
22,2021-10-05 00:00:00,2.993,3.011,2.952,3.011,2085.576
23,2021-10-16 05:00:00,3.161,3.21,3.148,3.205,659.885
24,2021-10-18 23:00:00,2.925,2.982,2.925,2.982,51.176
25,2021-10-29 14:00:00,3.152,3.224,3.134,3.134,1468.825
26,2021-07-09 23:00:00,3.677,3.73,3.677,3.73,29.508
27,2021-07-12 04:00:00,3.706,3.706,3.706,3.706,0.0
28,2021-07-13 15:00:00,3.336,3.405,3.336,3.405,1.798
29,2021-07-13 18:00:00,3.399,3.412,3.399,3.412,80.892
30,2021-08-01 08:00:00,3.082,3.082,3.082,3.082,0.0
31,2021-08-03 06:00:00,2.9,2.9,2.9,2.9,0.0
32,2021-08-06 19:00:00,3.299,3.348,3.296,3.333,10.982
33,2021-08-09 00:00:00,3.234,3.24,3.223,3.223,30.99
34,2021-08-09 14:00:00,3.247,3.343,3.247,3.343,339.979
35,2021-09-05 11:00:00,4.105,4.172,4.105,4.114,38.058
36,2021-09-08 13:00:00,3.5,3.503,3.5,3.503,234.017
37,2021-09-16 10:00:00,3.715,3.758,3.715,3.755,129.7
38,2021-09-30 15:00:00,2.829,2.829,2.805,2.805,1.42
39,2021-10-03 04:00:00,3.077,3.077,3.077,3.077,0.0
40,2021-10-19 13:00:00,2.963,2.965,2.963,2.965,92.745
41,2021-10-22 17:00:00,3.225,3.291,3.225,3.241,27.766
42,2021-10-23 23:00:00,3.163,3.163,3.163,3.163,0.0
43,2021-10-25 00:00:00,3.005,3.005,3.0,3.0,4.192
44,2021-11-06 06:00:00,3.3,3.3,3.3,3.3,0.0
45,2021-07-20 02:00:00,2.802,2.802,2.712,2.712,51.622
46,2021-07-23 18:00:00,2.738,2.738,2.715,2.715,0.737
47,2021-08-10 03:00:00,3.42,3.42,3.389,3.389,11.033
48,2021-08-22 11:00:00,4.268,4.321,4.268,4.309,138.74
49,2021-08-25 12:00:00,3.884,3.901,3.884,3.901,1.006
50,2021-09-16 23:00:00,3.611,3.611,3.611,3.611,0.0
51,2021-10-01 16:00:00,2.971,3.008,2.971,3.008,9.12
52,2021-10-08 10:00:00,3.19,3.19,3.169,3.169,220.159
53,2021-10-19 14:00:00,2.965,2.965,2.959,2.959,7.501
54,2021-11-04 05:00:00,3.701,3.701,3.625,3.625,211.808
55,2021-11-04 13:00:00,3.477,3.477,3.418,3.418,660.312
56,2021-07-10 03:00:00,3.79,3.79,3.716,3.716,17.89
57,2021-07-17 05:00:00,3.024,3.024,2.978,2.978,5.976
58,2021-07-25 10:00:00,2.915,2.916,2.863,2.863,57.99
