,Date,Open,High,Low,Close,Volume
0,2021-10-13,131.7,132.2,125.9,131.7,18.433999999999997
1,2021-10-14,136.5,170.0,129.5,142.0,81.632
2,2021-10-15,132.2,142.0,15.0,132.2,24.547999999999995
3,2021-10-16,131.1,135.1,131.0,133.8,10.675
4,2021-10-17,133.9,134.3,130.7,133.7,8.621
5,2021-10-18,132.8,167.7,82.0,138.9,67.32700000000001
6,2021-10-19,137.3,144.8,131.0,134.7,43.653000000000006
7,2021-10-20,135.5,143.4,135.0,140.3,14.222999999999999
8,2021-10-21,148.0,148.0,140.0,144.0,19.399
9,2021-10-22,140.7,144.3,127.5,141.8,35.526
10,2021-10-23,138.9,140.7,136.6,138.4,3.63
11,2021-10-24,137.2,140.0,134.2,137.2,22.053
12,2021-10-25,139.5,140.8,127.5,140.1,19.054000000000002
13,2021-10-26,139.2,141.0,127.8,139.0,29.938999999999997
14,2021-10-27,133.5,140.9,120.0,127.2,43.699999999999996
15,2021-10-28,130.5,133.9,100.0,132.9,11.158000000000001
16,2021-10-29,118.1,136.4,110.6,135.4,69.173
17,2021-10-30,132.7,135.9,128.9,129.0,1.7610000000000001
18,2021-10-31,129.2,136.4,120.8,129.2,4.638
19,2021-11-01,131.8,134.2,131.3,133.4,3.714
20,2021-11-02,132.8,137.8,130.1,134.2,14.661999999999999
21,2021-11-03,137.8,137.8,130.5,133.8,2.3569999999999998
22,2021-11-04,136.0,139.3,132.2,139.3,0.499
23,2021-11-05,136.0,139.6,136.0,139.3,1.155
24,2021-11-06,133.2,139.3,131.8,131.8,5.93
25,2021-11-07,135.1,140.0,131.6,139.3,2.431
26,2021-11-08,134.0,148.0,132.1,132.1,4.571000000000001
27,2021-11-09,135.9,136.5,120.8,135.9,18.084000000000003
28,2021-11-10,135.7,146.6,134.2,140.5,16.653000000000002
29,2021-11-11,132.0,135.6,131.0,135.6,0.147
