,Date,Open,High,Low,Close,Volume
0,2021-01-02 11:00:00,0.3816,0.3816,0.3816,0.3816,0.0
1,2021-01-03 16:00:00,0.3743,0.3743,0.3743,0.3743,0.0
2,2021-01-05 18:00:00,0.3706,0.3706,0.3705,0.3705,694.25
3,2021-02-04 05:00:00,0.5144,0.5144,0.5048,0.5083,27.81
4,2021-02-05 20:00:00,0.7712,0.7951,0.7712,0.7906,918.64
5,2021-02-07 11:00:00,0.6587,0.6649,0.6587,0.6649,94.45
6,2021-02-11 14:00:00,0.7398,0.7398,0.7365,0.7365,339.52
7,2021-02-19 15:00:00,0.9848,1.0249,0.9785,0.9785,5558.73
8,2021-02-23 21:00:00,0.6998,0.7392,0.6998,0.7392,5.0
9,2021-03-02 01:00:00,1.41,1.41,1.4098,1.4098,147.75
10,2021-03-14 01:00:00,1.5,1.6402,1.5,1.64,302.95
11,2021-03-22 17:00:00,1.8579,2.79,1.77,1.8081,24578.21
12,2021-03-28 13:00:00,1.9282,1.9392,1.9282,1.9392,73.03
13,2021-04-01 03:00:00,5.645,5.699,5.6205,5.6371,576.22
14,2021-04-25 10:00:00,3.5568,3.6503,3.5565,3.5767,949.8
15,2021-05-04 01:00:00,3.93,4.1444,3.9025,4.0,815.28
16,2021-05-07 12:00:00,3.9384,3.9749,3.88,3.9275,809.85
17,2021-05-14 19:00:00,3.4879,3.4952,3.4879,3.4952,65.0
18,2021-05-26 05:00:00,2.5092,2.5427,2.5032,2.5421,137.96
19,2021-06-14 06:00:00,2.172,2.1801,2.1536,2.1536,78.5
20,2021-06-14 20:00:00,2.2064,2.2226,2.2064,2.2226,107.13
21,2021-06-22 09:00:00,1.0912,1.0948,1.0699,1.08,301.01
22,2021-06-26 12:00:00,1.2304,1.2349,1.214,1.2311,1691.67
23,2021-06-26 17:00:00,1.187,1.2928,1.187,1.28,1585.68
24,2021-06-30 20:00:00,1.713,1.7153,1.713,1.7153,131.92
25,2021-07-08 09:00:00,1.5944,1.61,1.5944,1.61,290.52
26,2021-07-09 04:00:00,1.5281,1.5281,1.5276,1.5276,639.12
27,2021-07-10 15:00:00,1.5404,1.5404,1.5225,1.5328,362.3
28,2021-08-02 10:00:00,1.9745,1.9745,1.962,1.962,294.5
29,2021-08-04 10:00:00,1.8897,1.9035,1.8889,1.8889,100.72
30,2021-08-09 16:00:00,2.2809,2.3197,2.2809,2.3,497.41
31,2021-08-11 16:00:00,2.8157,2.894,2.67,2.86,1253.6
32,2021-08-18 15:00:00,2.6458,2.71,2.6447,2.6611,463.49
33,2021-08-21 20:00:00,2.9015,2.9015,2.8807,2.8807,20.88
34,2021-08-30 22:00:00,2.808,2.808,2.74,2.74,40.39
35,2021-09-10 06:00:00,3.464,3.51,3.464,3.491,10.13
36,2021-09-11 00:00:00,3.124,3.124,3.124,3.124,0.0
37,2021-09-14 14:00:00,3.266,3.266,3.257,3.257,1.99
38,2021-09-20 01:00:00,3.426,3.434,3.411,3.434,232.19
39,2021-09-20 08:00:00,3.2,3.214,3.1582,3.21,284.55
40,2021-09-26 13:00:00,2.799,2.868,2.799,2.868,44.14
41,2021-09-27 19:00:00,2.765,2.765,2.765,2.765,0.0
42,2021-09-30 23:00:00,2.891,2.901,2.891,2.901,1.0
43,2021-10-08 17:00:00,3.553,3.593,3.553,3.593,25.72
44,2021-01-10 15:00:00,0.4082,0.4082,0.4082,0.4082,0.0
45,2021-01-18 03:00:00,0.4338,0.4338,0.415,0.415,176.13
46,2021-01-27 23:00:00,0.4039,0.4039,0.4039,0.4039,0.0
47,2021-02-04 16:00:00,0.5054,0.5054,0.5054,0.5054,0.0
48,2021-02-05 01:00:00,0.5749,0.5819,0.5749,0.5775,199.13
49,2021-02-06 08:00:00,0.7073,0.7543,0.7027,0.7321,3611.2
50,2021-02-08 07:00:00,0.6551,0.6679,0.6551,0.6661,1419.67
51,2021-02-12 01:00:00,0.8,0.8016,0.7909,0.8016,132.17
52,2021-03-06 06:00:00,1.3372,1.35,1.3254,1.3399,102.48
53,2021-03-21 01:00:00,1.5,1.5,1.4787,1.4812,319.07
54,2021-03-29 23:00:00,5.3,5.55,5.011,5.21,4962.9
55,2021-03-30 20:00:00,5.6065,6.3308,5.6065,5.9611,6130.7
56,2021-03-31 13:00:00,6.7,6.7105,6.5144,6.575,2474.12
57,2021-04-06 04:00:00,5.4,5.413,5.3992,5.413,292.65
58,2021-04-15 15:00:00,4.6143,4.6368,4.6142,4.6319,483.91
59,2021-05-05 13:00:00,3.827,3.95,3.827,3.851,383.85
60,2021-05-25 12:00:00,2.2595,2.2595,2.2182,2.2182,175.66
61,2021-06-01 05:00:00,2.1919,2.215,2.1876,2.215,31.45
62,2021-06-06 11:00:00,2.5643,2.5643,2.5193,2.5356,260.92
63,2021-06-30 10:00:00,1.7053,1.8,1.683,1.683,1760.18
64,2021-07-16 14:00:00,1.4959,1.4959,1.4903,1.4903,19.51
65,2021-08-04 18:00:00,1.9537,1.9572,1.9537,1.9572,19.65
66,2021-08-15 08:00:00,3.06,3.0605,3.0,3.0482,289.1
67,2021-08-25 13:00:00,2.8588,2.8588,2.7798,2.85,283.88
68,2021-08-26 03:00:00,2.764,2.8454,2.7363,2.8454,152.65
69,2021-09-05 16:00:00,3.993,4.0369,3.96,4.0366,768.75
70,2021-09-07 02:00:00,4.033,4.093,4.004,4.0929,545.93
71,2021-09-25 10:00:00,2.856,2.931,2.856,2.931,340.54
72,2021-09-29 12:00:00,2.803,2.841,2.785,2.785,155.72
73,2021-10-09 03:00:00,3.775,3.775,3.709,3.72,695.71
74,2021-10-17 22:00:00,3.077,3.1459,3.077,3.142,78.69
75,2021-10-19 18:00:00,3.158,3.158,3.158,3.158,0.0
76,2021-10-28 22:00:00,3.0998,3.0998,3.0998,3.0998,0.0
77,2021-11-05 22:00:00,3.425,3.425,3.375,3.375,7.22
78,2020-12-22 09:00:00,0.3467,0.3467,0.3467,0.3467,0.0
79,2020-12-30 04:00:00,0.35,0.35,0.35,0.35,0.0
80,2021-01-04 13:00:00,0.36,0.36,0.36,0.36,0.0
81,2021-01-17 13:00:00,0.4347,0.4347,0.4315,0.4315,10.0
82,2021-02-04 18:00:00,0.4932,0.5815,0.4932,0.5329,3199.6
83,2021-02-05 05:00:00,0.6158,0.6158,0.6048,0.6048,206.95
84,2021-02-17 09:00:00,0.7876,0.7876,0.7866,0.7866,7.07
85,2021-02-25 07:00:00,0.8474,0.8474,0.844,0.8453,239.26
86,2021-03-03 01:00:00,1.3099,1.311,1.3015,1.311,247.12
87,2021-03-07 22:00:00,1.2862,1.2862,1.2862,1.2862,0.0
88,2021-03-15 22:00:00,1.3768,1.3768,1.3674,1.3674,24.03
89,2021-03-20 07:00:00,1.6284,1.6445,1.6284,1.6445,28.2
90,2021-03-22 14:00:00,1.6833,1.8,1.6833,1.799,2591.84
91,2021-04-11 22:00:00,4.7301,4.7301,4.6519,4.7173,12.2
92,2021-04-26 05:00:00,3.5865,3.6377,3.5548,3.6315,1009.3
93,2021-04-26 11:00:00,3.5701,3.6912,3.5701,3.6535,839.13
94,2021-04-29 05:00:00,3.792,3.87,3.7908,3.855,992.48
95,2021-05-24 05:00:00,1.9942,1.9942,1.9465,1.9715,771.34
96,2021-05-28 11:00:00,2.2,2.2985,2.17,2.17,235.18
97,2021-05-29 20:00:00,2.0701,2.0889,2.0701,2.0889,12.04
98,2021-06-05 23:00:00,2.15,2.205,2.15,2.1988,781.19
99,2021-06-07 03:00:00,2.7652,3.3,2.7102,3.1553,4745.04
100,2021-06-15 13:00:00,2.1631,2.2065,2.1631,2.1754,125.13
101,2021-06-24 06:00:00,1.3102,1.3102,1.257,1.2743,2114.11
102,2021-07-08 01:00:00,1.7377,1.7518,1.7372,1.7458,107.35
103,2021-07-20 06:00:00,1.2435,1.3068,1.2435,1.3068,273.57
104,2021-07-30 18:00:00,1.8961,1.8985,1.874,1.874,50.2
105,2021-08-12 11:00:00,2.653,2.89,2.653,2.85,1384.22
106,2021-08-16 15:00:00,3.0677,3.0678,3.0283,3.0677,980.59
107,2021-08-17 04:00:00,2.9981,2.9981,2.9353,2.9636,177.4
108,2021-08-30 03:00:00,2.771,2.771,2.729,2.729,49.56
109,2021-09-03 07:00:00,4.1754,4.179,4.1501,4.154,320.86
110,2021-09-03 16:00:00,4.2165,4.2165,4.168,4.168,606.63
111,2021-09-23 06:00:00,3.111,3.111,3.0831,3.0831,85.29
112,2021-10-09 04:00:00,3.72,3.72,3.707,3.707,5.0
113,2021-10-18 03:00:00,3.145,3.145,3.09,3.09,175.79
114,2021-10-21 08:00:00,3.1837,3.289,3.1837,3.289,203.71
115,2021-10-28 13:00:00,3.038,3.048,3.038,3.048,8.8
116,2021-10-31 19:00:00,3.42,3.45,3.387,3.387,42.97
117,2020-12-28 05:00:00,0.3647,0.3682,0.3647,0.3682,15.0
118,2021-01-08 06:00:00,0.3602,0.3602,0.3602,0.3602,0.0
119,2021-01-14 18:00:00,0.3901,0.3901,0.3901,0.3901,66.93
120,2021-01-16 23:00:00,0.4574,0.4574,0.4574,0.4574,0.0
