,Date,Open,High,Low,Close,Volume
0,2021-01,0.3827,0.4637,0.3004,0.4146,140971.43
1,2021-02,0.4204,2.75,0.4047,1.2099,1607429.96
2,2021-03,1.351,8.8,1.1695,6.2,1346247.21
3,2021-04,5.645,6.8,2.5111,4.0028,655220.89
4,2021-05,3.8966,4.826,1.5964,2.1282,281666.48
5,2021-06,2.1919,3.6768,0.8953,1.7155,440104.24999999994
6,2021-07,1.6738,2.5049,1.2435,2.2257,245513.32
7,2021-08,2.0814,6.5,1.8719,2.717,533901.33
8,2021-09,4.5259,5.2789,2.665,2.9,287327.32999999996
9,2021-10,3.017,4.0307,2.855,3.422,155768.85
