,Date,Open,High,Low,Close,Volume
0,2019-07-16,1.0294,1.0305,1.0294,1.0294,11.05
1,2019-07-17,1.0294,1.1399,1.0294,1.0294,1112.06
2,2019-07-18,1.0756,1.1399,1.0756,1.1246,20.32
3,2019-07-19,1.059,1.095,1.059,1.059,281.68
4,2019-07-20,1.1077,1.1184,1.059,1.1077,15.7
5,2019-07-21,1.1077,1.2028,1.1077,1.1077,613.53
6,2019-07-22,1.2349,1.2468,1.2028,1.2127,140.68
7,2019-07-23,1.2127,1.2127,1.1586,1.2127,17.26
8,2019-07-24,1.1586,1.1586,1.1586,1.1586,0.0
9,2019-07-25,1.3928,1.3928,1.1586,1.1586,227.14
10,2019-07-26,1.3928,1.3928,1.3559,1.3559,10.75
11,2019-07-27,1.3559,1.3559,1.2909,1.3559,27.16
12,2019-07-28,1.2909,1.34,1.2909,1.2909,10.0
13,2019-07-29,1.3726,1.41,1.34,1.3726,521.28
14,2019-07-30,1.3726,1.3726,1.2936,1.3726,893.0500000000001
15,2019-07-31,1.3032,1.3224,1.3012,1.3032,77.43
16,2019-08-01,1.2653,1.3032,1.1931,1.2359,188.78
17,2019-08-02,1.1931,1.1931,1.1317,1.1471,264.58
18,2019-08-03,1.1301,1.1604,1.1301,1.1301,129.65
19,2019-08-04,1.1301,1.2,1.1301,1.1908,482.17
20,2019-08-05,1.1621,1.1747,1.1407,1.1747,86.42
21,2019-08-06,1.1621,1.1621,1.1419,1.1419,6.26
22,2019-08-07,1.1419,1.1419,1.1419,1.1419,0.0
23,2019-08-08,1.0827,1.1419,1.0812,1.1419,46.56
24,2019-08-09,1.0812,1.0812,1.065,1.065,24.31
25,2019-08-10,1.1852,1.1852,1.065,1.1138,94.0
26,2019-08-11,1.1121,1.1138,1.112,1.112,55.79
27,2019-08-12,1.112,1.148,1.112,1.1374,92.11
28,2019-08-13,1.0865,1.1141,1.0865,1.0865,100.0
29,2019-08-14,1.0604,1.0865,1.0157,1.0604,32.13
30,2019-08-15,1.0157,1.036,1.0157,1.036,7.77
31,2019-08-16,0.9933,1.036,0.9933,0.9933,500.0
32,2019-08-17,0.9933,0.9933,0.9933,0.9933,0.0
33,2019-08-18,0.9933,0.9933,0.9933,0.9933,0.0
34,2019-08-19,0.9933,0.9933,0.9933,0.9933,0.0
35,2019-08-20,1.036,1.0563,0.9933,1.036,198.53
36,2019-08-21,1.036,1.036,1.0155,1.0155,5.5
37,2019-08-22,1.0155,1.0155,1.0155,1.0155,0.0
38,2019-08-23,1.0306,1.0306,1.0155,1.0155,151.52
39,2019-08-24,1.0306,1.0306,1.0306,1.0306,0.0
40,2019-08-25,1.0306,1.0483,1.0306,1.0306,96.38
41,2019-08-26,1.0311,1.0454,1.0311,1.0311,4.0
42,2019-08-27,1.0189,1.0311,1.0189,1.0189,20.0
43,2019-08-28,1.0189,1.0189,0.9569,1.0189,5.0
44,2019-08-29,0.9489,0.9569,0.9489,0.9569,11.64
45,2019-08-30,0.9489,0.965,0.9489,0.965,48.17
46,2019-08-31,0.9827,0.9827,0.965,0.9827,65.19
47,2019-09-01,0.9827,0.9827,0.9827,0.9827,0.0
48,2019-09-02,0.9827,0.9827,0.962,0.962,5.0
49,2019-09-03,0.962,0.989,0.962,0.962,84.06
50,2019-09-04,0.989,0.989,0.989,0.989,0.0
51,2019-09-05,0.989,0.989,0.9106,0.989,164.49
52,2019-09-06,0.9145,0.9145,0.9145,0.9145,0.0
53,2019-09-07,0.9145,0.9145,0.9067,0.9145,26.64
54,2019-09-08,0.9252,0.9252,0.9067,0.9183,103.49000000000001
55,2019-09-09,0.9183,0.9183,0.9183,0.9183,0.0
56,2019-09-10,0.9183,0.922,0.9183,0.922,37.15
57,2019-09-11,0.922,0.922,0.919,0.922,500.0
58,2019-09-12,0.8938,0.919,0.8938,0.8938,40.18
59,2019-09-13,0.8938,0.8938,0.8938,0.8938,0.0
60,2019-09-14,0.8938,0.9068,0.8938,0.9068,106.35
61,2019-09-15,0.9068,0.9068,0.9068,0.9068,0.0
62,2019-09-16,0.9068,0.9068,0.9068,0.9068,0.0
63,2019-09-17,0.88,0.9129,0.88,0.88,20.189999999999998
64,2019-09-18,0.9129,0.952,0.9129,0.9241,111.72
65,2019-09-19,0.952,0.952,0.952,0.952,0.0
66,2019-09-20,0.952,0.952,0.952,0.952,0.0
67,2019-09-21,0.9184,0.952,0.9184,0.952,90.78999999999999
68,2019-09-22,0.9184,0.9184,0.9184,0.9184,0.0
69,2019-09-23,0.9184,0.9184,0.9184,0.9184,0.0
70,2019-09-24,0.9184,0.9184,0.9184,0.9184,0.0
71,2019-09-25,0.9184,0.9184,0.7477,0.7477,4.01
72,2019-09-26,0.7477,0.7876,0.7477,0.7872,535.87
73,2019-09-27,0.7872,0.7872,0.728,0.7872,110.3
74,2019-09-28,0.7427,0.7427,0.728,0.7427,53.94
