,Date,Open,High,Low,Close,Volume
0,2019-07-21 05:00:00,1.1077,1.1077,1.1077,1.1077,0.0
1,2019-07-24 10:00:00,1.1586,1.1586,1.1586,1.1586,0.0
2,2019-07-31 16:00:00,1.3032,1.3032,1.3032,1.3032,0.0
3,2019-08-06 10:00:00,1.1621,1.1621,1.1419,1.1419,6.26
4,2019-09-01 01:00:00,0.9827,0.9827,0.9827,0.9827,0.0
5,2019-09-04 22:00:00,0.989,0.989,0.989,0.989,0.0
6,2019-09-08 12:00:00,0.9252,0.9252,0.9183,0.9183,54.5
7,2019-09-17 08:00:00,0.88,0.88,0.88,0.88,0.0
8,2019-09-23 09:00:00,0.9184,0.9184,0.9184,0.9184,0.0
9,2019-10-06 10:00:00,0.7309,0.7309,0.7309,0.7309,0.0
10,2019-10-08 11:00:00,0.7685,0.7685,0.7685,0.7685,0.0
11,2019-10-09 15:00:00,0.7685,0.7685,0.7685,0.7685,0.0
12,2019-10-10 14:00:00,0.7685,0.7685,0.7685,0.7685,0.0
13,2019-10-20 01:00:00,0.7915,0.7915,0.7915,0.7915,0.0
14,2019-10-20 13:00:00,0.7915,0.8203,0.7915,0.8203,5.0
15,2019-10-28 03:00:00,0.8465,0.8858,0.8465,0.8858,3.16
16,2019-10-28 08:00:00,0.88,0.88,0.88,0.88,0.0
17,2019-10-31 08:00:00,0.8457,0.8457,0.8457,0.8457,0.0
18,2019-11-01 07:00:00,0.865,0.865,0.865,0.865,0.0
19,2019-11-25 03:00:00,0.7762,0.7762,0.7762,0.7762,0.0
20,2019-11-30 06:00:00,0.883,0.883,0.883,0.883,0.0
21,2019-12-09 05:00:00,0.8281,0.8281,0.8281,0.8281,0.0
22,2020-01-01 05:00:00,0.6782,0.6782,0.6782,0.6782,0.0
23,2020-01-17 13:00:00,0.7054,0.7054,0.7054,0.7054,0.0
24,2020-01-22 00:00:00,0.6935,0.6935,0.6935,0.6935,0.0
25,2020-02-15 20:00:00,1.106,1.106,1.106,1.106,0.0
26,2020-02-26 00:00:00,0.83,0.83,0.83,0.83,0.0
27,2020-02-26 15:00:00,0.7884,0.7884,0.7884,0.7884,0.0
28,2020-03-01 16:00:00,0.7489,0.7489,0.727,0.727,3.23
29,2020-03-02 19:00:00,0.7746,0.7746,0.7746,0.7746,0.0
30,2020-03-06 17:00:00,0.8138,0.8138,0.8138,0.8138,0.0
31,2020-03-12 05:00:00,0.6287,0.6287,0.6287,0.6287,0.0
