,Date,Open,High,Low,Close,Volume
0,2019-08,1.2653,1.3032,0.9489,0.9827,2716.4600000000005
1,2019-09,0.9827,0.989,0.6997,0.7427,2635.16
2,2019-10,0.7453,0.8858,0.7221,0.865,3486.1600000000003
3,2019-11,0.865,1.07,0.7762,0.883,4552.650000000001
4,2019-12,0.8716,0.8716,0.6424,0.6782,7672.5
5,2020-01,0.6782,0.7669,0.602,0.7339,15621.920000000002
6,2020-02,0.8018,1.1797,0.7269,0.7485,22176.01
7,2020-03,0.7489,0.8334,0.3409,0.46,28079.369999999995
8,2020-04,0.4711,0.7527,0.4711,0.63,34272.86000000001
9,2020-05,0.6406,1.0111,0.5773,0.8861,124320.6
10,2020-06,0.9017,1.3148,0.8616,0.9261,88566.84000000001
11,2020-07,0.9282,1.1152,0.51,0.9449,67664.49
12,2020-08,0.9459,1.7807,0.9203,1.1649,132129.24
13,2020-09,1.1182,1.145,0.6819,0.8162,21769.920000000002
14,2020-10,0.8116,0.93,0.7068,0.7553,8685.869999999999
15,2020-11,0.7444,1.4619,0.6929,1.1815,125523.55
16,2020-12,1.1831,1.29,0.7503,1.0533,52456.65
17,2021-01,1.0372,5.28,1.0149,3.5775,421989.35
18,2021-02,3.5123,7.9045,3.2687,5.0293,143730.77000000002
19,2021-03,5.2814,6.25,4.1717,4.8245,80567.95
20,2021-04,5.1357,14.3393,4.71,8.3539,314913.93
21,2021-05,8.5998,19.43,4.5,6.8,265102.44
22,2021-06,7.1931,9.3837,3.9521,5.2565,63192.88000000001
23,2021-07,4.6938,5.1232,3.131,4.3242,54645.87
24,2021-08,4.535,7.8684,4.13,6.477,93082.06999999999
25,2021-09,6.725,7.6,4.13,4.2974,56121.869999999995
26,2021-10,4.37,7.4899,4.345,6.3,96182.6
