,Date,Open,High,Low,Close,Volume
0,2020-11,0.6603,1.2961,0.6022,1.0419,22654.964
1,2020-12,1.0754,1.7998,0.9033,1.2055,55481.32700000001
2,2021-01,1.442,2.7289,1.2801,2.0768,50615.957999999984
3,2021-02,2.1907,5.6006,2.0768,4.6994,62584.960999999996
4,2021-03,3.9623,7.746,3.96,6.0933,67783.23300000001
5,2021-04,5.9431,7.4107,4.0,5.4639,47470.185
6,2021-05,5.3718,7.3,2.2258,3.31,69875.33100000002
7,2021-06,3.1929,3.6999,1.7522,1.9624,85200.273
8,2021-07,1.9284,2.6639,1.59,2.4658,58397.909999999996
9,2021-08,2.4898,6.6744,2.2268,5.36,97855.58700000001
10,2021-09,5.25,12.0,5.186,6.752,120845.10200000001
11,2021-10,6.9659,13.5,6.805,10.4029,79598.89999999998
