,Date,Open,High,Low,Close,Volume
0,2020-11-06,15.562,15.697,14.531,14.934,52.526999999999994
1,2020-11-07,16.0,16.296,15.0,16.108,59.61299999999999
2,2020-11-08,15.062,15.671,15.046,15.524,19.659
3,2020-11-09,15.212,15.524,15.212,15.212,5.0
4,2020-11-10,15.212,15.539,15.208,15.5,12.101
5,2020-11-11,15.86,15.86,15.376,15.749,24.301000000000002
6,2020-11-12,15.429,15.853,15.429,15.429,8.594
7,2020-11-13,15.882,15.882,15.429,15.882,1.732
8,2020-11-14,15.517,16.087,15.517,15.525,9.172
9,2020-11-15,15.91,15.91,15.517,15.91,11.0
10,2020-11-16,15.837,15.91,15.584,15.91,32.051
11,2020-11-17,16.326,16.385,15.794,16.321,64.275
12,2020-11-18,16.103,16.11,15.596,15.684,17.963
13,2020-11-19,15.596,16.21,15.596,15.596,30.974000000000004
14,2020-11-20,16.663,16.663,16.181,16.181,15.322000000000001
15,2020-11-21,17.615,18.548,16.4,17.615,38.65800000000001
16,2020-11-22,17.713,17.892,16.993,17.837,167.73700000000002
17,2020-11-23,17.907,18.832,17.054,17.724,225.497
18,2020-11-24,20.0,21.19,18.832,20.908,322.047
19,2020-11-25,19.78,22.45,18.965,21.666,1126.205
20,2020-11-26,19.607,20.254,12.002,16.364,409.20399999999995
21,2020-11-27,16.955,17.372,16.328,16.578,331.65799999999996
22,2020-11-28,17.765,17.863,16.717,16.915,125.651
23,2020-11-29,17.765,17.765,17.3,17.4,127.43
24,2020-11-30,18.179,18.461,17.43,17.738,228.625
25,2020-12-01,18.03,19.259,17.23,17.704,227.626
26,2020-12-02,17.718,18.202,17.649,17.866,177.853
27,2020-12-03,18.287,19.08,18.0,18.287,212.45
28,2020-12-04,18.007,19.08,17.23,18.173,187.06400000000002
29,2020-12-05,17.965,17.97,17.23,17.965,42.815
30,2020-12-06,17.586,18.02,17.586,17.924,21.375999999999998
31,2020-12-07,17.586,17.835,17.236,17.72,47.128
32,2020-12-08,17.3,17.465,16.644,17.465,105.26200000000001
33,2020-12-09,16.341,16.927,16.0,16.341,132.162
34,2020-12-10,16.447,16.927,16.153,16.337,56.480000000000004
35,2020-12-11,15.591,16.337,15.591,15.591,74.519
36,2020-12-12,16.609,16.609,15.591,16.299,64.307
37,2020-12-13,16.609,17.732,16.6,16.917,276.553
38,2020-12-14,17.426,17.426,17.06,17.426,104.863
39,2020-12-15,17.025,17.396,16.88,17.074,194.45099999999996
40,2020-12-16,17.589,17.9,16.915,17.545,179.383
41,2020-12-17,18.42,18.787,17.737,17.737,308.24399999999997
42,2020-12-18,17.737,18.291,17.615,18.146,122.551
43,2020-12-19,18.261,18.364,17.773,18.261,154.831
44,2020-12-20,18.325,18.437,17.5,18.356,189.308
45,2020-12-21,16.433,17.729,12.5,16.664,188.319
46,2020-12-22,16.34,16.868,16.0,16.35,259.856
47,2020-12-23,15.13,16.528,12.79,15.868,121.654
48,2020-12-24,14.581,15.255,12.79,13.733,206.574
49,2020-12-25,15.623,15.843,14.79,15.196,227.45399999999998
50,2020-12-26,14.598,15.204,14.303,15.119,253.179
51,2020-12-27,15.483,15.851,14.16,14.89,384.24899999999997
52,2020-12-28,15.304,16.251,15.178,15.304,535.757
53,2020-12-29,14.605,16.1,14.398,15.219,374.265
54,2020-12-30,14.801,15.014,14.762,14.762,78.59799999999998
55,2020-12-31,14.528,14.801,14.057,14.497,133.753
56,2021-01-01,14.504,14.835,14.2,14.457,443.3900000000001
57,2021-01-02,14.454,14.659,14.319,14.337,156.677
58,2021-01-03,15.253,16.347,14.235,15.517,1171.6480000000001
59,2021-01-04,15.684,17.762,15.0,17.762,809.889
60,2021-01-05,16.888,17.336,15.6,17.006,674.172
61,2021-01-06,17.265,20.152,16.826,17.035,1244.262
62,2021-01-07,21.039,22.91,19.022,21.039,1383.133
63,2021-01-08,20.1,21.253,18.969,19.666,793.234
64,2021-01-09,21.2,21.397,19.124,21.354,800.548
65,2021-01-10,24.326,25.295,20.0,22.134,1932.687
66,2021-01-11,22.582,26.999,20.3,21.988,1408.939
67,2021-01-12,21.732,24.5,21.474,22.35,2033.1620000000003
68,2021-01-13,21.296,23.566,21.0,22.118,429.70199999999994
69,2021-01-14,22.938,23.772,22.235,23.0,825.018
70,2021-01-15,24.277,25.5,21.9,24.277,1034.906
71,2021-01-16,23.978,24.334,22.922,23.75,550.394
72,2021-01-17,23.244,24.582,22.421,22.819,1882.7820000000002
73,2021-01-18,24.385,45.037,22.67,27.383,12609.790000000005
74,2021-01-19,27.808,28.818,26.322,26.5,5498.477000000001
75,2021-01-20,25.179,27.0,23.827,26.279,2843.5150000000003
76,2021-01-21,24.18,26.11,22.172,23.162,2580.114
77,2021-01-22,23.941,24.478,20.889,21.97,1664.769
78,2021-01-23,24.843,25.219,23.213,24.507,1460.1589999999999
79,2021-01-24,24.99,25.502,23.93,24.318,1034.8089999999997
80,2021-01-25,24.829,25.2,23.25,24.932,1021.1710000000002
81,2021-01-26,23.134,23.804,22.307,23.048,870.3209999999999
82,2021-01-27,21.229,23.048,20.295,22.498,1525.328
83,2021-01-28,21.085,22.911,20.868,22.826,970.4000000000001
84,2021-01-29,22.977,23.999,22.0,22.664,1257.1359999999997
85,2021-01-30,22.314,22.949,21.762,22.177,1038.97
86,2021-01-31,22.221,23.429,21.769,21.975,609.9720000000001
87,2021-02-01,22.679,23.43,21.25,22.203,1007.6419999999999
88,2021-02-02,23.036,23.65,22.514,23.0,651.8689999999999
89,2021-02-03,24.579,25.002,23.487,23.867,1627.2939999999996
90,2021-02-04,24.244,24.977,22.39,23.922,1534.1539999999995
91,2021-02-05,24.215,26.501,23.651,25.071,2410.3659999999995
92,2021-02-06,24.851,26.17,24.422,24.888,764.7370000000001
93,2021-02-07,25.044,25.503,23.648,24.5,605.088
94,2021-02-08,25.218,27.674,24.169,25.521,794.6540000000001
95,2021-02-09,30.99,31.786,26.63,30.779,2160.049
96,2021-02-10,32.245,35.779,30.0,32.552,1650.775
97,2021-02-11,37.9,38.995,33.257,36.01,1570.3410000000003
98,2021-02-12,36.976,38.19,35.228,36.92,1520.553
99,2021-02-13,37.435,45.01,35.0,38.565,5491.561
100,2021-02-14,41.5,48.0,40.995,41.804,2612.174
101,2021-02-15,42.913,45.243,36.0,42.323,1733.1370000000004
102,2021-02-16,43.082,44.6,40.2,42.945,774.9920000000001
103,2021-02-17,43.434,43.98,40.0,41.149,1372.2999999999997
104,2021-02-18,44.347,44.8,41.0,43.227,650.4759999999999
105,2021-02-19,44.499,49.5,42.49,42.999,1540.444
106,2021-02-20,48.745,50.0,43.0,47.9,771.11
107,2021-02-21,49.0,55.0,43.0,50.945,1520.5230000000001
108,2021-02-22,46.455,55.0,42.995,52.0,1193.823
109,2021-02-23,36.992,47.046,34.0,39.0,735.6220000000001
110,2021-02-24,41.756,44.197,37.385,43.452,1420.344
111,2021-02-25,41.456,43.452,38.678,41.21,338.41099999999994
112,2021-02-26,38.365,40.426,35.2,37.334,435.18600000000004
113,2021-02-27,38.056,39.414,37.0,38.396,228.582
114,2021-02-28,40.8,41.599,34.587,37.795,202.413
115,2021-03-01,37.156,40.0,35.528,37.427,800.802
116,2021-03-02,38.85,39.989,34.0,37.89,365.71099999999996
117,2021-03-03,37.7,41.598,37.496,41.598,392.43
118,2021-03-04,39.139,42.556,37.417,39.1,189.16500000000002
119,2021-03-05,37.128,39.104,35.876,37.128,241.96
120,2021-03-06,38.129,38.453,36.8,37.887,217.64400000000003
121,2021-03-07,38.553,39.328,38.111,38.898,187.012
122,2021-03-08,39.085,39.63,38.0,39.351,752.7449999999999
123,2021-03-09,41.85,42.8,39.62,41.787,666.968
124,2021-03-10,41.469,42.91,40.0,42.389,306.97200000000004
125,2021-03-11,39.584,42.5,39.352,40.543,620.083
126,2021-03-12,39.815,42.6,39.0,41.558,164.99800000000002
127,2021-03-13,39.099,42.456,38.774,40.975,366.037
128,2021-03-14,40.526,42.835,40.023,42.399,148.91599999999997
129,2021-03-15,39.302,41.999,37.5,40.265,470.36400000000003
130,2021-03-16,39.229,42.8,37.593,40.383,1718.5520000000001
131,2021-03-17,41.311,46.09,40.353,41.276,1484.1939999999997
132,2021-03-18,46.419,47.79,44.0,45.5,1080.893
133,2021-03-19,45.389,45.98,43.5,43.899,597.027
134,2021-03-20,45.307,45.5,43.0,45.499,244.4449999999999
135,2021-03-21,42.103,43.584,41.205,42.701,394.6169999999999
136,2021-03-22,42.63,44.044,40.533,42.842,962.0960000000001
137,2021-03-23,40.883,43.6,40.302,41.784,351.52799999999996
138,2021-03-24,42.515,45.27,38.5,41.5,1211.5700000000002
139,2021-03-25,40.328,40.567,37.7,39.419,397.07800000000003
140,2021-03-26,39.027,41.873,38.634,40.913,222.56799999999998
141,2021-03-27,41.478,42.763,40.356,41.103,315.72
142,2021-03-28,43.467,44.97,41.004,43.599,1425.433
143,2021-03-29,44.7,46.4,43.6,45.694,547.0669999999999
144,2021-03-30,44.607,45.679,44.132,44.9,809.172
145,2021-03-31,46.506,51.999,43.0,45.679,1536.2299999999998
146,2021-04-01,52.133,53.927,50.5,52.951,1332.443
147,2021-04-02,55.998,56.998,51.756,55.8,617.7440000000001
148,2021-04-03,53.745,57.0,48.0,52.08,845.482
149,2021-04-04,53.486,53.65,51.0,53.386,237.50099999999998
150,2021-04-05,52.998,59.718,45.0,49.0,524.765
151,2021-04-06,64.156,66.9,58.141,59.891,1403.6909999999998
152,2021-04-07,66.303,68.999,57.984,59.64,691.4750000000001
153,2021-04-08,61.86,64.998,59.64,60.017,183.64699999999993
154,2021-04-09,61.083,62.974,60.017,62.427,291.71999999999997
155,2021-04-10,60.0,63.313,60.0,61.948,554.55
156,2021-04-11,64.5,66.926,61.103,62.785,410.0810000000001
157,2021-04-12,63.915,64.598,60.001,62.6,286.361
158,2021-04-13,66.916,68.415,62.215,62.944,468.141
159,2021-04-14,65.459,70.816,64.236,65.477,1453.738
160,2021-04-15,71.087,74.0,66.919,68.733,593.44
161,2021-04-16,82.415,87.93,72.0,78.393,2304.028
162,2021-04-17,92.993,108.0,86.713,95.721,1927.2789999999998
163,2021-04-18,85.167,125.0,70.0,80.522,2203.007
164,2021-04-19,113.854,136.001,102.6,118.54,3465.3700000000003
165,2021-04-20,104.295,115.0,95.0,109.55,1480.9469999999997
166,2021-04-21,98.08,109.147,96.045,98.08,1002.5239999999999
167,2021-04-22,95.156,105.82,84.279,93.1,1044.6569999999997
168,2021-04-23,78.517,95.0,73.957,80.0,881.9269999999999
169,2021-04-24,81.581,90.0,79.438,88.208,783.8759999999999
170,2021-04-25,83.674,89.991,75.0,85.391,1110.184
171,2021-04-26,83.246,91.454,79.25,88.109,1214.847
172,2021-04-27,93.872,95.598,88.802,94.784,885.065
173,2021-04-28,91.585,97.83,85.002,93.857,561.8
174,2021-04-29,88.034,93.0,85.11,89.6,559.603
175,2021-04-30,90.293,99.0,88.031,93.3,585.497
176,2021-05-01,95.324,103.792,93.991,97.306,479.12299999999993
