,Date,Open,High,Low,Close,Volume
0,2021-07-01,0.665,0.7,0.6,0.6021,12911.779999999997
1,2021-07-02,0.5325,0.643,0.49,0.6429,4018.57
2,2021-07-03,0.6287,0.6463,0.5366,0.6286,4666.099999999999
3,2021-07-04,0.6203,0.6869,0.5953,0.6798,11938.39
4,2021-07-05,0.6409,0.6791,0.6,0.6641,87231.48
5,2021-07-06,0.6535,0.6789,0.6409,0.6542,78277.2
6,2021-07-07,0.7495,1.298,0.6522,0.7981,304601.15
7,2021-07-08,0.7083,0.805,0.6311,0.6762,220321.65
8,2021-07-09,0.6613,0.68,0.6111,0.6353,54202.729999999996
9,2021-07-10,0.7521,0.8,0.66,0.7184,169347.32
10,2021-07-11,0.7454,0.7997,0.6872,0.742,75219.37
11,2021-07-12,0.7113,0.7632,0.6867,0.6902,38196.909999999996
12,2021-07-13,0.7032,0.736,0.6771,0.6807,46141.59
13,2021-07-14,0.7792,0.7976,0.65,0.6793,55265.579999999994
14,2021-07-15,0.78,0.98,0.652,0.821,64186.909999999996
15,2021-07-16,0.8349,0.85,0.7469,0.8077,29252.85
16,2021-07-17,0.7203,0.776,0.7078,0.7496,27672.489999999998
17,2021-07-18,0.7135,0.7637,0.7016,0.7637,30146.449999999997
18,2021-07-19,0.6929,0.707,0.6397,0.6474,39757.25999999999
19,2021-07-20,0.5791,0.6592,0.5,0.6084,37339.37
20,2021-07-21,0.676,0.6804,0.5772,0.6576,47255.43000000001
21,2021-07-22,0.6506,0.7135,0.6412,0.7096,55884.51000000001
22,2021-07-23,0.7264,0.765,0.6708,0.6726,81759.43000000001
23,2021-07-24,0.8008,0.84,0.7395,0.7704,95197.93000000001
24,2021-07-25,0.7791,0.8514,0.7401,0.7508,112854.44
25,2021-07-26,0.7955,0.8464,0.734,0.734,72818.96
26,2021-07-27,0.7366,0.85,0.7186,0.7583,52282.09000000001
27,2021-07-28,0.7988,0.8083,0.7582,0.7754,49657.65
28,2021-07-29,0.7921,0.8293,0.7534,0.7941,47328.05
29,2021-07-30,0.7803,0.8037,0.7565,0.7796,14578.58
30,2021-07-31,0.796,0.8325,0.7801,0.7913,30136.75
31,2021-08-01,0.8157,0.86,0.78,0.8294,22934.1
32,2021-08-02,0.7884,0.8189,0.7662,0.7917,31797.750000000007
33,2021-08-03,0.7815,0.7979,0.7536,0.7735,13573.59
34,2021-08-04,0.7652,0.85,0.7543,0.7903,26035.8
35,2021-08-05,0.7986,0.8312,0.7543,0.7779,35894.82
36,2021-08-06,0.8335,0.85,0.7777,0.782,46340.56999999999
37,2021-08-07,0.8521,0.897,0.8241,0.8658,47617.580000000016
38,2021-08-08,0.8615,0.88,0.77,0.8452,30601.13
39,2021-08-09,0.7776,0.8699,0.7717,0.7816,17064.620000000003
