,Date,Open,High,Low,Close,Volume
0,2019-01,1.509,1.549,1.089,1.099,1987.24
1,2019-02,1.05,1.508,1.013,1.279,5040.82
2,2019-03,1.331,2.068,1.171,1.858,6713.77
3,2019-04,1.892,2.427,1.479,1.513,9733.4
4,2019-05,1.594,2.462,1.526,2.19,13864.300000000003
5,2019-06,2.284,3.2223,1.873,2.6606,22431.420000000002
6,2019-07,2.3408,2.7,1.3262,1.5319,13503.34
7,2019-08,1.5871,1.5871,1.0457,1.0822,14729.759999999998
8,2019-09,1.0953,1.1759,0.7694,0.7861,8146.219999999999
9,2019-10,0.8177,1.0839,0.7213,0.962,10346.17
10,2019-11,0.9402,1.0731,0.6939,0.7853,15933.430000000002
11,2019-12,0.7336,0.764,0.577,0.6168,8520.09
12,2020-01,0.6156,0.9228,0.5856,0.8995,95323.04999999999
13,2020-02,0.9038,1.4948,0.8326,0.8631,35332.09
14,2020-03,0.8329,0.9499,0.3789,0.506,94743.03
15,2020-04,0.5149,0.8185,0.507,0.7403,58424.66
16,2020-05,0.7703,2.5035,0.6516,1.4864,483395.99000000005
17,2020-06,1.7616,1.78,1.3479,1.4691,95753.06999999998
18,2020-07,1.4769,1.744,1.3975,1.6074,50196.62999999999
19,2020-08,1.6462,9.3663,1.4946,5.17,469346.55
20,2020-09,5.095,5.2347,2.5134,3.9838,131580.65
21,2020-10,4.0608,4.362,2.7785,2.9836,45067.79
22,2020-11,3.1433,5.1,2.6809,3.9,58086.663700000005
23,2020-12,4.0475,4.4163,2.1006,2.5173,63573.22
24,2021-01,2.5777,4.4,2.49,3.4604,197530.71
25,2021-02,3.7986,7.9865,3.3,4.2312,187142.59
26,2021-03,4.3576,8.4,4.2162,7.846,96460.76
27,2021-04,7.7179,12.29,5.0,7.4713,286569.06
28,2021-05,7.7833,19.8682,3.3846,6.4429,537953.6399999999
29,2021-06,6.4706,6.8954,2.9,4.2618,143121.38999999998
30,2021-07,4.18,4.8761,3.0782,4.2911,52617.98
31,2021-08,4.3904,7.39,4.0575,6.101,119658.40000000001
32,2021-09,6.86,12.4,5.7106,11.5429,229224.12
33,2021-10,12.801,18.151,12.1,13.379,76762.8
