,Date,Open,High,Low,Close,Volume
0,2021-06-21 16:00:00,0.6978,0.6978,0.6978,0.6978,0.0
1,2021-07-04 18:00:00,0.7199,0.7199,0.7199,0.7199,0.0
2,2021-07-23 18:00:00,0.626,0.626,0.626,0.626,0.0
3,2021-07-26 06:00:00,0.6911,0.6911,0.6911,0.6911,0.0
4,2021-08-01 14:00:00,0.8477,0.8477,0.8439,0.8439,878.73
5,2021-08-02 02:00:00,0.8062,0.808,0.8033,0.808,97.15
6,2021-08-06 21:00:00,0.8983,0.8983,0.89,0.89,10.54
7,2021-08-11 07:00:00,0.9689,0.98,0.9689,0.98,108.29
8,2021-08-12 01:00:00,1.06,1.06,1.0,1.0,10.0
9,2021-08-14 01:00:00,1.0701,1.0806,1.0591,1.0799,638.12
10,2021-08-31 00:00:00,1.04,1.04,1.0259,1.0259,12.58
11,2021-09-08 02:00:00,0.9915,1.0108,0.9915,1.0041,631.69
12,2021-09-29 07:00:00,0.7308,0.7308,0.7308,0.7308,0.0
13,2021-10-09 16:00:00,1.0296,1.0296,1.0198,1.0198,1512.5
14,2021-10-15 06:00:00,0.954,0.954,0.954,0.954,0.0
15,2021-10-26 04:00:00,0.9655,0.9655,0.9575,0.9575,7.72
16,2021-11-01 07:00:00,0.9927,1.0316,0.9927,1.0104,260.15
17,2021-11-04 21:00:00,1.1064,1.1064,1.1064,1.1064,0.0
18,2021-06-21 21:00:00,0.6978,0.6978,0.6978,0.6978,0.0
19,2021-06-24 01:00:00,0.563,0.563,0.563,0.563,0.0
20,2021-07-09 03:00:00,0.6883,0.6906,0.6883,0.6906,145.26
21,2021-07-23 22:00:00,0.626,0.626,0.626,0.626,0.0
22,2021-08-04 17:00:00,0.8509,0.8509,0.8509,0.8509,0.0
23,2021-08-14 05:00:00,1.0749,1.0749,1.0714,1.074,134.55
24,2021-08-14 15:00:00,1.0551,1.07,1.0551,1.0579,154.76
25,2021-08-28 20:00:00,1.0773,1.0773,1.0773,1.0773,0.0
26,2021-08-30 22:00:00,1.0485,1.0485,1.0485,1.0485,0.0
27,2021-09-17 00:00:00,1.013,1.014,1.013,1.014,16.47
28,2021-09-29 12:00:00,0.7386,0.7386,0.7386,0.7386,0.0
29,2021-10-06 07:00:00,0.9212,0.9212,0.9029,0.9029,250.19
30,2021-10-09 10:00:00,1.0454,1.0454,1.0454,1.0454,0.0
31,2021-10-20 04:00:00,0.9067,0.9067,0.9067,0.9067,0.0
32,2021-10-25 03:00:00,0.9387,0.9387,0.9387,0.9387,0.0
33,2021-11-01 19:00:00,1.0013,1.0013,1.0013,1.0013,0.0
34,2021-11-03 14:00:00,1.0248,1.0295,1.0248,1.0295,13.5
35,2021-11-03 20:00:00,1.0977,1.0977,1.085,1.085,144.98
36,2021-06-20 07:00:00,0.76,0.76,0.76,0.76,40.72
37,2021-06-21 13:00:00,0.7098,0.7098,0.5547,0.6978,117.2
38,2021-06-27 12:00:00,0.5541,0.5541,0.5533,0.5533,957.37
39,2021-07-06 05:00:00,0.7235,0.7235,0.7235,0.7235,0.0
40,2021-07-23 05:00:00,0.6233,0.6233,0.6233,0.6233,0.0
41,2021-07-25 06:00:00,0.6449,0.6449,0.6449,0.6449,0.0
42,2021-07-29 11:00:00,0.7042,0.7082,0.7042,0.7082,6.45
43,2021-07-31 20:00:00,0.8502,0.8502,0.8502,0.8502,0.0
44,2021-08-01 06:00:00,0.8626,0.8637,0.8589,0.8637,1352.37
45,2021-08-09 02:00:00,0.8748,0.8748,0.8748,0.8748,24.85
46,2021-08-16 09:00:00,1.1424,1.1424,1.1424,1.1424,0.0
47,2021-08-17 09:00:00,1.075,1.0779,1.075,1.077,522.33
48,2021-08-19 20:00:00,1.0338,1.0394,1.0338,1.0394,298.83
49,2021-08-22 12:00:00,1.114,1.114,1.114,1.114,3.04
50,2021-08-30 03:00:00,1.0714,1.0714,1.0502,1.0502,151.2
51,2021-08-31 18:00:00,1.0557,1.0557,1.0557,1.0557,2.41
52,2021-09-25 10:00:00,0.7973,0.8343,0.7973,0.8331,435.35
53,2021-09-27 19:00:00,0.7676,0.7676,0.7676,0.7676,0.0
54,2021-10-25 08:00:00,0.9814,0.9814,0.9607,0.9607,8.57
55,2021-10-30 06:00:00,0.9217,0.9217,0.9148,0.9148,171.63
56,2021-11-04 09:00:00,1.1286,1.1286,1.1096,1.12,606.19
57,2021-06-20 22:00:00,0.7725,0.7725,0.7725,0.7725,0.0
58,2021-07-07 08:00:00,0.7836,0.7836,0.7786,0.7786,4.91
59,2021-07-23 16:00:00,0.6238,0.6238,0.6096,0.6096,198.22
60,2021-08-01 08:00:00,0.8503,0.864,0.8503,0.8627,85.6
61,2021-08-02 05:00:00,0.8076,0.8079,0.8076,0.8079,33.96
62,2021-08-07 17:00:00,0.9182,0.9182,0.9182,0.9182,0.0
63,2021-08-10 04:00:00,0.9144,0.9144,0.9144,0.9144,10.0
64,2021-08-18 11:00:00,0.9955,0.997,0.9706,0.9712,734.66
65,2021-09-05 05:00:00,1.2766,1.2766,1.2701,1.2701,61.96
66,2021-09-13 00:00:00,1.0028,1.0028,1.0028,1.0028,0.0
67,2021-09-13 19:00:00,0.9514,0.9514,0.9514,0.9514,0.0
68,2021-10-05 03:00:00,0.857,0.857,0.857,0.857,11.23
69,2021-11-08 22:00:00,1.0705,1.0705,1.0705,1.0705,0.0
70,2021-06-23 01:00:00,0.5311,0.5311,0.5311,0.5311,0.0
71,2021-07-08 09:00:00,0.6978,0.6978,0.6978,0.6978,0.0
72,2021-07-10 03:00:00,0.7006,0.7006,0.7006,0.7006,0.0
73,2021-07-12 09:00:00,0.7265,0.7265,0.7232,0.7232,7.64
74,2021-07-13 14:00:00,0.7116,0.7133,0.6981,0.6981,12.04
75,2021-07-21 12:00:00,0.6019,0.6019,0.5895,0.5895,448.01
76,2021-07-27 11:00:00,0.6889,0.689,0.6889,0.689,25.0
77,2021-07-29 06:00:00,0.7126,0.7126,0.7003,0.7003,280.76
78,2021-08-07 09:00:00,0.92,0.9312,0.92,0.9312,21.76
79,2021-08-15 16:00:00,1.0449,1.0734,1.0449,1.0734,124.68
80,2021-08-22 01:00:00,1.0651,1.07,1.0651,1.07,5.25
81,2021-08-24 08:00:00,1.2319,1.2319,1.205,1.205,56.76
82,2021-08-27 10:00:00,1.0141,1.0203,1.0141,1.0203,12.0
83,2021-09-01 23:00:00,1.08,1.11,1.08,1.1009,916.61
84,2021-09-02 07:00:00,1.1126,1.1126,1.1126,1.1126,0.0
85,2021-10-05 01:00:00,0.8753,0.8753,0.8753,0.8753,0.0
86,2021-10-19 00:00:00,0.9,0.9215,0.9,0.9074,31.64
87,2021-10-20 21:00:00,0.9759,0.9759,0.9759,0.9759,0.0
88,2021-10-25 14:00:00,0.9543,0.9543,0.9543,0.9543,0.0
89,2021-11-08 04:00:00,1.04,1.04,1.04,1.04,0.0
90,2021-11-10 11:00:00,1.1634,1.1634,1.15,1.15,84.61
