,Date,Open,High,Low,Close,Volume
0,2020-11-04,0.2017,0.2017,0.201,0.201,27.64
1,2020-11-05,0.204,0.204,0.201,0.204,40395.68
2,2020-11-06,0.2171,0.2171,0.204,0.2171,12.5
3,2020-11-07,0.2171,0.2268,0.2171,0.224,23105.0
4,2020-11-08,0.228,0.2317,0.2203,0.224,17766.62
5,2020-11-09,0.228,0.228,0.2203,0.2204,3672.13
6,2020-11-10,0.2226,0.2226,0.2204,0.2226,299.14
7,2020-11-11,0.2363,0.2363,0.2226,0.2363,3601.88
8,2020-11-12,0.2363,0.2363,0.2302,0.2363,171.54
9,2020-11-13,0.2302,0.2302,0.2302,0.2302,7022.16
10,2020-11-14,0.2251,0.2314,0.2234,0.2251,459.88
11,2020-11-15,0.2251,0.2282,0.2251,0.2282,15.0
12,2020-11-16,0.2201,0.2282,0.2183,0.2201,225.76
13,2020-11-17,0.2201,0.2289,0.2201,0.2201,1271.71
14,2020-11-18,0.2443,0.2807,0.2235,0.246,19530.489999999998
15,2020-11-19,0.2688,0.2688,0.2444,0.2598,5397.84
16,2020-11-20,0.2444,0.2539,0.2397,0.248,5772.51
17,2020-11-21,0.2592,0.2643,0.2462,0.2592,39747.84
18,2020-11-22,0.2486,0.2592,0.2474,0.2572,724.38
19,2020-11-23,0.313,0.33,0.2486,0.2486,22884.91
20,2020-11-24,0.3252,0.37,0.305,0.3252,58156.25
21,2020-11-25,0.33,0.3419,0.3158,0.3419,8503.27
22,2020-11-26,0.2703,0.3158,0.258,0.2647,55282.19
23,2020-11-27,0.2758,0.2758,0.258,0.2582,4405.35
24,2020-11-28,0.2582,0.3,0.2582,0.2892,750.04
25,2020-11-29,0.2955,0.3087,0.2955,0.3,993.94
26,2020-11-30,0.3104,0.3193,0.2979,0.3193,9298.34
27,2020-12-01,0.314,0.3193,0.306,0.31,286.83000000000004
28,2020-12-02,0.2926,0.306,0.2871,0.3009,6855.71
29,2020-12-03,0.3073,0.3073,0.2966,0.3017,2756.95
30,2020-12-04,0.3098,0.3364,0.3017,0.3079,2744.29
31,2020-12-05,0.3098,0.3369,0.3098,0.3354,4047.85
32,2020-12-06,0.3075,0.3186,0.3059,0.307,3152.44
33,2020-12-07,0.3026,0.3139,0.3,0.3033,53267.02
34,2020-12-08,0.3061,0.3222,0.3011,0.303,2285.76
35,2020-12-09,0.3061,0.3061,0.2689,0.2776,3886.9199999999996
36,2020-12-10,0.2527,0.2776,0.2495,0.2748,7410.599999999999
37,2020-12-11,0.2594,0.2594,0.2517,0.2594,2185.23
38,2020-12-12,0.2591,0.2667,0.2517,0.2633,13545.42
39,2020-12-13,0.2591,0.2665,0.2552,0.261,2776.3100000000004
40,2020-12-14,0.2561,0.2667,0.2533,0.2597,50679.799999999996
41,2020-12-15,0.2581,0.2622,0.254,0.258,2586.43
42,2020-12-16,0.2574,0.2576,0.2484,0.2484,780.1699999999998
43,2020-12-17,0.2672,0.2749,0.2574,0.2616,2275.44
44,2020-12-18,0.2605,0.2623,0.26,0.2623,137.45
45,2020-12-19,0.2623,0.2623,0.2503,0.2578,14969.019999999999
46,2020-12-20,0.2491,0.2655,0.2406,0.2416,4391.469999999999
47,2020-12-21,0.2655,0.4999,0.2509,0.2805,115731.40999999999
48,2020-12-22,0.2529,0.2775,0.2446,0.2515,33177.799999999996
49,2020-12-23,0.269,0.269,0.2313,0.243,13600.42
50,2020-12-24,0.2178,0.2452,0.2178,0.2387,7102.97
51,2020-12-25,0.2403,0.2413,0.2352,0.2403,3399.3900000000003
52,2020-12-26,0.2355,0.2376,0.2295,0.23,5606.660000000001
53,2020-12-27,0.2465,0.2686,0.2332,0.2473,1725.41
54,2020-12-28,0.2468,0.2477,0.2401,0.2468,735.2
55,2020-12-29,0.2322,0.2445,0.2322,0.2322,981.69
56,2020-12-30,0.2322,0.2356,0.2322,0.233,2656.05
57,2020-12-31,0.228,0.233,0.2225,0.233,1080.98
58,2021-01-01,0.2283,0.2338,0.2251,0.2319,1420.96
59,2021-01-02,0.2333,0.2431,0.2262,0.2262,3655.43
60,2021-01-03,0.2303,0.2333,0.2262,0.2303,512.0799999999999
61,2021-01-04,0.2287,0.2532,0.2287,0.2287,954.84
62,2021-01-05,0.2287,0.2584,0.2287,0.2416,10001.61
63,2021-01-06,0.2625,0.3,0.2576,0.285,10529.97
64,2021-01-07,0.3035,0.3035,0.268,0.3035,1785.4299999999998
65,2021-01-08,0.2799,0.3035,0.265,0.2799,14605.490000000002
66,2021-01-09,0.2862,0.31,0.2665,0.2786,6011.03
67,2021-01-10,0.2852,0.3144,0.2748,0.2748,3762.94
68,2021-01-11,0.2644,0.2748,0.2345,0.2644,1744.35
69,2021-01-12,0.2594,0.2639,0.2428,0.2628,10112.26
70,2021-01-13,0.261,0.2669,0.2438,0.2562,3593.42
71,2021-01-14,0.2668,0.276,0.2631,0.2676,12710.65
