,Date,Open,High,Low,Close,Volume
0,2021-05-20,1881.96,2100.0,580.0,1896.3,19.909000000000002
1,2021-05-21,1876.19,1890.09,1857.28,1871.56,3.9440999999999997
2,2021-05-22,1891.24,1921.63,1844.94,1905.0,6.7872
3,2021-05-23,1888.8,1913.45,1878.51,1884.92,3.164399999999999
4,2021-05-24,1878.51,1909.54,1873.61,1889.0,5.314399999999999
5,2021-05-25,1895.8,1918.94,1868.96,1895.05,4.1763
6,2021-05-26,1891.34,1925.12,1870.0,1898.08,12.874999999999998
7,2021-05-27,1916.24,1916.24,1888.21,1890.34,0.24759999999999993
8,2021-05-28,1882.78,1914.11,1875.0,1914.11,1.9596000000000002
9,2021-05-29,1905.04,1943.61,1898.58,1916.51,0.4201
10,2021-05-30,1914.21,1947.75,1914.21,1919.0,1.7410000000000003
11,2021-05-31,1909.19,1935.46,1905.65,1934.36,7.552300000000002
12,2021-06-01,1914.99,1934.36,1892.33,1918.98,5.189400000000001
13,2021-06-02,1918.49,1918.49,1890.23,1913.5,1.0125000000000002
14,2021-06-03,1875.0,1915.0,1875.0,1913.79,2.7777
15,2021-06-04,1870.08,1902.9,1855.97,1892.0,2.4332000000000003
16,2021-06-05,1905.9,1905.9,1874.91,1874.91,0.6158
17,2021-06-06,1888.54,1905.9,1885.81,1905.9,0.9852
18,2021-06-07,1897.0,1907.0,1881.08,1903.88,2.4908
19,2021-06-08,1887.35,1915.0,1881.08,1887.35,2.8590999999999998
20,2021-06-09,1885.08,1905.0,1881.07,1881.84,0.1259
21,2021-06-10,1885.16,1904.77,1882.86,1883.02,0.2315
22,2021-06-11,1909.69,1910.87,1881.83,1901.09,0.09029999999999999
23,2021-06-12,1881.83,1900.0,1880.39,1881.08,0.36879999999999996
24,2021-06-13,1880.39,1898.0,1873.48,1873.48,0.22760000000000005
25,2021-06-14,1870.6,1910.0,1856.33,1887.59,3.15
26,2021-06-15,1880.86,1882.14,1845.69,1880.87,0.6007
27,2021-06-16,1830.57,1873.33,1830.0,1842.52,0.7592
28,2021-06-17,1774.16,1836.47,1765.85,1803.17,4.5925
