,Date,Open,High,Low,Close,Volume
0,2021-08-19,18.587,19.923,16.074,18.54,3694.534
1,2021-08-20,18.3,19.0,17.1,18.462,1527.8899999999999
2,2021-08-21,17.416,18.76,15.655,17.325,419.6909999999999
3,2021-08-22,17.79,18.048,16.119,17.415,374.54800000000006
4,2021-08-23,17.188,17.89,16.15,17.499,222.672
5,2021-08-24,16.99,16.99,15.501,16.627,80.05299999999998
6,2021-08-25,15.712,16.959,15.52,15.584,129.24699999999999
7,2021-08-26,15.79,17.0,15.002,15.731,144.02499999999998
8,2021-08-27,17.089,17.089,15.002,15.568,192.92
9,2021-08-28,16.928,17.475,16.038,17.0,128.004
10,2021-08-29,17.475,17.475,16.152,16.786,103.36399999999998
11,2021-08-30,18.1,24.28,16.312,18.1,2151.738
12,2021-08-31,18.491,22.15,18.49,20.5,560.653
13,2021-09-01,18.601,19.99,18.491,18.619,266.33399999999995
14,2021-09-02,19.147,19.879,18.391,19.5,180.29699999999997
15,2021-09-03,18.713,19.498,18.391,18.412,300.838
16,2021-09-04,18.697,19.75,18.697,19.43,135.84199999999998
17,2021-09-05,18.998,19.43,17.02,18.877,266.5739999999999
18,2021-09-06,19.178,21.15,18.205,20.853,550.0860000000001
19,2021-09-07,20.845,20.845,17.0,17.158,312.782
20,2021-09-08,16.001,20.8,16.001,19.992,392.163
21,2021-09-09,18.937,19.992,16.003,17.702,455.737
22,2021-09-10,16.8,18.889,15.429,16.8,391.43199999999996
23,2021-09-11,16.05,16.55,15.51,16.2,152.913
24,2021-09-12,15.44,16.21,14.9,16.07,269.82000000000005
25,2021-09-13,16.07,16.28,13.45,13.899,566.9689999999999
26,2021-09-14,16.46,18.21,15.6,17.5,1100.443
27,2021-09-15,17.54,18.19,16.71,16.99,227.853
28,2021-09-16,18.05,18.24,16.6,16.6,364.22200000000004
29,2021-09-17,16.38,17.26,14.81,15.2,483.8709999999999
30,2021-09-18,15.609,15.609,14.82,15.05,138.22
31,2021-09-19,14.44,15.0,14.15,14.93,234.59
32,2021-09-20,12.589,15.189,12.0,13.02,569.208
33,2021-09-21,13.0,13.34,11.46,12.983,396.437
34,2021-09-22,14.05,14.75,11.0,12.12,393.996
35,2021-09-23,13.04,14.149,12.473,12.8,674.395
36,2021-09-24,11.2,13.23,11.16,12.07,422.90799999999996
37,2021-09-25,11.9,12.369,11.53,11.719,126.76299999999999
38,2021-09-26,14.54,15.4,10.67,14.71,1452.659
39,2021-09-27,17.88,19.0,14.5,15.0,3955.9379999999996
40,2021-09-28,14.72,16.8,13.81,14.41,1416.317
41,2021-09-29,14.88,16.72,13.47,14.34,698.0229999999999
42,2021-09-30,14.169,16.03,14.04,14.96,555.366
43,2021-10-01,14.91,15.259,14.12,14.331,743.4770000000001
44,2021-10-02,15.46,16.34,14.65,15.82,937.54
45,2021-10-03,15.15,15.82,14.81,15.3,505.89199999999994
46,2021-10-04,15.02,15.6,14.32,15.31,404.591
47,2021-10-05,14.32,14.88,13.73,14.62,498.893
48,2021-10-06,13.6,14.34,12.65,12.93,1478.8320000000003
49,2021-10-07,13.79,14.409,13.27,13.76,400.98900000000003
50,2021-10-08,13.65,14.189,13.25,13.9,683.199
51,2021-10-09,13.929,14.41,13.66,14.09,713.073
52,2021-10-10,13.999,14.339,13.81,14.058,439.901
53,2021-10-11,14.2,15.5,13.759,15.06,886.7079999999997
54,2021-10-12,15.15,15.871,14.247,14.77,907.0710000000001
55,2021-10-13,18.836,19.045,15.45,15.78,909.0450000000001
56,2021-10-14,17.4,18.0,15.9,16.9,347.457
57,2021-10-15,17.45,18.99,15.6,16.654,1283.0500000000002
58,2021-10-16,17.164,18.0,15.601,17.7,216.358
59,2021-10-17,16.904,17.499,16.84,17.16,102.295
60,2021-10-18,17.3,19.21,15.96,17.3,913.6809999999998
61,2021-10-19,16.69,16.82,14.511,16.5,1058.469
62,2021-10-20,15.591,16.24,15.36,16.035,383.601
63,2021-10-21,16.1,16.52,15.71,15.939,289.375
64,2021-10-22,15.85,16.549,15.601,15.72,348.30400000000003
65,2021-10-23,16.239,16.499,15.94,16.499,278.07099999999997
66,2021-10-24,15.68,16.18,15.0,15.896,42.072
67,2021-10-25,15.828,16.579,15.828,16.229,494.37200000000007
68,2021-10-26,16.9,17.62,16.25,16.39,360.91200000000003
69,2021-10-27,17.25,18.0,15.12,15.789,288.71
70,2021-10-28,15.979,16.97,14.602,14.602,309.02299999999997
71,2021-10-29,16.28,16.77,14.8,15.048,168.86399999999998
72,2021-10-30,16.621,16.879,16.27,16.353,195.32299999999998
73,2021-10-31,16.329,17.0,15.177,15.5,21.061999999999994
74,2021-11-01,15.302,17.079,14.99,15.53,359.977
75,2021-11-02,15.503,16.5,14.0,16.0,705.4739999999999
76,2021-11-03,16.298,16.5,15.0,15.996,252.73100000000005
77,2021-11-04,15.36,16.26,15.05,16.229,131.852
78,2021-11-05,15.36,16.027,15.36,16.022,101.84700000000001
79,2021-11-06,15.37,15.993,15.366,15.88,31.122
80,2021-11-07,15.381,17.2,15.38,15.886,256.113
81,2021-11-08,15.699,17.0,15.38,15.71,90.61899999999999
82,2021-11-09,17.188,18.2,15.74,17.0,208.92600000000004
83,2021-11-10,17.27,17.62,15.86,17.27,167.957
84,2021-11-11,15.83,16.92,15.77,16.1,121.38099999999999
