,Date,Open,High,Low,Close,Volume
0,2021-08-26 08:00:00,15.79,15.79,15.79,15.79,0.0
1,2021-09-19 17:00:00,14.44,14.54,14.44,14.45,35.568
2,2021-09-25 15:00:00,11.9,11.9,11.789,11.789,23.776
3,2021-10-10 11:00:00,13.999,14.057,13.989,14.057,1.065
4,2021-10-14 20:00:00,17.4,17.45,17.4,17.45,2.859
5,2021-10-16 22:00:00,17.164,17.164,17.164,17.164,0.0
6,2021-10-21 15:00:00,16.1,16.1,15.71,15.71,25.746
7,2021-10-31 23:00:00,16.329,16.329,16.329,16.329,0.0
8,2021-08-28 12:00:00,16.928,16.928,16.064,16.064,23.742
9,2021-09-13 23:00:00,16.07,16.07,16.07,16.07,0.0
10,2021-09-29 15:00:00,14.88,14.94,14.88,14.89,1.796
11,2021-09-30 15:00:00,14.169,14.249,14.04,14.159,39.41
12,2021-10-06 17:00:00,13.6,13.65,13.6,13.64,2.064
13,2021-10-07 14:00:00,13.79,13.79,13.558,13.58,3.317
14,2021-10-11 18:00:00,14.2,14.2,14.2,14.2,0.0
15,2021-10-14 04:00:00,16.929,16.929,16.012,16.718,8.152
16,2021-10-30 18:00:00,16.621,16.621,16.621,16.621,0.0
17,2021-11-02 18:00:00,15.503,15.6,15.503,15.6,1.741
18,2021-08-26 19:00:00,15.37,15.37,15.2,15.2,4.277
19,2021-09-13 01:00:00,15.182,15.182,15.182,15.182,0.0
20,2021-09-13 13:00:00,14.18,14.45,14.06,14.45,37.456
21,2021-09-15 21:00:00,17.54,17.54,17.41,17.41,10.494
22,2021-09-19 09:00:00,14.93,14.93,14.92,14.92,29.638
23,2021-09-30 23:00:00,14.31,14.31,14.3,14.3,2.955
24,2021-10-11 07:00:00,14.6,14.79,14.6,14.77,213.187
25,2021-10-24 18:00:00,15.68,15.68,15.68,15.68,0.0
26,2021-10-31 13:00:00,16.1,16.1,16.1,16.1,6.672
27,2021-11-05 12:00:00,15.36,16.0,15.36,16.0,0.926
28,2021-11-06 07:00:00,15.37,15.37,15.37,15.37,0.209
29,2021-11-06 09:00:00,15.37,15.381,15.37,15.38,0.66
30,2021-08-22 12:00:00,17.79,17.79,17.003,17.775,3.939
31,2021-08-25 22:00:00,15.712,16.959,15.712,15.712,2.362
32,2021-08-29 00:00:00,17.475,17.475,17.351,17.351,0.161
33,2021-09-11 14:00:00,16.05,16.55,16.04,16.55,12.802
34,2021-09-12 07:00:00,15.44,15.525,15.39,15.525,8.202
35,2021-09-22 23:00:00,14.05,14.05,14.05,14.05,0.0
36,2021-09-23 17:00:00,13.04,13.337,13.04,13.337,29.831
37,2021-09-27 04:00:00,17.88,17.88,17.11,17.36,145.063
38,2021-09-29 16:00:00,14.89,14.89,14.48,14.6,2.024
39,2021-10-03 21:00:00,15.15,15.15,14.81,14.81,31.749
40,2021-10-22 17:00:00,15.85,15.85,15.85,15.85,0.0
41,2021-10-25 00:00:00,15.828,15.828,15.828,15.828,0.0
42,2021-11-01 15:00:00,15.302,15.302,15.302,15.302,0.0
43,2021-11-07 07:00:00,15.381,15.381,15.381,15.381,0.683
44,2021-08-29 06:00:00,16.9,16.9,16.9,16.9,0.0
45,2021-08-29 23:00:00,16.757,16.757,16.757,16.757,0.0
46,2021-09-01 10:00:00,18.601,19.0,18.601,19.0,0.278
47,2021-09-09 19:00:00,18.937,18.937,18.889,18.889,0.106
48,2021-10-04 04:00:00,15.02,15.09,14.9,15.09,25.526
49,2021-10-18 13:00:00,17.3,17.3,17.229,17.23,3.885
50,2021-10-20 06:00:00,15.591,15.591,15.36,15.36,19.664
51,2021-10-22 23:00:00,16.0,16.0,16.0,16.0,0.0
52,2021-10-25 22:00:00,16.39,16.39,16.39,16.39,0.0
53,2021-11-02 22:00:00,16.25,16.5,16.25,16.5,5.936
54,2021-09-09 15:00:00,18.49,18.49,17.889,18.489,14.549
55,2021-09-13 06:00:00,14.21,14.21,14.12,14.12,17.665
56,2021-10-08 10:00:00,13.65,13.65,13.47,13.47,1.373
57,2021-10-19 13:00:00,16.69,16.69,16.55,16.55,0.2
58,2021-10-21 21:00:00,15.939,15.939,15.939,15.939,0.0
59,2021-09-06 01:00:00,19.178,19.178,19.178,19.178,0.0
60,2021-09-11 09:00:00,15.76,15.82,15.76,15.82,0.363
61,2021-09-26 23:00:00,14.54,14.54,14.54,14.54,0.0
62,2021-10-08 12:00:00,13.639,13.639,13.629,13.629,1.925
