,Date,Open,High,Low,Close,Volume
0,2021-07-15,0.6883,0.7928,0.681,0.7141,123657.34
1,2021-07-16,0.652,0.7422,0.6417,0.6832,32775.46
2,2021-07-17,0.6659,0.6999,0.6444,0.6904,9471.54
3,2021-07-18,0.641,0.7094,0.64,0.641,21713.02
4,2021-07-19,0.6,0.6814,0.5985,0.6022,14439.389999999998
5,2021-07-20,0.5569,0.5985,0.5436,0.57,10015.920000000002
6,2021-07-21,0.58,0.605,0.5503,0.605,8723.84
7,2021-07-22,0.5856,0.6169,0.5785,0.5785,2643.9699999999993
8,2021-07-23,0.6493,0.6749,0.5897,0.6005,9369.36
9,2021-07-24,0.64,0.6896,0.6379,0.641,4171.400000000001
10,2021-07-25,0.6445,0.6765,0.6337,0.6649,1662.2299999999998
11,2021-07-26,0.7282,0.7588,0.6727,0.7075,7311.610000000001
12,2021-07-27,0.6951,0.7588,0.6613,0.6978,9295.999999999998
13,2021-07-28,0.7223,0.7223,0.7,0.7106,1136.08
14,2021-07-29,0.6831,0.7242,0.6831,0.7005,2892.6400000000003
15,2021-07-30,0.7106,0.7549,0.6882,0.6999,967.29
16,2021-07-31,0.7103,0.7413,0.7103,0.7399,5135.919999999999
17,2021-08-01,0.7342,0.7549,0.7277,0.74,1179.5700000000002
18,2021-08-02,0.72,0.73,0.6978,0.7116,507.73
19,2021-08-03,0.7092,0.7462,0.6901,0.7023,3700.55
20,2021-08-04,0.8132,0.8503,0.7202,0.7202,14978.03
21,2021-08-05,0.8509,0.9026,0.7826,0.7891,10769.580000000002
22,2021-08-06,0.9871,1.1499,0.8329,1.0405,57654.46000000001
23,2021-08-07,0.9591,1.0404,0.9189,1.0023,31009.639999999996
24,2021-08-08,0.9327,0.9628,0.871,0.9318,19769.860000000004
25,2021-08-09,0.8758,0.95,0.8649,0.939,7638.639999999999
26,2021-08-10,0.916,0.942,0.8735,0.9209,8035.240000000002
27,2021-08-11,1.0115,1.0228,0.9227,0.9751,15863.839999999998
28,2021-08-12,0.935,0.976,0.85,0.8836,2186.830000000001
29,2021-08-13,1.1996,150.0,0.935,1.1996,37333.020000000004
30,2021-08-14,1.0,1.1159,0.9884,1.0,23216.44
31,2021-08-15,1.259,1.2798,1.0698,1.1348,37442.92
32,2021-08-16,1.1629,1.4336,1.147,1.3531,16693.13
33,2021-08-17,1.1992,1.4251,1.19,1.3018,27249.239999999998
34,2021-08-18,1.1565,1.2621,1.1209,1.262,15023.96
35,2021-08-19,1.1307,1.3811,1.1201,1.1517,18487.180000000004
36,2021-08-20,1.28,1.3836,1.2773,1.3005,11597.41
37,2021-08-21,1.2967,1.3085,1.2373,1.266,16053.459999999997
38,2021-08-22,1.2083,1.2977,1.2001,1.264,5421.430000000001
39,2021-08-23,1.248,1.2977,1.203,1.2617,3468.73
40,2021-08-24,1.2263,1.2776,1.14,1.1911,5391.03
41,2021-08-25,1.1484,1.22,1.1035,1.14,2980.1300000000006
42,2021-08-26,1.0996,1.2397,1.07,1.1088,3327.7099999999996
43,2021-08-27,1.131,1.1375,1.0428,1.0456,6701.529999999999
44,2021-08-28,1.1305,1.1786,1.1,1.1051,3192.48
45,2021-08-29,1.1305,1.1433,1.0933,1.1063,4873.079999999999
46,2021-08-30,1.07,1.1411,1.0627,1.1149,2595.8199999999993
47,2021-08-31,1.2531,1.3495,1.0381,1.1135,22075.34
48,2021-09-01,1.2445,1.3,1.1399,1.1874,15514.919999999998
49,2021-09-02,1.18,1.2134,1.1536,1.18,9987.730000000001
50,2021-09-03,1.1677,1.26,1.14,1.2113,7910.070000000001
51,2021-09-04,1.3269,1.56,1.204,1.3269,60277.29999999999
52,2021-09-05,1.6115,1.8,1.399,1.5211,251008.33000000002
53,2021-09-06,1.4319,1.4596,1.3696,1.4104,46014.83999999999
54,2021-09-07,1.14,1.4002,1.103,1.3172,32148.1
55,2021-09-08,1.1282,1.1797,0.9827,1.1218,19188.11
56,2021-09-09,1.1632,1.1846,1.1,1.1,20124.51
57,2021-09-10,1.089,1.1542,1.0098,1.0437,6170.230000000001
58,2021-09-11,1.0437,1.12,1.0413,1.0967,4869.59
