,Date,Open,High,Low,Close,Volume
0,2019-01-08,0.1364,0.1433,0.1354,0.1377,7356.0
1,2019-01-09,0.1408,0.1408,0.1373,0.1392,3744.0
2,2019-01-10,0.1386,0.14,0.1217,0.1298,3492.0
3,2019-01-11,0.1154,0.1232,0.1154,0.1154,651.0
4,2019-01-12,0.1183,0.135,0.1154,0.1183,2101.0
5,2019-01-13,0.1325,0.1325,0.1145,0.1325,154.0
6,2019-01-14,0.117,0.117,0.1142,0.117,2121.0
7,2019-01-15,0.1191,0.1193,0.1142,0.1155,2338.0
8,2019-01-16,0.1156,0.12,0.1145,0.1172,2621.0
9,2019-01-17,0.1197,0.1204,0.1165,0.119,1234.0
10,2019-01-18,0.1188,0.119,0.1178,0.119,1819.0
11,2019-01-19,0.1201,0.1235,0.1179,0.1201,2079.0
12,2019-01-20,0.1242,0.1257,0.1162,0.1231,1351.0
13,2019-01-21,0.118,0.118,0.1162,0.118,421.0
14,2019-01-22,0.118,0.1222,0.118,0.1218,163.0
15,2019-01-23,0.1222,0.1235,0.1222,0.1222,283.0
16,2019-01-24,0.1191,0.1235,0.1191,0.1191,3241.0
17,2019-01-25,0.1189,0.1236,0.1174,0.1215,4571.0
18,2019-01-26,0.1203,0.1206,0.1188,0.1203,1116.0
19,2019-01-27,0.119,0.1191,0.1145,0.119,5406.0
20,2019-01-28,0.1116,0.1145,0.101,0.1145,3383.0
21,2019-01-29,0.1029,0.103,0.0961,0.0981,4238.0
22,2019-01-30,0.0983,0.1018,0.0983,0.1018,3102.0
23,2019-01-31,0.0956,0.1026,0.0956,0.1026,2125.0
24,2019-02-01,0.092,0.0956,0.092,0.092,1838.0
25,2019-02-02,0.0935,0.0935,0.0935,0.0935,0.0
26,2019-02-03,0.0918,0.0935,0.0918,0.0935,3057.0
27,2019-02-04,0.0918,0.0918,0.09,0.0905,927.0
28,2019-02-05,0.09,0.0903,0.09,0.0903,62.0
29,2019-02-06,0.084,0.0903,0.0813,0.0813,6324.0
30,2019-02-07,0.0854,0.0911,0.083,0.0854,11302.0
31,2019-02-08,0.0883,0.0958,0.0883,0.0927,10427.0
32,2019-02-09,0.0927,0.0937,0.092,0.0927,2238.0
33,2019-02-10,0.0908,0.0927,0.0896,0.0896,2435.0
34,2019-02-11,0.0896,0.0896,0.0889,0.089,1314.0
35,2019-02-12,0.0914,0.0914,0.0879,0.0897,13775.0
36,2019-02-13,0.0891,0.0914,0.0866,0.0905,1377.0
37,2019-02-14,0.0866,0.0877,0.0866,0.0877,3285.0
38,2019-02-15,0.0866,0.0877,0.0866,0.0877,345.0
39,2019-02-16,0.0866,0.0877,0.0866,0.0877,831.0
40,2019-02-17,0.0895,0.0948,0.0877,0.091,14348.0
41,2019-02-18,0.0948,0.0963,0.0939,0.0948,5808.0
42,2019-02-19,0.0961,0.0961,0.0924,0.0932,6179.0
43,2019-02-20,0.0921,0.0951,0.0916,0.0921,1642.0
44,2019-02-21,0.0937,0.0937,0.0897,0.0922,1641.0
45,2019-02-22,0.0912,0.0915,0.0897,0.091,52.0
46,2019-02-23,0.0914,0.0941,0.0912,0.0914,1807.0
47,2019-02-24,0.0948,0.0948,0.0844,0.0931,3078.0
48,2019-02-25,0.0861,0.0861,0.0841,0.0844,620.0
49,2019-02-26,0.0869,0.0869,0.084,0.084,1111.0
50,2019-02-27,0.0853,0.0894,0.084,0.0889,1329.0
51,2019-02-28,0.0889,0.0889,0.0874,0.0884,287.0
52,2019-03-01,0.0884,0.0884,0.0878,0.0878,2225.0
53,2019-03-02,0.0878,0.0967,0.0878,0.0878,1251.0
54,2019-03-03,0.1001,0.1039,0.093,0.0994,5952.0
55,2019-03-04,0.093,0.096,0.086,0.086,5037.0
56,2019-03-05,0.0922,0.0923,0.0871,0.0887,1008.0
57,2019-03-06,0.0878,0.0922,0.0878,0.0884,2929.0
58,2019-03-07,0.0878,0.09,0.0878,0.0884,1443.0
59,2019-03-08,0.0884,0.0884,0.0884,0.0884,0.0
60,2019-03-09,0.0943,0.0966,0.0884,0.0884,1341.0
61,2019-03-10,0.093,0.0945,0.0917,0.0917,8922.0
62,2019-03-11,0.0963,0.105,0.0917,0.0917,2758.0
63,2019-03-12,0.1027,0.1077,0.0889,0.1033,18030.0
64,2019-03-13,0.1038,0.1083,0.1002,0.1038,1488.0
65,2019-03-14,0.102,0.102,0.0973,0.1002,812.0
66,2019-03-15,0.0984,0.1019,0.0984,0.0984,350.0
67,2019-03-16,0.1019,0.1019,0.0992,0.0996,620.0
68,2019-03-17,0.1027,0.1027,0.098,0.1011,6589.0
69,2019-03-18,0.1011,0.1011,0.0995,0.1011,599.0
70,2019-03-19,0.0993,0.103,0.0993,0.0995,712.0
71,2019-03-20,0.103,0.103,0.1007,0.1024,1364.0
72,2019-03-21,0.0992,0.1051,0.095,0.1051,1830.0
73,2019-03-22,0.0996,0.1,0.0992,0.0996,159.0
74,2019-03-23,0.0996,0.1002,0.0981,0.1,1222.0
75,2019-03-24,0.0981,0.1357,0.0981,0.1235,25329.0
76,2019-03-25,0.1361,0.15,0.1173,0.1173,8815.0
77,2019-03-26,0.118,0.118,0.1131,0.1131,746.0
