,Date,Open,High,Low,Close,Volume
0,2019-01,0.1379,0.1433,0.0956,0.1026,62479.0
1,2019-02,0.092,0.0963,0.0813,0.0884,97439.0
2,2019-03,0.0884,0.15,0.086,0.1123,113245.0
3,2019-04,0.1167,0.135,0.0822,0.0822,68439.0
4,2019-05,0.0842,0.12,0.0751,0.1,261876.0
5,2019-06,0.1001,0.1043,0.0792,0.0843,175737.0
6,2019-07,0.0853,0.0866,0.05,0.0531,106669.0
7,2019-08,0.0531,0.0531,0.028,0.0359,122575.0
8,2019-09,0.036,0.0367,0.0241,0.0248,233786.0
9,2019-10,0.0248,0.0296,0.0226,0.025,293972.0
10,2019-11,0.0258,0.028,0.0102,0.0214,255242.0
11,2019-12,0.023,0.0287,0.0159,0.0164,1701189.0
12,2020-01,0.0157,0.0208,0.0157,0.0197,1087155.0
13,2020-02,0.0199,0.0392,0.0191,0.0247,2206399.0
14,2020-03,0.0247,0.0328,0.0109,0.0199,1611904.0
15,2020-04,0.0194,0.0232,0.0177,0.0221,1010857.0
16,2020-05,0.0216,0.0514,0.02,0.0406,7643930.0
17,2020-06,0.046,0.0596,0.035,0.0391,5357267.0
18,2020-07,0.0385,0.0461,0.03,0.0388,3649674.0
19,2020-08,0.0396,0.065,0.0373,0.0599,3256174.0
20,2020-09,0.0582,0.0613,0.0327,0.0429,612852.0
21,2020-10,0.0412,0.0699,0.0312,0.0433,878253.0
22,2020-11,0.0422,0.08,0.037,0.0686,1795088.9616999999
23,2020-12,0.0686,0.1008,0.0597,0.0812,2012413.0
24,2021-01,0.0978,0.12,0.0716,0.0959,2341233.0
25,2021-02,0.092,0.6697,0.0914,0.3172,5243960.0
26,2021-03,0.3412,0.73,0.3171,0.6106,1209325.0
27,2021-04,0.603,0.735,0.25,0.3713,2317618.0
28,2021-05,0.415,0.49,0.1625,0.231,1880163.0
29,2021-06,0.2479,0.28,0.1011,0.173,2378073.0
30,2021-07,0.1857,0.3082,0.1448,0.2689,5293993.0
31,2021-08,0.2708,0.4124,0.2451,0.3448,3547270.0
32,2021-09,0.3539,1.3,0.3478,0.675,15685773.0
33,2021-10,0.7084,1.07,0.6,0.7021,2751817.0
