,Date,Open,High,Low,Close,Volume
0,2021-04-10,5.09,5.59,4.31,4.71,63759.56999999999
1,2021-04-11,4.41,4.72,3.92,4.46,42761.65000000001
2,2021-04-12,4.64,5.7,4.42,5.18,102882.42
3,2021-04-13,4.45,4.79,4.27,4.38,33167.950000000004
4,2021-04-14,4.05,4.76,3.91,4.16,56930.52
5,2021-04-15,4.39,4.56,4.03,4.13,42398.92
6,2021-04-16,4.1,4.25,3.6,3.87,47458.72000000001
7,2021-04-17,4.05,4.18,3.7,3.89,39379.93
8,2021-04-18,3.3,3.94,3.0,3.29,30347.370000000006
9,2021-04-19,3.49,3.6,2.96,3.34,24920.1
10,2021-04-20,3.0,3.59,2.69,2.85,29460.369999999995
11,2021-04-21,3.36,3.66,2.77,3.38,18433.84
12,2021-04-22,2.83,3.27,2.53,2.93,15699.649999999998
13,2021-04-23,2.38,2.6,1.41,2.06,29620.729999999996
14,2021-04-24,2.49,2.64,2.22,2.54,35129.590000000004
15,2021-04-25,2.56,2.6,2.21,2.48,12573.329999999998
16,2021-04-26,3.15,3.59,2.43,3.15,45105.880000000005
17,2021-04-27,3.38,3.57,3.17,3.55,16927.14
18,2021-04-28,3.29,3.51,3.0,3.29,16125.870000000003
19,2021-04-29,3.2,3.39,3.06,3.25,5815.080000000001
20,2021-04-30,3.16,3.37,3.12,3.16,8548.59
21,2021-05-01,3.24,3.36,3.19,3.25,6958.57
22,2021-05-02,3.27,3.4,3.13,3.16,7160.630000000001
23,2021-05-03,3.42,3.56,3.28,3.42,12551.570000000003
24,2021-05-04,2.91,3.37,2.9,3.2,14449.220000000001
25,2021-05-05,2.85,3.11,2.84,3.07,17968.010000000002
26,2021-05-06,3.11,3.16,2.88,2.96,17305.429999999997
27,2021-05-07,2.96,3.2,2.8,2.92,18531.110000000004
28,2021-05-08,3.08,3.28,2.95,3.08,11878.53
29,2021-05-09,2.88,3.1,2.55,2.96,9585.200000000003
30,2021-05-10,2.66,3.02,2.5,2.97,11077.73
31,2021-05-11,2.74,2.86,2.48,2.63,9427.289999999999
32,2021-05-12,2.95,3.01,2.4,2.87,13965.220000000001
33,2021-05-13,2.38,2.7,2.15,2.35,20917.930000000004
34,2021-05-14,2.34,2.53,2.33,2.51,8657.95
35,2021-05-15,2.39,2.61,2.31,2.45,7885.830000000001
36,2021-05-16,2.39,2.48,2.19,2.28,5581.910000000001
37,2021-05-17,2.15,2.42,2.01,2.12,24781.160000000003
38,2021-05-18,2.16,2.31,2.06,2.2,10693.15
39,2021-05-19,1.98,2.19,1.2,1.2,15301.83
40,2021-05-20,1.63,1.8,1.27,1.62,11184.389999999998
41,2021-05-21,1.54,1.93,1.45,1.78,21268.15
42,2021-05-22,1.86,1.92,1.55,1.76,6331.69
43,2021-05-23,1.78,1.78,1.1,1.49,7341.48
44,2021-05-24,1.78,1.92,1.25,1.72,21141.69
45,2021-05-25,1.59,1.84,1.54,1.71,15070.430000000002
46,2021-05-26,1.72,1.8,1.61,1.73,5587.42
47,2021-05-27,1.68,1.8,1.63,1.63,5463.450000000001
48,2021-05-28,1.66,1.76,1.55,1.61,11577.859999999999
49,2021-05-29,1.67,1.76,1.6,1.72,6831.160000000001
50,2021-05-30,1.66,1.68,1.57,1.62,5367.18
51,2021-05-31,1.63,1.72,1.55,1.63,5435.18
52,2021-06-01,1.69,1.72,1.63,1.64,2459.63
53,2021-06-02,1.68,1.69,1.6,1.64,4186.4800000000005
54,2021-06-03,1.66,1.72,1.6,1.71,12434.570000000002
55,2021-06-04,1.63,1.72,1.51,1.57,7798.020000000001
56,2021-06-05,1.56,1.66,1.51,1.55,1261.72
57,2021-06-06,1.54,1.76,1.53,1.61,13441.49
58,2021-06-07,1.64,1.68,1.5,1.64,4351.34
59,2021-06-08,1.39,1.48,1.2,1.44,5068.299999999999
60,2021-06-09,1.51,1.55,1.33,1.48,3157.77
61,2021-06-10,1.5,1.52,1.44,1.49,3261.1599999999994
62,2021-06-11,1.38,1.68,1.33,1.45,10469.84
63,2021-06-12,1.21,1.36,1.2,1.24,8408.730000000001
64,2021-06-13,1.21,1.34,1.21,1.26,3625.460000000001
65,2021-06-14,1.26,1.35,1.26,1.3,1927.5599999999997
66,2021-06-15,1.29,1.32,1.26,1.27,7446.830000000001
67,2021-06-16,1.26,1.37,1.25,1.27,8995.949999999999
68,2021-06-17,1.29,1.29,1.25,1.25,2007.54
69,2021-06-18,1.22,1.26,1.1,1.13,5086.93
70,2021-06-19,1.11,1.13,1.09,1.12,2512.1099999999997
71,2021-06-20,1.02,1.1,0.97,1.0,5807.4400000000005
72,2021-06-21,1.02,1.05,0.82,0.94,3666.0399999999995
73,2021-06-22,0.78,0.82,0.58,0.6,16256.359999999999
74,2021-06-23,0.74,0.8,0.71,0.73,5009.170000000001
75,2021-06-24,0.79,0.83,0.71,0.81,4359.929999999999
76,2021-06-25,0.82,0.83,0.71,0.77,2743.03
77,2021-06-26,0.73,0.77,0.7,0.77,1862.42
78,2021-06-27,0.83,0.87,0.74,0.78,8813.980000000001
79,2021-06-28,0.82,0.92,0.81,0.82,10853.470000000001
80,2021-06-29,1.03,1.07,0.92,1.03,10026.63
81,2021-06-30,1.04,1.17,0.98,1.08,9985.919999999998
82,2021-07-01,1.04,1.18,1.02,1.06,6664.5199999999995
83,2021-07-02,1.02,1.09,1.0,1.03,2586.44
84,2021-07-03,1.08,1.11,1.02,1.08,1601.21
85,2021-07-04,1.1,1.17,1.07,1.12,5792.94
86,2021-07-05,1.08,1.16,1.07,1.08,20061.16999999999
87,2021-07-06,1.13,1.16,1.08,1.12,25278.439999999995
88,2021-07-07,1.2,1.32,1.11,1.2,30113.12
89,2021-07-08,1.13,1.25,1.07,1.12,11809.230000000001
90,2021-07-09,1.02,1.12,1.02,1.11,4635.650000000001
91,2021-07-10,1.07,1.13,1.04,1.07,4696.92
92,2021-07-11,1.09,1.13,1.03,1.08,7093.75
93,2021-07-12,1.18,1.3,1.1,1.27,21478.559999999998
94,2021-07-13,1.17,1.3,1.14,1.19,10819.68
95,2021-07-14,1.07,1.2,1.05,1.13,6623.8
96,2021-07-15,1.08,1.14,1.06,1.09,5487.62
97,2021-07-16,1.02,1.08,0.94,1.02,5308.1900000000005
98,2021-07-17,0.99,1.28,0.95,1.23,25734.649999999998
99,2021-07-18,1.12,1.35,1.12,1.15,5812.97
100,2021-07-19,1.03,1.12,1.0,1.0,9784.74
101,2021-07-20,0.89,1.04,0.85,0.9,6128.509999999999
102,2021-07-21,0.95,1.0,0.89,0.94,2782.7599999999998
103,2021-07-22,0.97,0.98,0.95,0.95,3199.4800000000005
104,2021-07-23,1.0,1.03,0.96,0.99,2737.26
105,2021-07-24,1.08,1.13,0.99,1.08,9181.699999999999
106,2021-07-25,1.09,1.1,1.01,1.09,6737.650000000001
107,2021-07-26,1.16,1.24,1.08,1.12,14423.42
108,2021-07-27,1.17,1.19,1.08,1.12,5979.06
109,2021-07-28,1.18,1.22,1.16,1.2,4823.320000000001
110,2021-07-29,1.16,1.24,1.16,1.18,5869.9
111,2021-07-30,1.37,1.46,1.23,1.37,17048.1
112,2021-07-31,1.47,1.5,1.33,1.33,11182.26
113,2021-08-01,1.61,1.68,1.45,1.52,13997.66
114,2021-08-02,1.48,1.49,1.37,1.41,6673.700000000001
115,2021-08-03,1.49,1.6,1.4,1.49,8820.51
116,2021-08-04,1.48,1.6,1.45,1.6,4837.110000000001
117,2021-08-05,1.52,1.6,1.47,1.51,1068.66
118,2021-08-06,1.6,1.62,1.55,1.56,3101.01
119,2021-08-07,1.63,1.65,1.56,1.62,3185.2400000000002
120,2021-08-08,1.58,1.65,1.56,1.63,5742.779999999999
121,2021-08-09,1.6,1.6,1.48,1.59,9406.09
122,2021-08-10,1.61,1.62,1.52,1.6,12114.409999999998
123,2021-08-11,1.68,1.75,1.56,1.72,14393.639999999998
124,2021-08-12,1.8,1.83,1.65,1.7,7272.649999999999
125,2021-08-13,1.86,1.87,1.67,1.81,6502.370000000001
126,2021-08-14,1.76,1.86,1.76,1.81,5367.34
127,2021-08-15,1.73,1.83,1.73,1.77,6475.050000000001
128,2021-08-16,1.91,1.97,1.73,1.92,14198.86
129,2021-08-17,1.85,1.91,1.76,1.76,11717.810000000001
130,2021-08-18,1.69,1.76,1.62,1.63,6594.210000000001
131,2021-08-19,1.68,1.73,1.57,1.73,5790.170000000001
132,2021-08-20,1.72,1.78,1.72,1.78,1624.9
133,2021-08-21,1.79,1.84,1.73,1.78,8014.389999999999
134,2021-08-22,1.85,1.88,1.74,1.75,14806.459999999997
135,2021-08-23,1.84,1.91,1.81,1.84,7235.860000000001
136,2021-08-24,1.87,2.07,1.85,1.85,12113.960000000001
137,2021-08-25,1.87,1.95,1.74,1.81,6956.82
138,2021-08-26,1.79,1.96,1.71,1.76,6933.4800000000005
139,2021-08-27,1.79,1.83,1.64,1.75,3510.88
140,2021-08-28,1.8,1.83,1.73,1.76,12796.409999999998
141,2021-08-29,1.79,1.8,1.68,1.79,21871.390000000003
