,Date,Open,High,Low,Close,Volume
0,2021-04-19 07:00:00,3.49,3.49,3.42,3.42,534.78
1,2021-04-30 06:00:00,3.16,3.23,3.16,3.16,522.29
2,2021-06-16 14:00:00,1.26,1.26,1.26,1.26,15.47
3,2021-06-23 01:00:00,0.74,0.74,0.73,0.73,42.13
4,2021-07-02 05:00:00,1.02,1.02,1.02,1.02,0.0
5,2021-07-07 12:00:00,1.2,1.24,1.2,1.23,1684.34
6,2021-08-12 13:00:00,1.8,1.8,1.74,1.74,873.54
7,2021-09-04 14:00:00,2.0,2.0,1.95,1.95,214.73
8,2021-09-11 02:00:00,1.61,1.61,1.61,1.61,0.0
9,2021-09-15 19:00:00,1.58,1.58,1.58,1.58,2.15
10,2021-09-18 02:00:00,1.66,1.69,1.6,1.69,872.17
11,2021-10-02 15:00:00,1.49,1.5,1.49,1.5,5270.21
12,2021-10-03 16:00:00,1.51,1.51,1.51,1.51,0.0
13,2021-10-05 04:00:00,1.45,1.46,1.44,1.44,134.33
14,2021-10-05 21:00:00,1.52,1.52,1.52,1.52,0.0
15,2021-10-11 17:00:00,1.67,1.7,1.67,1.7,643.86
16,2021-10-13 00:00:00,1.6,1.6,1.6,1.6,3.51
17,2021-10-13 05:00:00,1.65,1.66,1.61,1.66,507.21
18,2021-10-17 01:00:00,1.54,1.54,1.51,1.51,434.5
19,2021-10-24 02:00:00,1.58,1.58,1.58,1.58,0.0
20,2021-11-06 13:00:00,1.49,1.53,1.49,1.53,239.86
21,2021-11-07 22:00:00,1.58,1.58,1.57,1.57,1.0
22,2021-11-08 16:00:00,1.59,1.59,1.56,1.56,6.89
23,2021-04-09 07:00:00,5.74,5.81,5.1,5.81,20634.87
24,2021-04-11 17:00:00,4.41,4.6,4.41,4.53,1643.57
25,2021-04-12 17:00:00,4.64,4.94,4.64,4.83,6308.26
26,2021-04-13 22:00:00,4.45,4.5,4.41,4.5,689.66
27,2021-04-21 08:00:00,3.36,3.44,3.35,3.37,532.96
28,2021-04-30 01:00:00,3.16,3.2,3.16,3.2,2.56
29,2021-04-30 14:00:00,3.36,3.36,3.28,3.32,268.01
30,2021-05-01 14:00:00,3.24,3.26,3.21,3.26,209.54
31,2021-05-15 07:00:00,2.39,2.41,2.39,2.4,407.79
32,2021-05-16 04:00:00,2.39,2.43,2.39,2.42,52.12
33,2021-05-24 11:00:00,1.78,1.82,1.68,1.69,2933.48
34,2021-06-06 03:00:00,1.54,1.54,1.54,1.54,9.67
35,2021-06-07 06:00:00,1.64,1.64,1.64,1.64,143.34
36,2021-06-09 12:00:00,1.51,1.55,1.51,1.55,193.2
37,2021-06-11 12:00:00,1.38,1.4,1.38,1.38,146.5
38,2021-06-13 16:00:00,1.21,1.28,1.21,1.28,1032.74
39,2021-06-23 20:00:00,0.72,0.73,0.71,0.73,18.21
40,2021-06-29 05:00:00,1.03,1.04,0.98,1.03,1527.15
41,2021-07-05 12:00:00,1.08,1.08,1.07,1.07,66.89
42,2021-07-13 20:00:00,1.17,1.17,1.17,1.17,0.0
43,2021-07-20 21:00:00,0.89,0.89,0.89,0.89,0.0
44,2021-08-14 14:00:00,1.76,1.82,1.76,1.82,383.53
45,2021-09-05 16:00:00,2.01,2.06,2.01,2.06,67.97
46,2021-09-16 08:00:00,1.62,1.62,1.59,1.59,3.64
47,2021-09-19 05:00:00,1.66,1.66,1.64,1.64,1448.09
48,2021-09-21 18:00:00,1.34,1.34,1.34,1.34,0.0
49,2021-09-22 16:00:00,1.33,1.34,1.33,1.34,1.56
50,2021-09-30 00:00:00,1.21,1.21,1.21,1.21,0.0
51,2021-10-05 09:00:00,1.47,1.49,1.47,1.49,113.25
52,2021-10-08 12:00:00,1.74,1.8,1.73,1.73,1241.83
53,2021-10-09 06:00:00,1.8,1.83,1.8,1.82,697.84
54,2021-10-24 23:00:00,1.49,1.52,1.49,1.52,153.21
55,2021-10-27 07:00:00,1.48,1.48,1.47,1.48,21.9
56,2021-10-28 19:00:00,1.38,1.38,1.36,1.36,13.24
57,2021-04-11 14:00:00,4.37,4.43,4.35,4.42,707.09
58,2021-04-18 06:00:00,3.3,3.5,3.3,3.41,1102.85
59,2021-04-20 05:00:00,3.0,3.0,2.86,2.91,5218.82
60,2021-05-01 03:00:00,3.28,3.33,3.27,3.33,427.89
61,2021-05-09 20:00:00,2.88,2.88,2.88,2.88,0.0
62,2021-05-10 20:00:00,2.66,2.66,2.5,2.65,626.94
63,2021-05-20 19:00:00,1.63,1.63,1.58,1.58,13.7
64,2021-05-22 02:00:00,1.86,1.92,1.8,1.8,320.17
65,2021-05-29 01:00:00,1.67,1.69,1.67,1.69,306.17
66,2021-06-03 04:00:00,1.66,1.68,1.63,1.68,139.43
67,2021-06-28 06:00:00,0.82,0.82,0.82,0.82,0.0
68,2021-07-12 19:00:00,1.18,1.19,1.16,1.16,413.42
69,2021-07-18 16:00:00,1.12,1.12,1.12,1.12,213.35
70,2021-07-18 17:00:00,1.12,1.12,1.12,1.12,0.0
71,2021-07-19 18:00:00,1.03,1.03,1.0,1.0,81.37
72,2021-07-21 23:00:00,0.95,0.95,0.95,0.95,4.11
73,2021-08-05 07:00:00,1.52,1.52,1.52,1.52,0.67
74,2021-08-14 17:00:00,1.79,1.82,1.78,1.78,111.65
75,2021-08-20 09:00:00,1.72,1.75,1.72,1.72,20.06
76,2021-08-21 04:00:00,1.79,1.79,1.74,1.74,32.27
77,2021-09-07 15:00:00,1.9,1.9,1.7,1.77,554.64
78,2021-10-18 09:00:00,1.48,1.48,1.46,1.46,495.98
79,2021-10-20 01:00:00,1.45,1.45,1.45,1.45,0.0
80,2021-10-24 04:00:00,1.53,1.55,1.52,1.55,76.68
81,2021-10-31 08:00:00,1.45,1.45,1.45,1.45,47.2
82,2021-11-02 19:00:00,1.55,1.6,1.55,1.6,444.45
83,2021-04-12 23:00:00,5.08,5.08,4.65,4.79,385.9
84,2021-04-29 01:00:00,3.2,3.24,3.18,3.24,200.42
85,2021-05-12 05:00:00,2.95,3.0,2.95,2.98,4443.03
86,2021-05-23 00:00:00,1.78,1.78,1.78,1.78,55.18
87,2021-05-24 10:00:00,1.57,1.92,1.54,1.91,5762.54
88,2021-06-17 01:00:00,1.29,1.29,1.25,1.25,10.25
89,2021-06-29 15:00:00,0.99,0.99,0.96,0.96,72.95
90,2021-07-03 21:00:00,1.08,1.08,1.08,1.08,0.0
91,2021-07-18 12:00:00,1.16,1.17,1.15,1.17,213.65
92,2021-07-27 21:00:00,1.17,1.17,1.17,1.17,4.27
93,2021-08-06 13:00:00,1.6,1.6,1.59,1.59,61.34
94,2021-08-07 12:00:00,1.63,1.63,1.62,1.62,39.72
95,2021-08-12 22:00:00,1.78,1.78,1.78,1.78,0.0
96,2021-08-15 21:00:00,1.73,1.79,1.73,1.79,493.41
97,2021-08-20 06:00:00,1.72,1.76,1.72,1.76,121.51
98,2021-08-23 15:00:00,1.84,1.85,1.84,1.84,180.75
99,2021-08-24 20:00:00,1.87,1.9,1.87,1.9,10.72
100,2021-08-25 06:00:00,1.87,1.87,1.87,1.87,25.0
101,2021-08-31 17:00:00,1.7,1.76,1.7,1.76,29.45
102,2021-09-10 14:00:00,1.59,1.59,1.52,1.52,218.33
103,2021-09-13 11:00:00,1.51,1.51,1.51,1.51,0.0
104,2021-10-21 23:00:00,1.48,1.48,1.47,1.47,21.42
105,2021-04-12 15:00:00,4.81,4.82,4.6,4.72,1204.81
106,2021-04-19 17:00:00,3.16,3.19,3.07,3.14,823.36
107,2021-05-12 10:00:00,2.94,2.95,2.82,2.82,719.89
108,2021-05-25 19:00:00,1.59,1.59,1.59,1.59,0.0
109,2021-06-04 06:00:00,1.63,1.63,1.6,1.6,392.57
110,2021-06-06 05:00:00,1.67,1.7,1.63,1.68,3312.72
111,2021-06-12 07:00:00,1.21,1.26,1.21,1.26,628.89
112,2021-06-19 01:00:00,1.11,1.11,1.11,1.11,0.0
113,2021-06-22 04:00:00,0.78,0.78,0.78,0.78,0.0
114,2021-06-26 16:00:00,0.73,0.73,0.72,0.72,21.53
115,2021-07-04 06:00:00,1.1,1.11,1.08,1.08,20.29
116,2021-07-27 19:00:00,1.14,1.14,1.14,1.14,0.0
117,2021-07-30 22:00:00,1.37,1.4,1.37,1.4,209.18
118,2021-08-09 18:00:00,1.6,1.6,1.6,1.6,12.03
119,2021-08-30 16:00:00,1.69,1.71,1.69,1.71,110.95
