,Date,Open,High,Low,Close,Volume
0,2021-04-23,5.9694,6.8992,4.4303,6.0484,9024.539999999997
1,2021-04-24,5.38,6.0484,5.0005,5.2,4141.82
2,2021-04-25,5.02,5.8586,5.0,5.0103,5902.18
3,2021-04-26,5.5534,6.0732,5.18,5.99,7054.19
4,2021-04-27,5.51,5.98,5.3091,5.6597,10097.869999999999
5,2021-04-28,5.6013,6.138,5.0,5.32,9882.34
6,2021-04-29,5.144,5.34,5.0099,5.2366,8005.419999999999
7,2021-04-30,5.0707,5.21,4.8,5.19,9643.69
8,2021-05-01,4.87,5.0997,4.7658,4.8903,8278.14
9,2021-05-02,4.8204,4.9795,4.5,4.74,6353.959999999999
10,2021-05-03,4.69,4.7905,4.35,4.361,23850.829999999994
11,2021-05-04,4.4798,4.72,3.95,4.1797,20683.2
12,2021-05-05,3.9595,4.2998,3.6,4.0299,45655.82000000001
13,2021-05-06,3.872,4.8,3.8701,3.9889,18319.559999999998
14,2021-05-07,4.1056,5.1578,4.0,4.211,55908.75999999999
15,2021-05-08,4.4898,4.8855,4.112,4.4331,12886.719999999998
16,2021-05-09,4.455,4.84,4.2054,4.6373,4169.69
17,2021-05-10,4.3101,4.7995,4.0,4.4,8165.78
18,2021-05-11,4.2698,4.29,3.85,4.17,9444.26
19,2021-05-12,4.25,4.7,4.01,4.14,3775.21
20,2021-05-13,4.2199,4.4587,3.7,4.0211,8950.12
21,2021-05-14,4.08,4.1978,3.8141,4.06,23189.659999999996
22,2021-05-15,4.0144,4.1978,3.7,4.0001,2334.63
23,2021-05-16,3.9,4.0144,3.37,3.87,18939.57
24,2021-05-17,3.5996,3.66,3.1735,3.4027,7049.469999999999
25,2021-05-18,3.6,3.96,3.4,3.59,16113.65
26,2021-05-19,3.3495,3.7296,2.48,3.53,19465.010000000002
27,2021-05-20,2.57,3.6,2.44,2.76,18909.590000000004
28,2021-05-21,2.1,2.8987,2.003,2.748,8394.73
29,2021-05-22,2.0761,2.5,1.92,2.239,8016.9400000000005
30,2021-05-23,1.64,2.17,1.48,1.79,4121.700000000001
31,2021-05-24,2.12,2.4,1.55,1.9692,5484.529999999999
32,2021-05-25,2.151,2.4449,1.95,2.0013,6042.78
33,2021-05-26,2.1202,2.4,2.08,2.2703,3309.3899999999994
34,2021-05-27,2.15,3.2588,2.08,2.151,5882.319999999999
35,2021-05-28,2.94,3.2588,1.95,2.3895,9324.56
36,2021-05-29,2.2,2.58,2.01,2.1968,2311.24
37,2021-05-30,2.17,2.2349,2.011,2.02,1852.11
38,2021-05-31,2.2133,2.3963,2.0255,2.2655,3746.869999999999
39,2021-06-01,2.2,2.3554,2.1307,2.3,2403.65
40,2021-06-02,2.2528,2.4285,2.1414,2.2941,3124.07
41,2021-06-03,2.2521,2.3784,2.2502,2.3488,2071.7
42,2021-06-04,2.2093,2.3588,2.05,2.198,3345.35
43,2021-06-05,2.256,2.2579,2.0703,2.218,1034.4599999999998
44,2021-06-06,2.22,2.2575,2.0002,2.235,2822.9300000000003
45,2021-06-07,2.1966,2.3459,2.15,2.1966,2172.2200000000003
46,2021-06-08,2.1298,2.2796,1.88,2.1099,4635.82
47,2021-06-09,2.0321,2.1556,1.9414,2.1,496.9
48,2021-06-10,2.1544,2.35,2.0714,2.32,1772.0499999999997
49,2021-06-11,2.1939,2.21,1.93,2.0603,688.5500000000002
50,2021-06-12,2.1479,2.1479,1.89,1.9491,2296.32
51,2021-06-13,2.095,2.2097,1.93,1.93,1442.1200000000001
52,2021-06-14,2.1,2.2183,2.0253,2.217,1545.51
53,2021-06-15,2.0904,2.32,2.0252,2.1731,4766.639999999999
54,2021-06-16,2.1999,2.2077,2.0021,2.09,502.37
55,2021-06-17,2.0507,2.1497,2.01,2.09,934.7999999999998
56,2021-06-18,2.0102,2.0933,1.9001,2.0022,842.6599999999999
57,2021-06-19,1.9,2.0873,1.9,1.9,484.01
58,2021-06-20,1.795,1.9898,1.7,1.9799,1355.7599999999998
59,2021-06-21,1.813,1.9399,1.5149,1.801,1290.79
60,2021-06-22,1.6778,1.85,1.32,1.6222,7868.0
61,2021-06-23,1.6777,1.8686,1.411,1.5332,2320.83
62,2021-06-24,1.58,1.8687,1.53,1.65,14176.62
63,2021-06-25,1.4702,1.6799,1.4103,1.495,3808.8400000000006
64,2021-06-26,1.43,1.5755,1.35,1.3998,1571.79
65,2021-06-27,1.44,1.45,1.3608,1.43,1685.51
66,2021-06-28,1.4698,1.4899,1.3806,1.4601,1959.5100000000002
67,2021-06-29,1.4655,1.5999,1.4327,1.57,1838.8000000000002
68,2021-06-30,1.475,1.57,1.4076,1.4751,3474.0800000000004
69,2021-07-01,1.4233,1.5,1.29,1.3725,2135.35
70,2021-07-02,1.3077,1.4299,1.18,1.35,6593.79
71,2021-07-03,1.3077,1.35,1.261,1.2699,4313.49
72,2021-07-04,1.348,1.4099,1.2871,1.3142,6473.520000000001
73,2021-07-05,1.299,1.4389,1.2601,1.299,4111.97
74,2021-07-06,1.3381,1.3699,1.3007,1.3386,1198.7499999999998
75,2021-07-07,1.3109,1.3799,1.3103,1.3787,1266.77
76,2021-07-08,1.2305,1.36,1.23,1.26,3151.2799999999997
77,2021-07-09,1.2279,1.2868,1.1,1.1907,21112.930000000004
78,2021-07-10,1.1876,1.2478,1.13,1.19,9605.34
79,2021-07-11,1.15,1.2066,1.05,1.152,18814.839999999997
80,2021-07-12,1.0885,1.1329,1.0489,1.0822,14936.23
81,2021-07-13,0.97,1.094,0.948,1.0799,11298.73
82,2021-07-14,0.9311,1.0416,0.7,0.9797,6795.700000000001
83,2021-07-15,0.8914,0.9598,0.82,0.9595,6104.880000000001
84,2021-07-16,0.7933,0.8939,0.7501,0.8,3247.28
85,2021-07-17,0.7699,0.8199,0.7261,0.75,4566.16
86,2021-07-18,0.76,0.8161,0.7406,0.7409,5120.91
87,2021-07-19,0.73,0.78,0.6963,0.6963,1367.3799999999997
88,2021-07-20,0.66,0.7176,0.6472,0.7,3090.4999999999995
89,2021-07-21,0.6577,0.76,0.6577,0.725,5981.59
90,2021-07-22,0.748,0.7698,0.7,0.7,4450.54
91,2021-07-23,0.8545,0.9498,0.75,0.868,41033.36
92,2021-07-24,0.8773,0.9281,0.8102,0.9188,10053.37
93,2021-07-25,0.851,0.985,0.851,0.851,10574.01
94,2021-07-26,1.0798,1.15,0.91,1.0,25046.23
95,2021-07-27,0.9984,1.0134,0.8602,0.9,8728.779999999999
96,2021-07-28,0.9971,1.0468,0.9201,1.0,8018.789999999999
97,2021-07-29,0.9994,1.022,0.9468,0.9958,6096.73
98,2021-07-30,0.94,0.9998,0.939,0.9394,11206.499999999998
99,2021-07-31,1.0,1.05,0.9407,1.0241,7356.220000000002
100,2021-08-01,1.0602,1.1273,1.0201,1.0944,19939.230000000003
101,2021-08-02,1.075,1.1187,1.0214,1.076,7462.609999999999
102,2021-08-03,1.0715,1.075,1.0003,1.02,13876.910000000003
103,2021-08-04,1.0399,1.1172,1.0398,1.0545,38159.4
104,2021-08-05,1.08,1.14,1.0502,1.08,82772.76000000001
105,2021-08-06,1.12,1.18,1.08,1.1598,179303.24999999997
106,2021-08-07,1.1786,1.389,1.1599,1.273,45012.469999999994
107,2021-08-08,1.3498,2.48,1.2803,1.8643,417435.79000000004
108,2021-08-09,1.67,1.82,1.52,1.75,255651.78000000003
109,2021-08-10,1.695,1.7165,1.63,1.695,6735.740000000002
110,2021-08-11,1.7198,1.73,1.6321,1.705,35201.78999999999
111,2021-08-12,1.55,1.7036,1.5,1.65,414426.67
112,2021-08-13,1.55,2.0,1.522,1.5698,167706.38
113,2021-08-14,1.8357,1.9483,1.7,1.7766,82959.62
114,2021-08-15,1.827,1.85,1.75,1.7572,173355.24999999997
115,2021-08-16,1.7784,1.8497,1.7604,1.82,226732.97000000003
116,2021-08-17,1.75,1.8499,1.7,1.785,300752.36
117,2021-08-18,1.7979,1.7979,1.62,1.75,105893.27
118,2021-08-19,1.7798,1.91,1.7011,1.7494,32054.09
119,2021-08-20,1.868,2.03,1.69,1.9,102946.43
120,2021-08-21,2.1601,2.3689,1.924,2.18,18893.179999999997
121,2021-08-22,2.7,3.963,2.11,2.7,85469.76000000001
122,2021-08-23,3.9995,5.2164,3.4312,4.828,196611.61
123,2021-08-24,4.92,5.11,4.1,4.52,34826.92
124,2021-08-25,4.319,4.6,3.95,4.46,15829.260000000002
125,2021-08-26,4.099,4.463,3.5,3.9013,164294.26
126,2021-08-27,4.2792,4.492,3.5,3.7884,19317.35
127,2021-08-28,4.23,4.4,3.81,4.07,11460.030000000002
128,2021-08-29,4.4083,4.45,3.9303,4.01,13319.149999999998
129,2021-08-30,5.4767,5.97,4.0,4.2,331145.36000000004
130,2021-08-31,5.0754,5.37,4.63,5.0816,54394.659999999996
131,2021-09-01,4.8,5.18,4.645,4.7,22080.32
132,2021-09-02,4.8,5.1,4.77,4.9425,10061.02
133,2021-09-03,4.818,4.9286,4.511,4.65,19867.89
134,2021-09-04,4.6215,4.76,4.52,4.6452,23294.759999999995
135,2021-09-05,4.65,4.72,4.5,4.61,15189.970000000001
136,2021-09-06,4.51,4.66,4.44,4.61,10373.980000000001
137,2021-09-07,3.7892,4.5199,3.505,4.13,14000.609999999999
138,2021-09-08,3.9101,4.399,3.2,3.905,11916.63
139,2021-09-09,3.94,4.12,3.8,3.99,12350.919999999996
140,2021-09-10,3.85,3.99,3.62,3.96,5758.289999999999
141,2021-09-11,3.752,3.88,3.6,3.7317,5988.339999999999
142,2021-09-12,3.7749,3.81,3.65,3.65,2637.29
143,2021-09-13,3.54,3.7694,3.25,3.43,12804.32
144,2021-09-14,3.3759,3.56,3.3732,3.45,8562.509999999998
145,2021-09-15,3.8669,3.91,3.45,3.545,33907.52
146,2021-09-16,3.7891,3.8663,3.6,3.6581,7347.820000000001
147,2021-09-17,3.52,3.7439,3.52,3.6033,6097.129999999999
148,2021-09-18,3.52,3.77,3.49,3.5907,4508.87
149,2021-09-19,3.5047,3.6008,3.46,3.5,2485.92
150,2021-09-20,3.37,3.5502,3.0,3.23,26196.56
151,2021-09-21,3.02,3.16,2.8,3.1595,3135.98
152,2021-09-22,3.15,3.22,2.7002,3.0,15727.919999999998
153,2021-09-23,3.18,3.32,3.04,3.2,13467.62
154,2021-09-24,2.9644,3.3,2.81,2.9,11152.799999999997
155,2021-09-25,2.81,2.9599,2.77,2.77,3476.0
156,2021-09-26,2.695,2.8,2.43,2.73,21575.28
157,2021-09-27,2.7097,2.8,2.62,2.8,6704.75
158,2021-09-28,2.62,2.67,2.47,2.6497,7448.369999999999
159,2021-09-29,2.5003,2.65,2.47,2.62,7001.98
160,2021-09-30,2.6,2.65,2.4808,2.6199,4472.41
161,2021-10-01,2.8,2.84,2.5772,2.6419,22545.05
162,2021-10-02,2.7901,3.0155,2.7901,2.95,27275.47
