,Date,Open,High,Low,Close,Volume
0,2021-08-18,192.5,203.6,161.0,191.6,594.141
1,2021-08-19,181.1,189.5,178.8,186.2,144.41100000000003
2,2021-08-20,180.8,194.8,179.5,187.3,183.604
3,2021-08-21,189.7,191.3,184.4,188.6,49.33
4,2021-08-22,181.3,189.7,178.1,181.8,102.00399999999996
5,2021-08-23,181.1,187.9,180.0,185.2,137.34199999999998
6,2021-08-24,199.0,208.2,180.0,182.6,109.61600000000001
7,2021-08-25,198.1,213.6,189.9,195.2,146.261
8,2021-08-26,187.8,194.9,176.0,187.5,51.684
9,2021-08-27,195.3,198.6,181.6,181.6,30.779
10,2021-08-28,195.3,196.6,192.5,194.4,74.85600000000001
11,2021-08-29,191.2,194.9,189.2,190.4,12.507000000000001
12,2021-08-30,187.7,190.4,185.0,187.2,97.64800000000001
13,2021-08-31,180.0,187.2,180.0,185.9,48.207
14,2021-09-01,183.4,186.3,180.0,183.5,39.952
15,2021-09-02,193.0,193.2,183.3,189.5,48.86699999999999
16,2021-09-03,186.3,188.0,183.2,187.4,81.34400000000001
17,2021-09-04,213.0,224.6,186.0,191.1,101.997
18,2021-09-05,282.0,330.7,221.5,282.6,767.6949999999999
19,2021-09-06,350.0,386.5,300.8,340.9,1284.5599999999997
20,2021-09-07,340.9,357.7,272.1,313.0,458.3939999999999
21,2021-09-08,333.6,370.0,290.0,324.6,200.331
22,2021-09-09,312.0,336.3,297.0,299.9,276.84400000000005
23,2021-09-10,322.7,404.4,308.9,315.7,370.86
24,2021-09-11,384.6,430.1,360.8,382.0,358.18300000000005
25,2021-09-12,370.3,389.2,355.5,376.4,203.09
26,2021-09-13,350.0,378.4,329.0,345.0,217.28400000000005
27,2021-09-14,372.0,419.7,354.2,368.0,283.50600000000003
28,2021-09-15,369.6,378.1,354.4,367.4,88.17099999999999
29,2021-09-16,372.4,377.7,355.0,360.3,134.98299999999998
30,2021-09-17,363.6,368.6,340.2,352.0,109.15400000000001
31,2021-09-18,352.5,374.4,345.3,365.0,60.149
32,2021-09-19,347.4,366.6,344.1,362.1,49.90799999999999
33,2021-09-20,298.3,345.5,267.4,298.3,268.35799999999995
34,2021-09-21,294.0,319.9,260.0,290.7,162.43300000000002
35,2021-09-22,290.0,315.3,260.0,290.0,191.93
36,2021-09-23,309.9,346.0,303.2,321.6,69.299
37,2021-09-24,300.0,337.3,287.4,314.0,214.19400000000002
38,2021-09-25,305.7,314.0,295.3,309.9,43.36599999999999
39,2021-09-26,296.5,303.1,280.4,296.5,27.625000000000007
40,2021-09-27,305.0,326.0,295.8,310.6,55.063999999999986
41,2021-09-28,285.0,303.1,275.0,285.0,51.50099999999999
42,2021-09-29,283.9,290.4,270.0,287.1,47.015
43,2021-09-30,284.3,291.6,273.4,285.9,25.164
44,2021-10-01,304.2,314.3,282.8,309.7,73.147
45,2021-10-02,304.4,343.8,301.0,315.0,46.70399999999999
46,2021-10-03,326.5,330.5,315.0,316.1,53.53500000000001
47,2021-10-04,300.0,321.5,293.0,306.8,87.20000000000002
48,2021-10-05,312.8,314.0,290.1,304.2,86.178
49,2021-10-06,290.2,309.9,288.0,292.0,73.82300000000001
50,2021-10-07,294.4,301.8,285.6,287.3,89.147
51,2021-10-08,304.0,330.0,289.9,312.4,151.084
52,2021-10-09,297.2,313.2,297.2,302.2,45.70300000000001
53,2021-10-10,302.9,307.3,290.0,302.6,37.25599999999999
54,2021-10-11,296.9,299.5,286.0,296.0,25.578999999999997
55,2021-10-12,289.7,292.0,267.2,279.4,86.093
56,2021-10-13,276.0,285.7,270.4,277.6,28.087
57,2021-10-14,297.0,300.0,276.0,278.9,21.115000000000002
58,2021-10-15,280.7,295.0,275.0,292.5,70.615
59,2021-10-16,292.0,329.8,286.6,294.9,90.055
60,2021-10-17,311.4,322.5,290.7,309.5,128.651
61,2021-10-18,299.7,303.9,290.0,294.1,65.133
62,2021-10-19,289.2,294.9,281.2,290.0,56.548
63,2021-10-20,282.0,300.8,282.0,291.0,46.43000000000001
64,2021-10-21,287.0,295.8,285.6,291.0,39.554
65,2021-10-22,288.0,292.1,281.7,290.2,51.946000000000005
66,2021-10-23,290.3,301.3,286.0,288.3,35.17999999999999
67,2021-10-24,294.0,305.0,290.0,290.0,36.403999999999996
68,2021-10-25,295.5,319.8,290.6,297.3,65.336
69,2021-10-26,314.0,325.0,306.1,315.6,34.485000000000014
70,2021-10-27,315.4,317.0,280.0,315.4,53.761
71,2021-10-28,313.5,315.9,273.0,313.5,58.459999999999994
72,2021-10-29,293.6,293.6,273.0,290.2,35.058
73,2021-10-30,286.9,293.0,280.0,280.0,25.135999999999996
74,2021-10-31,275.3,293.0,273.0,278.1,60.231
75,2021-11-01,278.3,284.7,272.2,275.3,55.85099999999999
76,2021-11-02,275.1,278.5,270.0,274.7,79.49699999999999
77,2021-11-03,277.2,277.6,265.9,277.2,50.7
78,2021-11-04,262.1,275.0,260.0,270.0,79.399
79,2021-11-05,263.1,270.0,255.7,255.7,43.194
80,2021-11-06,255.0,270.0,237.6,249.7,33.704
81,2021-11-07,259.9,286.6,252.5,274.0,71.055
82,2021-11-08,265.0,275.0,250.0,259.1,63.83400000000002
83,2021-11-09,264.0,312.0,246.0,255.6,227.76200000000006
84,2021-11-10,281.3,312.0,270.7,285.5,167.654
85,2021-11-11,276.9,282.8,265.3,271.0,28.279000000000003
