,Date,Open,High,Low,Close,Volume
0,2019-07-05,5.0,5.0,4.722,4.765,56.47200000000001
1,2019-07-06,4.782,4.872,4.722,4.782,91.0
2,2019-07-07,4.872,4.872,4.709,4.872,21.08
3,2019-07-08,4.86,5.048,4.709,4.86,142.108
4,2019-07-09,4.82,5.018,4.75,4.75,197.05
5,2019-07-10,4.75,4.761,4.13,4.61,254.70600000000002
6,2019-07-11,3.689,4.13,3.525,3.53,336.227
7,2019-07-12,3.855,3.855,3.529,3.707,1027.882
8,2019-07-13,3.77,3.77,3.457,3.638,314.562
9,2019-07-14,3.277,3.5,3.177,3.288,326.58799999999997
10,2019-07-15,3.319,3.331,2.968,3.051,462.5820000000001
11,2019-07-16,3.122,3.151,2.755,2.755,174.869
12,2019-07-17,2.569,2.876,2.569,2.586,183.852
13,2019-07-18,2.794,3.094,2.78,2.808,486.14
14,2019-07-19,3.109,3.109,2.974,3.06,321.36100000000005
15,2019-07-20,3.164,3.341,3.09,3.341,684.453
16,2019-07-21,3.176,3.341,3.176,3.223,132.632
17,2019-07-22,3.235,3.235,3.028,3.028,67.173
18,2019-07-23,2.889,3.028,2.881,2.881,133.948
19,2019-07-24,2.752,2.909,2.752,2.752,47.11
20,2019-07-25,3.143,3.143,2.895,3.101,134.759
21,2019-07-26,3.143,3.143,2.965,3.067,69.102
22,2019-07-27,2.966,3.143,2.881,3.124,94.13000000000001
23,2019-07-28,2.881,2.881,2.871,2.871,17.493
24,2019-07-29,2.871,2.871,2.871,2.871,9.798
25,2019-07-30,2.871,2.915,2.871,2.871,30.747
26,2019-07-31,3.012,3.029,2.903,2.903,40.2
27,2019-08-01,2.903,3.012,2.903,2.903,20.929
28,2019-08-02,3.008,3.051,2.903,3.008,59.072
29,2019-08-03,3.077,3.077,3.008,3.077,1341.2069999999999
30,2019-08-04,3.02,3.044,3.02,3.02,14.105
31,2019-08-05,3.02,3.146,3.02,3.02,3.814
32,2019-08-06,3.025,3.146,2.987,2.987,155.64399999999998
33,2019-08-07,2.96,2.987,2.906,2.96,245.499
34,2019-08-08,2.96,2.96,2.768,2.96,3.613
35,2019-08-09,2.821,2.821,2.753,2.753,731.727
36,2019-08-10,2.612,2.753,2.612,2.753,11.742
37,2019-08-11,2.747,2.747,2.612,2.671,42.70099999999999
38,2019-08-12,2.747,2.747,2.747,2.747,2.0
39,2019-08-13,2.747,2.747,2.629,2.747,9.923
40,2019-08-14,2.629,2.629,2.581,2.629,50.0
41,2019-08-15,2.581,2.581,2.353,2.353,5.208
42,2019-08-16,2.353,2.353,2.353,2.353,0.0
43,2019-08-17,2.353,2.353,2.353,2.353,0.0
44,2019-08-18,2.484,2.704,2.353,2.704,210.12900000000002
45,2019-08-19,2.674,2.674,2.596,2.674,7.253
46,2019-08-20,2.596,2.596,2.596,2.596,0.0
47,2019-08-21,2.503,2.596,2.48,2.596,186.803
48,2019-08-22,2.542,2.589,2.501,2.501,44.608
49,2019-08-23,2.582,2.625,2.582,2.582,32.711999999999996
50,2019-08-24,2.622,2.622,2.622,2.622,0.0
51,2019-08-25,2.622,2.622,2.622,2.622,0.0
52,2019-08-26,2.519,2.622,2.515,2.622,32.0
53,2019-08-27,2.519,2.519,2.519,2.519,0.0
54,2019-08-28,2.519,2.519,2.2,2.203,56.772
55,2019-08-29,2.112,2.203,2.064,2.203,48.568
56,2019-08-30,2.157,2.157,2.108,2.129,152.108
57,2019-08-31,2.107,2.11,2.107,2.107,120.10300000000001
58,2019-09-01,2.107,2.107,2.107,2.107,0.0
59,2019-09-02,2.107,2.107,2.069,2.099,76.49000000000001
60,2019-09-03,2.181,2.181,2.095,2.095,33.873999999999995
61,2019-09-04,2.166,2.166,2.074,2.166,2.209
62,2019-09-05,2.01,2.074,2.006,2.019,1625.117
63,2019-09-06,2.01,2.01,1.979,2.009,1542.937
64,2019-09-07,1.981,1.981,1.956,1.956,59.733
65,2019-09-08,1.956,2.135,1.956,1.956,163.547
66,2019-09-09,2.053,2.123,2.053,2.053,0.972
67,2019-09-10,2.085,2.085,2.039,2.048,30.356
68,2019-09-11,2.048,2.048,2.048,2.048,0.0
69,2019-09-12,1.975,2.048,1.958,1.975,1346.902
70,2019-09-13,1.975,1.975,1.975,1.975,0.0
71,2019-09-14,1.975,2.006,1.975,2.006,21.0
72,2019-09-15,2.069,2.069,2.006,2.006,24.414
73,2019-09-16,2.069,2.069,2.033,2.069,5.708
74,2019-09-17,2.142,2.15,2.013,2.013,398.122
75,2019-09-18,2.253,2.253,2.142,2.204,1645.2560000000003
76,2019-09-19,2.25,2.253,2.123,2.25,20.302
77,2019-09-20,2.123,2.169,2.123,2.169,6.212
78,2019-09-21,2.169,2.169,2.148,2.169,1314.706
79,2019-09-22,2.1,2.149,2.1,2.1,308.319
80,2019-09-23,2.1,2.1,2.029,2.1,29.011
81,2019-09-24,1.91,2.029,1.868,1.91,517.1469999999999
82,2019-09-25,1.617,1.91,1.605,1.631,42.495000000000005
83,2019-09-26,1.605,1.606,1.565,1.605,161.562
84,2019-09-27,1.565,1.565,1.565,1.565,0.0
85,2019-09-28,1.565,1.672,1.565,1.565,0.86
86,2019-09-29,1.672,1.672,1.58,1.672,3.44
87,2019-09-30,1.592,1.668,1.592,1.668,17.455
88,2019-10-01,1.708,1.708,1.668,1.668,1.27
89,2019-10-02,1.708,1.708,1.708,1.708,0.0
90,2019-10-03,1.708,1.708,1.708,1.708,0.0
91,2019-10-04,1.708,1.708,1.708,1.708,0.0
92,2019-10-05,1.708,1.708,1.708,1.708,0.0
93,2019-10-06,1.708,1.708,1.708,1.708,0.0
94,2019-10-07,1.708,1.717,1.708,1.717,20.384
95,2019-10-08,1.815,1.815,1.717,1.815,151.862
96,2019-10-09,1.82,1.872,1.794,1.86,108.03999999999999
