,Date,Open,High,Low,Close,Volume
0,2019-07-24 14:00:00,2.752,2.752,2.752,2.752,0.0
1,2019-07-27 12:00:00,2.966,2.966,2.881,2.881,2.0
2,2019-08-10 18:00:00,2.612,2.612,2.612,2.612,0.0
3,2019-08-11 20:00:00,2.747,2.747,2.747,2.747,0.0
4,2019-08-20 04:00:00,2.596,2.596,2.596,2.596,0.0
5,2019-08-30 11:00:00,2.157,2.157,2.157,2.157,0.0
6,2019-09-04 05:00:00,2.166,2.166,2.166,2.166,0.0
7,2019-09-12 22:00:00,1.975,1.975,1.975,1.975,0.0
8,2019-09-18 22:00:00,2.253,2.253,2.253,2.253,0.0
9,2019-10-05 12:00:00,1.708,1.708,1.708,1.708,0.0
10,2019-10-20 18:00:00,1.66,1.66,1.66,1.66,0.0
11,2019-10-21 17:00:00,1.697,1.697,1.697,1.697,0.0
12,2019-10-24 04:00:00,1.509,1.509,1.509,1.509,0.0
13,2019-11-03 17:00:00,2.149,2.149,2.149,2.149,0.0
14,2019-11-11 17:00:00,2.16,2.16,2.16,2.16,0.0
15,2019-11-13 01:00:00,2.247,2.247,2.247,2.247,0.0
16,2019-11-16 17:00:00,2.163,2.163,2.163,2.163,0.0
17,2019-11-27 17:00:00,1.632,1.632,1.632,1.632,0.0
18,2019-11-30 17:00:00,1.89,1.89,1.89,1.89,0.0
19,2019-12-09 11:00:00,1.757,1.757,1.757,1.757,0.0
20,2019-12-10 02:00:00,1.773,1.773,1.773,1.773,0.0
21,2019-12-19 19:00:00,1.536,1.536,1.536,1.536,0.0
22,2019-12-22 22:00:00,1.688,1.688,1.688,1.688,0.0
23,2020-01-01 10:00:00,1.611,1.611,1.611,1.611,0.0
24,2020-01-05 10:00:00,1.65,1.65,1.638,1.638,6.577
25,2020-01-12 06:00:00,1.745,1.745,1.745,1.745,0.0
26,2020-01-18 13:00:00,2.0,2.0,2.0,2.0,0.0
27,2020-01-19 17:00:00,1.917,1.917,1.917,1.917,0.0
28,2020-01-21 03:00:00,1.93,1.93,1.93,1.93,0.0
29,2020-01-22 00:00:00,1.89,1.89,1.89,1.89,0.0
30,2020-01-24 16:00:00,1.856,1.856,1.856,1.856,0.0
31,2020-01-24 17:00:00,1.856,1.856,1.856,1.856,0.0
32,2020-02-06 13:00:00,2.439,2.439,2.415,2.415,8.0
33,2020-02-12 04:00:00,2.707,2.772,2.707,2.772,0.86
34,2020-03-07 21:00:00,2.206,2.206,2.206,2.206,0.0
35,2020-03-10 02:00:00,1.811,1.811,1.811,1.811,0.0
36,2020-03-13 07:00:00,1.007,1.007,1.007,1.007,0.0
37,2020-03-16 04:00:00,1.218,1.218,1.218,1.218,0.0
38,2020-03-19 21:00:00,1.29,1.29,1.29,1.29,0.0
39,2020-03-21 05:00:00,1.221,1.221,1.221,1.221,0.0
40,2020-03-23 22:00:00,1.21,1.21,1.21,1.21,0.0
41,2020-03-26 10:00:00,1.266,1.266,1.266,1.266,0.0
42,2020-04-15 04:00:00,1.354,1.354,1.354,1.354,0.0
43,2020-04-21 01:00:00,1.307,1.307,1.307,1.307,0.0
44,2020-04-22 19:00:00,1.383,1.383,1.383,1.383,0.0
45,2020-05-04 04:00:00,1.54,1.54,1.54,1.54,0.0
46,2020-05-06 16:00:00,1.597,1.597,1.597,1.597,0.0
47,2020-05-26 07:00:00,1.624,1.624,1.624,1.624,0.0
48,2020-06-01 16:00:00,1.832,1.869,1.832,1.869,56.346
49,2020-06-02 04:00:00,1.908,1.908,1.908,1.908,0.0
50,2020-06-03 16:00:00,1.802,1.802,1.802,1.802,0.0
51,2020-06-06 18:00:00,1.823,1.823,1.823,1.823,0.0
52,2020-06-15 11:00:00,1.609,1.609,1.609,1.609,0.0
53,2020-06-16 21:00:00,1.709,1.709,1.709,1.709,15.0
54,2020-06-17 01:00:00,1.709,1.709,1.709,1.709,0.0
55,2020-06-18 13:00:00,1.7,1.7,1.695,1.695,35.838
56,2020-06-20 04:00:00,1.65,1.678,1.65,1.678,0.86
57,2020-06-22 20:00:00,1.811,1.817,1.811,1.817,137.463
58,2020-07-16 00:00:00,2.333,2.333,2.262,2.262,16.46
59,2020-08-03 15:00:00,2.775,2.775,2.65,2.769,235.442
60,2020-08-15 18:00:00,3.128,3.158,3.128,3.138,75.464
61,2020-08-17 05:00:00,3.344,3.345,3.344,3.344,321.433
62,2020-08-17 21:00:00,3.422,3.425,3.422,3.425,94.824
63,2020-08-21 20:00:00,4.101,4.151,4.101,4.151,16.175
64,2020-09-04 01:00:00,2.464,2.477,2.464,2.476,111.892
65,2020-09-10 04:00:00,2.52,2.52,2.507,2.507,5.878
66,2020-09-12 10:00:00,2.85,2.85,2.85,2.85,0.0
67,2020-10-05 09:00:00,2.276,2.276,2.276,2.276,0.0
68,2020-10-08 18:00:00,2.259,2.259,2.259,2.259,0.0
69,2020-10-20 02:00:00,2.197,2.197,2.19,2.19,24.143
70,2020-10-29 01:00:00,2.07,2.07,2.07,2.07,0.0
71,2020-11-18 23:00:00,2.093,2.093,2.093,2.093,0.0
72,2020-11-25 14:00:00,3.045,3.045,3.045,3.045,0.0
73,2020-12-06 18:00:00,2.613,2.613,2.613,2.613,0.0
74,2020-12-09 02:00:00,2.37,2.37,2.37,2.37,0.0
75,2020-12-30 03:00:00,2.295,2.295,2.259,2.259,5.921
76,2021-01-11 01:00:00,3.069,3.352,3.069,3.352,5.0
77,2021-02-03 04:00:00,3.53,3.567,3.53,3.552,236.191
78,2021-02-17 10:00:00,6.32,6.606,6.32,6.606,37.553
79,2021-02-20 15:00:00,7.1,7.131,6.8,6.92,352.285
80,2021-02-28 07:00:00,4.847,4.847,4.8,4.808,50.34
81,2021-03-06 20:00:00,6.255,6.585,6.255,6.475,109.285
82,2021-03-18 15:00:00,6.51,6.68,6.51,6.645,124.285
83,2021-03-22 04:00:00,6.699,6.791,6.691,6.711,92.134
84,2021-03-22 19:00:00,6.963,6.963,6.827,6.85,124.272
85,2021-03-25 18:00:00,7.84,8.259,7.561,7.561,507.74
86,2021-04-05 10:00:00,11.766,11.816,11.0,11.089,222.236
87,2021-04-09 08:00:00,15.9,15.9,15.0,15.0,13.055
88,2021-04-25 18:00:00,12.34,12.448,12.34,12.396,13.056
89,2021-05-02 02:00:00,15.782,15.9,15.736,15.872,28.611
90,2021-05-26 22:00:00,12.091,12.202,12.091,12.202,5.23
91,2021-06-03 03:00:00,12.41,12.41,12.41,12.41,0.0
92,2021-06-11 06:00:00,9.497,9.497,9.461,9.461,0.976
93,2021-06-15 03:00:00,9.313,9.328,9.313,9.328,4.403
94,2021-06-21 17:00:00,6.0,6.081,6.0,6.081,29.239
95,2021-07-03 02:00:00,6.845,6.845,6.845,6.845,0.0
96,2021-07-03 12:00:00,7.264,7.345,7.264,7.345,0.591
97,2021-07-10 12:00:00,6.487,6.487,6.487,6.487,0.0
98,2021-07-20 15:00:00,4.919,4.919,4.919,4.919,0.0
99,2021-07-20 18:00:00,5.062,5.062,5.062,5.062,0.0
100,2021-07-22 00:00:00,5.327,5.349,5.327,5.349,2.0
101,2021-07-24 15:00:00,6.251,6.256,6.251,6.256,4.567
102,2021-07-25 06:00:00,5.947,5.97,5.947,5.97,1.0
103,2021-07-30 19:00:00,6.733,6.733,6.733,6.733,0.0
104,2021-08-14 02:00:00,14.316,14.385,14.082,14.117,90.421
105,2021-08-19 17:00:00,12.64,12.64,12.456,12.55,94.674
106,2021-10-24 15:00:00,12.905,12.905,12.79,12.803,8.0
107,2021-11-12 04:00:00,16.485,16.485,16.454,16.454,0.173
108,2019-07-05 03:00:00,5.0,5.0,5.0,5.0,0.0
109,2019-07-11 14:00:00,3.689,3.689,3.676,3.676,1.0
110,2019-07-29 00:00:00,2.871,2.871,2.871,2.871,0.0
111,2019-07-30 07:00:00,2.871,2.871,2.871,2.871,0.0
112,2019-08-03 06:00:00,3.077,3.077,3.077,3.077,0.0
113,2019-08-07 12:00:00,2.96,2.96,2.96,2.96,0.0
114,2019-08-30 02:00:00,2.129,2.129,2.129,2.129,0.0
115,2019-08-31 22:00:00,2.107,2.107,2.107,2.107,0.0
116,2019-09-04 23:00:00,2.074,2.074,2.074,2.074,0.0
117,2019-09-13 03:00:00,1.975,1.975,1.975,1.975,0.0
118,2019-09-16 03:00:00,2.069,2.069,2.069,2.069,0.0
119,2019-09-21 04:00:00,2.169,2.169,2.169,2.169,0.0
120,2019-09-23 06:00:00,2.1,2.1,2.1,2.1,0.0
121,2019-09-24 18:00:00,1.91,1.91,1.91,1.91,0.0
122,2019-09-27 15:00:00,1.565,1.565,1.565,1.565,0.0
123,2019-09-27 23:00:00,1.565,1.565,1.565,1.565,0.0
124,2019-10-14 07:00:00,1.791,1.791,1.791,1.791,0.0
125,2019-10-21 21:00:00,1.697,1.697,1.697,1.697,0.0
126,2019-10-28 21:00:00,2.265,2.265,2.265,2.265,0.0
127,2019-10-29 21:00:00,2.27,2.27,2.27,2.27,0.0
128,2019-10-30 18:00:00,2.134,2.134,2.134,2.134,0.0
129,2019-11-03 21:00:00,2.149,2.149,2.149,2.149,0.0
130,2019-11-07 01:00:00,2.303,2.303,2.294,2.294,0.86
131,2019-11-25 17:00:00,1.504,1.504,1.504,1.504,0.0
132,2019-11-26 13:00:00,1.626,1.626,1.626,1.626,0.0
133,2019-12-04 09:00:00,1.677,1.677,1.677,1.677,0.0
134,2019-12-04 16:00:00,1.747,1.747,1.747,1.747,0.0
135,2019-12-17 05:00:00,1.776,1.776,1.776,1.776,0.0
136,2019-12-23 01:00:00,1.688,1.688,1.688,1.688,0.0
137,2019-12-30 14:00:00,1.656,1.656,1.656,1.656,0.0
138,2020-01-04 07:00:00,1.639,1.639,1.639,1.639,0.0
139,2020-01-12 21:00:00,1.77,1.77,1.77,1.77,0.0
140,2020-01-22 19:00:00,1.993,1.993,1.987,1.987,57.383
141,2020-01-24 07:00:00,1.836,1.856,1.836,1.856,1106.573
142,2020-02-05 18:00:00,2.436,2.436,2.436,2.436,0.0
143,2020-02-09 20:00:00,2.682,2.682,2.682,2.682,0.0
144,2020-02-26 13:00:00,2.178,2.21,2.178,2.21,6.788
145,2020-03-08 15:00:00,2.092,2.092,1.965,1.965,2862.824
146,2020-03-12 14:00:00,1.6,1.6,1.378,1.39,518.483
147,2020-03-25 10:00:00,1.248,1.248,1.248,1.248,0.0
148,2020-04-01 16:00:00,1.183,1.183,1.183,1.183,11.438
149,2020-04-02 13:00:00,1.233,1.233,1.231,1.231,250.0
150,2020-04-06 05:00:00,1.283,1.283,1.283,1.283,117.229
151,2020-04-21 20:00:00,1.307,1.307,1.307,1.307,0.0
