,Date,Open,High,Low,Close,Volume
0,2019-07,5.079,5.118,2.569,2.903,5926.555
1,2019-08,2.903,3.146,2.064,2.107,3588.24
2,2019-09,2.107,2.253,1.565,1.668,9398.146
3,2019-10,1.708,2.702,1.509,2.134,2419.7599999999998
4,2019-11,2.084,2.387,1.504,1.874,5953.397999999999
5,2019-12,1.738,1.923,1.516,1.627,3045.567
6,2020-01,1.611,2.178,1.589,2.15,11143.385000000002
7,2020-02,2.129,3.03,2.006,2.049,9657.971
8,2020-03,2.0,2.329,0.736,1.191,34643.191
9,2020-04,1.183,1.702,1.18,1.577,32983.784
10,2020-05,1.641,1.833,1.358,1.752,45671.03199999999
11,2020-06,1.832,1.95,1.52,1.644,24685.244000000002
12,2020-07,1.644,2.488,1.616,2.434,62216.952999999994
13,2020-08,2.535,5.43,2.32,3.503,180722.56200000003
14,2020-09,3.53,3.766,2.17,2.448,18629.829
15,2020-10,2.353,2.459,1.905,1.979,8597.475999999999
16,2020-11,1.979,3.258,1.809,3.073,15318.551000000001
17,2020-12,2.763,2.987,2.0,2.164,19328.552
18,2021-01,2.209,4.181,2.203,3.307,70690.326
19,2021-02,3.29,8.799,3.277,4.834,156391.41500000004
20,2021-03,5.108,9.559,4.648,8.823,98087.087
21,2021-04,10.283,20.951,8.993,14.855,63191.288000000015
22,2021-05,14.797,35.9,6.001,11.524,65637.456
23,2021-06,11.874,12.784,4.158,7.49,29256.397999999997
24,2021-07,7.305,8.46,4.919,7.896,13020.262
25,2021-08,7.67,17.0,7.216,12.526,48185.807
26,2021-09,12.666,17.2,8.0,10.187,24827.805999999997
27,2021-10,10.782,16.3,10.35,13.9,22040.938
