,Date,Open,High,Low,Close,Volume
0,2021-09-03,12.635,13.807,11.816,13.032,6302.9
1,2021-09-04,13.182,13.655,12.186,12.477,2537.6000000000004
2,2021-09-05,12.453,12.576,12.041,12.507,1646.0000000000002
3,2021-09-06,12.881,13.3,11.647,12.881,1440.7000000000003
4,2021-09-07,12.466,15.218,10.002,13.862,5658.4
5,2021-09-08,12.429,13.1,10.2,12.108,2221.0000000000005
6,2021-09-09,14.828,16.0,12.497,14.9,8028.3
7,2021-09-10,13.693,15.44,13.0,14.456,2109.5
8,2021-09-11,15.186,16.047,13.65,15.631,2716.0000000000005
9,2021-09-12,14.968,16.987,14.4,15.175,2729.9000000000005
10,2021-09-13,14.15,16.584,13.694,13.694,2052.0
11,2021-09-14,13.485,14.737,12.51,14.4,1110.0
12,2021-09-15,13.262,14.036,12.831,13.6,1014.6999999999999
13,2021-09-16,13.445,13.75,12.785,13.1,686.1
14,2021-09-17,12.34,13.19,11.857,12.996,726.3999999999999
15,2021-09-18,12.941,13.248,12.0,12.176,1088.1
16,2021-09-19,12.911,13.4,12.081,12.405,722.6999999999998
17,2021-09-20,10.541,12.034,10.01,10.78,2129.1
18,2021-09-21,9.661,10.541,9.161,10.159,1887.9
19,2021-09-22,9.82,10.69,9.101,9.83,906.1
20,2021-09-23,10.98,11.684,10.472,11.5,666.9
21,2021-09-24,9.953,11.566,9.55,10.26,2287.4
22,2021-09-25,10.093,10.191,9.688,10.05,435.4
23,2021-09-26,9.85,10.012,9.114,9.783,378.90000000000003
24,2021-09-27,10.033,10.826,9.75,10.062,660.6
25,2021-09-28,9.336,9.8,9.039,9.329,714.4
26,2021-09-29,9.129,9.573,9.0,9.412,176.9
27,2021-09-30,9.31,9.56,9.099,9.489,941.1
28,2021-10-01,9.56,11.566,9.5,10.18,1559.6000000000001
29,2021-10-02,10.889,11.512,9.601,11.397,1179.5
30,2021-10-03,11.62,11.9,11.084,11.833,1309.4000000000003
31,2021-10-04,11.623,11.623,10.85,11.0,758.9000000000001
32,2021-10-05,11.076,11.371,10.8,11.229,367.8
33,2021-10-06,10.826,11.3,10.127,10.8,537.6999999999999
34,2021-10-07,10.43,10.8,10.329,10.537,449.9
35,2021-10-08,10.276,10.748,10.158,10.263,423.69999999999993
36,2021-10-09,10.451,10.451,10.221,10.32,117.0
37,2021-10-10,10.172,10.26,9.648,9.817,359.1
38,2021-10-11,9.6,9.914,9.221,9.685,244.90000000000003
39,2021-10-12,9.271,9.639,9.0,9.276,324.9
40,2021-10-13,10.008,10.223,9.497,9.947,522.1
41,2021-10-14,10.178,10.3,9.845,10.057,1104.1
42,2021-10-15,9.915,10.52,9.598,10.282,644.7
43,2021-10-16,10.16,10.232,9.85,10.118,381.5
44,2021-10-17,9.89,9.938,9.4,9.89,964.5999999999999
45,2021-10-18,9.359,9.679,9.235,9.431,326.99999999999994
46,2021-10-19,9.381,9.554,9.325,9.35,564.0
47,2021-10-20,9.575,10.3,9.402,9.515,1028.1000000000001
48,2021-10-21,10.462,10.844,10.024,10.462,1205.3
49,2021-10-22,10.7,11.136,10.136,10.986,635.3
50,2021-10-23,10.5,10.781,10.309,10.309,586.6999999999999
51,2021-10-24,10.466,10.466,9.812,10.0,247.8
52,2021-10-25,10.67,11.05,10.147,10.628,877.8000000000002
53,2021-10-26,10.772,10.907,10.2,10.623,1075.2000000000003
54,2021-10-27,9.435,10.999,9.369,9.603,428.7
55,2021-10-28,9.405,9.97,9.299,9.41,187.5
56,2021-10-29,9.42,10.472,9.41,10.293,146.79999999999998
57,2021-10-30,10.465,12.0,9.501,11.135,568.4
58,2021-10-31,10.62,11.98,10.0,10.255,722.9000000000001
59,2021-11-01,10.859,11.22,10.289,10.859,1217.8000000000002
60,2021-11-02,11.08,11.349,10.632,11.281,1375.6
61,2021-11-03,11.503,13.4,11.281,12.935,3603.1999999999994
62,2021-11-04,12.047,13.0,11.778,12.602,488.40000000000003
63,2021-11-05,11.858,12.285,11.6,12.094,587.9
64,2021-11-06,11.815,12.8,11.5,12.1,4314.9
65,2021-11-07,12.513,12.7,11.989,12.5,2872.7999999999997
66,2021-11-08,12.7,12.7,11.61,11.99,2528.9
67,2021-11-09,11.842,12.498,11.384,11.9,4006.7
68,2021-11-10,11.999,12.471,11.656,11.669,870.2999999999998
69,2021-11-11,11.212,11.71,10.4,11.402,1388.1999999999998
