,Date,Open,High,Low,Close,Volume
0,2020-07-20 08:00:00,0.17582,0.1774,0.17407,0.17407,8046.0
1,2020-07-21 14:00:00,0.16012,0.1616,0.16012,0.1616,950.0
2,2020-07-27 19:00:00,0.14277,0.15,0.14277,0.15,2503.0
3,2020-07-28 15:00:00,0.1661,0.1661,0.1661,0.1661,20.0
4,2020-08-19 08:00:00,0.50983,0.53438,0.50463,0.50463,5358.0
5,2020-08-22 00:00:00,0.41981,0.41982,0.40548,0.40548,2198.0
6,2020-08-22 22:00:00,0.46,0.46928,0.46,0.46829,1560.0
7,2020-08-23 08:00:00,0.45824,0.45824,0.45824,0.45824,0.0
8,2020-09-01 11:00:00,0.51471,0.51471,0.5109,0.5109,115.0
9,2020-09-12 02:00:00,0.31726,0.31726,0.31726,0.31726,0.0
10,2020-09-27 01:00:00,0.2515,0.25853,0.2515,0.25853,564.0
11,2020-09-29 22:00:00,0.22053,0.22053,0.22053,0.22053,0.0
12,2020-10-11 00:00:00,0.30882,0.31729,0.30816,0.31729,1398.0
13,2020-10-20 02:00:00,0.32353,0.33042,0.32353,0.33042,1698.0
14,2020-11-19 23:00:00,0.32289,0.32289,0.31804,0.31804,25.0
15,2020-11-20 20:00:00,0.33614,0.33614,0.33614,0.33614,0.0
16,2020-11-27 20:00:00,0.30431,0.30841,0.30431,0.30841,1625.0
17,2020-12-10 16:00:00,0.27744,0.27963,0.27744,0.27963,288.0
18,2020-12-13 04:00:00,0.2818,0.2818,0.2818,0.2818,0.0
19,2020-12-19 06:00:00,0.3034,0.3034,0.30157,0.30157,1849.0
20,2020-12-23 20:00:00,0.27345,0.27345,0.27345,0.27345,0.0
21,2021-01-11 06:00:00,0.36422,0.36422,0.34855,0.34855,3637.0
22,2021-01-24 16:00:00,0.6217,0.6217,0.6098,0.61843,654.0
23,2021-02-05 17:00:00,0.8705,0.89635,0.87039,0.88177,25682.0
24,2021-02-07 15:00:00,0.73419,0.73676,0.71213,0.73183,5525.0
25,2021-02-13 17:00:00,0.98957,0.98957,0.95904,0.96134,18050.0
26,2021-02-15 10:00:00,0.90597,0.90699,0.88767,0.90699,8783.0
27,2021-02-28 10:00:00,1.0,1.06,1.0,1.02,138.0
28,2021-03-01 21:00:00,1.11502,1.11502,1.11433,1.11502,935.0
29,2021-03-09 14:00:00,1.23195,1.23987,1.2279,1.23202,2412.0
30,2021-03-16 16:00:00,1.10779,1.12181,1.095,1.095,13992.0
31,2021-03-17 06:00:00,1.07131,1.0828,1.07102,1.08255,1104.0
32,2021-03-25 06:00:00,0.86588,0.87302,0.85564,0.85564,22806.0
33,2021-04-02 21:00:00,1.09077,1.09077,1.08402,1.08532,169.0
34,2021-04-06 02:00:00,1.0346,1.06751,1.0346,1.03833,16.0
35,2021-04-10 02:00:00,1.05682,1.06,1.04993,1.05684,4424.0
36,2021-04-18 12:00:00,0.861,0.93491,0.8426,0.90274,37139.0
37,2021-04-18 16:00:00,0.94902,0.97772,0.925,0.925,11735.0
38,2021-04-22 08:00:00,0.8568,0.8568,0.83855,0.83855,700.0
39,2021-04-24 07:00:00,0.80793,0.81005,0.78466,0.79181,6677.0
40,2021-05-06 23:00:00,0.97934,0.98386,0.96497,0.96831,2196.1
41,2021-05-29 22:00:00,0.45557,0.46107,0.45213,0.45213,1228.4
42,2021-07-05 12:00:00,0.36582,0.36622,0.35704,0.36018,20759.6
43,2021-07-21 04:00:00,0.28305,0.29427,0.28305,0.29427,595.2
44,2021-07-24 11:00:00,0.34204,0.34372,0.34125,0.34125,214.8
45,2021-07-26 04:00:00,0.35503,0.35701,0.35503,0.35701,667.6
46,2021-07-28 21:00:00,0.36126,0.36126,0.36126,0.36126,0.0
47,2021-07-29 02:00:00,0.3507,0.35919,0.3507,0.35792,280.7
48,2021-07-31 06:00:00,0.43038,0.43038,0.42104,0.42154,388.7
49,2021-08-06 08:00:00,0.43416,0.44374,0.4306,0.44374,16243.6
50,2021-08-14 14:00:00,0.499,0.51415,0.499,0.51393,162.3
51,2021-08-17 21:00:00,0.53012,0.58752,0.5301,0.57764,1623.6
52,2021-08-22 17:00:00,0.61135,0.61135,0.60668,0.60753,281.6
53,2021-08-23 19:00:00,0.65761,0.65801,0.64716,0.6532,310.2
54,2021-08-24 14:00:00,0.6049,0.60865,0.58001,0.60485,11110.4
55,2021-08-30 23:00:00,0.66059,0.66059,0.66059,0.66059,0.0
56,2021-09-04 13:00:00,0.86739,0.86749,0.85551,0.863,4359.7
57,2021-09-07 03:00:00,0.81759,0.82,0.81429,0.81429,830.8
58,2021-09-20 14:00:00,0.8,0.8011,0.7834,0.7834,12843.0
59,2021-09-23 19:00:00,0.859,0.88469,0.859,0.88469,144.3
60,2021-09-30 04:00:00,0.9576,0.9647,0.95081,0.9573,680.3
61,2021-10-01 23:00:00,1.0265,1.0377,1.0265,1.0348,2278.2
62,2020-07-18 22:00:00,0.17199,0.17422,0.17199,0.17422,15802.0
63,2020-08-01 20:00:00,0.16206,0.16599,0.16206,0.16599,208.0
64,2020-08-10 02:00:00,0.24323,0.24692,0.24254,0.24254,1409.0
65,2020-09-03 13:00:00,0.4275,0.43736,0.4275,0.43736,100.0
66,2020-09-08 12:00:00,0.27581,0.27581,0.27581,0.27581,0.0
67,2020-09-12 05:00:00,0.31487,0.31487,0.30951,0.31417,891.0
68,2020-09-14 06:00:00,0.30866,0.30866,0.30866,0.30866,0.0
69,2020-09-15 22:00:00,0.28002,0.28002,0.28002,0.28002,0.0
70,2020-09-23 03:00:00,0.20389,0.20389,0.2,0.2,46.0
71,2020-10-03 22:00:00,0.27908,0.27908,0.27367,0.27367,30.0
72,2020-10-09 07:00:00,0.27202,0.27202,0.27202,0.27202,0.0
73,2020-10-10 21:00:00,0.31886,0.31886,0.30872,0.30882,1969.0
74,2020-10-12 11:00:00,0.36772,0.3999,0.35495,0.36613,787.0
75,2020-11-08 14:00:00,0.30161,0.31617,0.30161,0.31617,1277.0
76,2020-11-20 02:00:00,0.31804,0.31804,0.31804,0.31804,0.0
77,2020-11-24 07:00:00,0.37818,0.38239,0.37818,0.38239,217.0
78,2020-12-05 06:00:00,0.3279,0.3279,0.3279,0.3279,0.0
79,2020-12-07 06:00:00,0.34039,0.34039,0.339,0.339,230.0
80,2020-12-15 17:00:00,0.28502,0.28502,0.28502,0.28502,0.0
81,2020-12-24 23:00:00,0.26154,0.26154,0.26154,0.26154,0.0
82,2020-12-29 18:00:00,0.37095,0.3805,0.37095,0.3805,5213.0
83,2021-01-12 03:00:00,0.36,0.377,0.36,0.377,15.0
84,2021-01-17 06:00:00,0.59,0.59,0.57703,0.57703,75.0
85,2021-01-21 21:00:00,0.6392,0.6392,0.63511,0.63511,53.0
86,2021-01-25 00:00:00,0.62822,0.62822,0.62822,0.62822,19.0
87,2021-02-05 05:00:00,0.98676,0.99147,0.93,0.94098,63824.0
88,2021-02-05 18:00:00,0.88198,0.8823,0.85,0.85,10252.0
89,2021-02-19 19:00:00,1.63994,1.7,1.52303,1.56012,53246.0
90,2021-03-09 22:00:00,1.33276,1.34947,1.31418,1.32084,3253.0
91,2021-03-17 03:00:00,1.06884,1.07218,1.066,1.0669,14601.0
92,2021-03-19 14:00:00,1.10851,1.12211,1.10332,1.12149,292.0
93,2021-03-23 03:00:00,1.01882,1.02082,1.00932,1.00945,1819.0
94,2021-03-27 19:00:00,0.99644,1.01152,0.98544,0.99547,3772.0
95,2021-04-04 10:00:00,1.09433,1.0991,1.081,1.0824,6440.0
96,2021-04-26 17:00:00,0.8399,0.85874,0.8399,0.85726,2149.0
97,2021-05-02 02:00:00,0.97297,0.97843,0.97297,0.97463,7003.6
98,2021-05-03 06:00:00,0.99659,1.02,0.99582,1.01498,16649.9
99,2021-05-03 13:00:00,1.0,1.00212,0.98055,0.98055,2309.7
100,2021-05-06 15:00:00,0.98075,0.98573,0.97526,0.98472,7278.0
101,2021-05-12 09:00:00,0.94872,0.95415,0.94298,0.95008,5667.0
102,2021-05-16 22:00:00,0.75363,0.76707,0.75363,0.75652,820.6
103,2021-05-19 13:00:00,0.5,0.5,0.35454,0.44999,100.4
104,2021-05-30 07:00:00,0.45977,0.46941,0.4548,0.466,15603.8
105,2021-06-09 00:00:00,0.50232,0.50268,0.48565,0.48841,15642.1
106,2021-07-05 04:00:00,0.37146,0.37274,0.36595,0.37274,80.7
107,2021-07-11 11:00:00,0.36621,0.36621,0.36621,0.36621,0.0
108,2021-07-24 03:00:00,0.34484,0.34484,0.34484,0.34484,0.0
109,2021-07-24 05:00:00,0.34509,0.34509,0.34121,0.34456,1548.3
110,2021-07-26 22:00:00,0.3502,0.3502,0.3493,0.3493,14.9
111,2021-08-12 00:00:00,0.51998,0.51998,0.48002,0.48005,1008.8
112,2021-08-23 12:00:00,0.63338,0.67999,0.63338,0.66046,10147.8
113,2021-09-11 02:00:00,0.7099,0.7191,0.7099,0.7156,934.7
114,2021-10-04 00:00:00,1.21421,1.21421,1.17,1.17,3900.8
115,2021-10-04 09:00:00,1.13089,1.15729,1.13089,1.15729,1735.5
