,Date,Open,High,Low,Close,Volume
0,2020-08,0.16206,0.56207,0.15632,0.51411,1165723.0
1,2020-09,0.51471,0.59457,0.16293,0.228,1129811.0
2,2020-10,0.23721,0.42494,0.20864,0.26337,1386656.0
3,2020-11,0.27511,0.40857,0.24,0.33817,437037.8245
4,2020-12,0.31795,0.41138,0.24,0.3102,631007.0
5,2021-01,0.31383,0.78,0.2765,0.62731,723480.0
6,2021-02,0.5997,1.81853,0.58399,1.12224,9753858.0
7,2021-03,1.11502,1.38367,0.80984,1.01821,4781170.0
8,2021-04,1.04,1.22754,0.69398,0.95152,3748523.1
9,2021-05,1.00639,1.0985,0.28,0.43928,4218703.3
10,2021-06,0.62575,0.65019,0.26964,0.371,4581774.2
11,2021-07,0.35659,0.47,0.26963,0.42822,1640416.1
12,2021-08,0.44565,0.79899,0.40571,0.735,2007304.7999999998
13,2021-09,0.75448,1.17058,0.55,0.9352,3127497.5
14,2021-10,1.0265,1.3199,0.91421,1.015,1413896.7
