,Date,Open,High,Low,Close,Volume
0,2019-08,11.412,11.412,8.061,8.33,1576.222
1,2019-09,8.061,12.071,7.975,8.155,258.50199999999995
2,2019-10,8.277,9.984,7.505,9.113,985.102
3,2019-11,9.034,12.39,9.034,10.929,831.146
4,2019-12,10.7,10.929,8.674,9.497,221.84300000000002
5,2020-01,8.93,19.748,8.896,14.661,1908.037
6,2020-02,14.131,20.0,10.922,11.439,1173.141
7,2020-03,11.45,13.3,3.5,9.354,885.779
8,2020-04,9.354,11.466,9.354,11.26,1726.5359999999996
9,2020-05,11.26,15.104,10.316,13.07,6792.911
10,2020-06,13.083,19.36,13.028,17.589,8943.315999999999
11,2020-07,16.38,25.26,16.38,20.147,8555.351
12,2020-08,20.463,29.0,18.506,21.995,5627.733999999999
13,2020-09,21.661,22.272,13.545,14.31,722.93
14,2020-10,14.404,14.668,11.836,12.306,226.185
15,2020-11,12.306,17.5,12.306,15.047,944.41
16,2020-12,15.618,40.0,14.0,16.193,8912.23
17,2021-01,16.193,23.0,15.917,17.929,4348.469
18,2021-02,18.292,40.76,18.0,29.52,6430.456999999999
19,2021-03,32.353,99.0,27.619,42.043,17251.431
20,2021-04,38.997,78.0,26.797,39.733,15750.095
21,2021-05,40.461,52.0,15.0,23.884,11090.421
22,2021-06,23.798,26.898,6.051,15.477,12858.452999999998
23,2021-07,15.058,36.9,13.955,25.814,33163.36
24,2021-08,25.64,34.315,23.99,28.44,13706.946999999998
25,2021-09,28.16,35.889,18.16,21.29,8572.469000000001
26,2021-10,20.57,28.26,18.0,25.499,3805.211
