,Date,Open,High,Low,Close,Volume
0,2019-01-09,0.025,0.025,0.0243,0.025,1789.0
1,2019-01-10,0.0216,0.0251,0.0216,0.0251,10840.0
2,2019-01-11,0.0216,0.0216,0.0206,0.0206,1484.0
3,2019-01-12,0.0206,0.0206,0.0202,0.0205,2834.0
4,2019-01-13,0.02,0.0202,0.02,0.02,6922.0
5,2019-01-14,0.02,0.02,0.0193,0.02,2217.0
6,2019-01-15,0.0209,0.021,0.0193,0.0209,3151.0
7,2019-01-16,0.0219,0.0222,0.0209,0.0222,3151.0
8,2019-01-17,0.0222,0.0222,0.0222,0.0222,0.0
9,2019-01-18,0.0216,0.0222,0.0216,0.0221,166.0
10,2019-01-19,0.0221,0.0221,0.0221,0.0221,0.0
11,2019-01-20,0.0221,0.0226,0.0221,0.0221,400.0
12,2019-01-21,0.0226,0.0226,0.0222,0.0222,1230.0
13,2019-01-22,0.0227,0.0228,0.0222,0.0227,19650.0
14,2019-01-23,0.0226,0.0226,0.0221,0.0221,17351.0
15,2019-01-24,0.0221,0.0221,0.0221,0.0221,0.0
16,2019-01-25,0.0221,0.0225,0.0221,0.0225,485.0
17,2019-01-26,0.0224,0.0225,0.0224,0.0224,763.0
18,2019-01-27,0.0226,0.0227,0.0224,0.0224,6136.0
19,2019-01-28,0.0207,0.0226,0.0207,0.0207,3192.0
20,2019-01-29,0.0195,0.0207,0.0195,0.0195,2560.0
21,2019-01-30,0.0204,0.0204,0.0195,0.0204,116.0
22,2019-01-31,0.0204,0.0206,0.0197,0.0204,1068.0
23,2019-02-01,0.0197,0.0197,0.0193,0.0197,639.0
24,2019-02-02,0.0193,0.0193,0.0193,0.0193,0.0
25,2019-02-03,0.0193,0.0193,0.0193,0.0193,0.0
26,2019-02-04,0.0193,0.0193,0.0193,0.0193,0.0
27,2019-02-05,0.0193,0.0193,0.0193,0.0193,0.0
28,2019-02-06,0.0193,0.0193,0.0183,0.0193,9400.0
29,2019-02-07,0.0186,0.0187,0.0186,0.0187,1173.0
30,2019-02-08,0.0206,0.0206,0.0187,0.0206,3447.0
31,2019-02-09,0.0207,0.0212,0.0201,0.0207,532.0
32,2019-02-10,0.0212,0.0212,0.0207,0.0209,1074.0
33,2019-02-11,0.0207,0.0207,0.0207,0.0207,671.0
34,2019-02-12,0.0207,0.0207,0.0207,0.0207,0.0
