,Date,Open,High,Low,Close,Volume
0,2021-06-16 23:00:00,3.8828,3.8828,3.74,3.7475,923.22
1,2021-06-27 08:00:00,2.6295,2.682,2.6295,2.6354,186.72
2,2021-06-28 04:00:00,2.7936,2.8214,2.7704,2.7704,106.84
3,2021-07-07 11:00:00,2.95,2.978,2.9427,2.9427,324.67
4,2021-07-13 12:00:00,2.8231,2.8231,2.8,2.8097,83.32
5,2021-07-17 18:00:00,2.4433,2.4433,2.4433,2.4433,0.0
6,2021-07-26 17:00:00,2.7969,2.8035,2.7786,2.8035,102.56
7,2021-08-21 02:00:00,4.5815,4.5815,4.5815,4.5815,0.0
8,2021-09-04 05:00:00,5.423,5.423,5.4,5.4161,81.63
9,2021-09-22 10:00:00,3.198,3.198,3.1621,3.1621,0.64
10,2021-09-30 21:00:00,3.404,3.404,3.404,3.404,0.0
11,2021-10-03 19:00:00,4.0659,4.0769,4.035,4.035,50.09
12,2021-11-06 17:00:00,4.8,4.8,4.455,4.7999,2.32
13,2021-06-26 02:00:00,2.5947,2.623,2.5909,2.623,684.64
14,2021-07-09 06:00:00,3.0031,3.0031,2.9547,2.9609,46.65
15,2021-07-12 05:00:00,2.9861,2.9863,2.9861,2.9863,422.7
16,2021-07-19 00:00:00,2.4519,2.4519,2.4519,2.4519,0.0
17,2021-07-29 10:00:00,2.7603,2.7603,2.7229,2.7231,146.04
18,2021-08-19 19:00:00,4.3594,4.4325,4.3594,4.371,347.62
19,2021-08-28 10:00:00,4.644,4.644,4.625,4.627,56.34
20,2021-09-09 23:00:00,4.0901,4.0901,4.0901,4.0901,0.0
21,2021-09-20 23:00:00,3.221,3.2859,3.2161,3.2219,177.41
22,2021-09-22 23:00:00,3.348,3.348,3.348,3.348,0.0
23,2021-10-10 07:00:00,3.828,3.828,3.828,3.828,0.0
24,2021-10-12 04:00:00,3.682,3.7004,3.682,3.7004,18.91
25,2021-10-15 05:00:00,4.1402,4.6399,4.1402,4.6399,266.05
26,2021-10-19 02:00:00,4.6201,4.6201,4.6201,4.6201,0.0
27,2021-10-26 01:00:00,4.24,4.24,4.24,4.24,0.0
28,2021-10-29 04:00:00,4.0,4.0,4.0,4.0,46.88
29,2021-06-18 07:00:00,3.4838,3.5425,3.4838,3.5236,1015.12
30,2021-06-28 03:00:00,2.8712,2.8712,2.7936,2.7936,3.77
31,2021-07-17 10:00:00,2.4674,2.4674,2.4412,2.4412,8.25
32,2021-08-02 22:00:00,3.4026,3.4026,3.4026,3.4026,0.0
33,2021-08-18 23:00:00,4.1194,4.1858,4.1194,4.1858,42.82
34,2021-08-26 10:00:00,4.708,4.744,4.708,4.724,123.56
35,2021-08-27 10:00:00,4.425,4.4971,4.425,4.4971,8.21
36,2021-08-30 00:00:00,4.439,4.459,4.431,4.431,76.14
37,2021-09-02 13:00:00,4.8004,4.8421,4.8,4.8421,8.43
38,2021-09-03 15:00:00,5.4,5.4,5.3548,5.3548,5.79
39,2021-09-11 00:00:00,3.9,3.9,3.9,3.9,0.0
40,2021-09-14 07:00:00,3.886,3.886,3.886,3.886,0.0
41,2021-10-07 13:00:00,3.9151,3.9151,3.9151,3.9151,0.0
42,2021-10-12 00:00:00,3.8406,3.8406,3.7,3.7,178.61
43,2021-10-27 22:00:00,3.874,3.874,3.874,3.874,17.0
44,2021-11-02 11:00:00,4.703,4.889,4.703,4.766,500.24
45,2021-11-11 17:00:00,4.564,4.564,4.478,4.478,2.78
46,2021-06-17 06:00:00,3.7632,3.8442,3.7632,3.8442,1160.91
47,2021-06-19 22:00:00,3.4537,3.4537,3.3741,3.3742,263.65
48,2021-06-24 14:00:00,2.814,2.815,2.7759,2.8084,659.56
49,2021-07-03 22:00:00,2.9507,2.9507,2.8971,2.8971,20.17
50,2021-07-16 17:00:00,2.6451,2.6451,2.6451,2.6451,0.0
51,2021-08-07 00:00:00,3.4271,3.4271,3.4149,3.4162,36.4
52,2021-08-13 12:00:00,4.0299,4.0299,4.0299,4.0299,2.47
53,2021-08-21 06:00:00,4.598,4.6353,4.598,4.6353,4.21
54,2021-08-21 20:00:00,4.6015,4.6015,4.6015,4.6015,0.0
55,2021-08-26 22:00:00,4.6157,4.6157,4.6157,4.6157,0.0
56,2021-09-15 23:00:00,4.3071,4.3071,4.2488,4.2488,23.33
57,2021-09-17 12:00:00,3.871,3.871,3.871,3.871,0.0
58,2021-10-16 21:00:00,4.6474,4.6474,4.6474,4.6474,0.0
59,2021-10-18 11:00:00,4.3195,4.7555,4.3195,4.7555,1.02
60,2021-10-23 15:00:00,4.088,4.088,4.08,4.087,101.74
61,2021-10-24 11:00:00,4.1331,4.1331,4.0689,4.0689,53.45
62,2021-10-26 11:00:00,4.347,4.35,4.344,4.344,26.07
63,2021-11-03 07:00:00,5.3097,5.3097,5.126,5.126,857.8
64,2021-11-04 00:00:00,4.958,4.969,4.849,4.854,1029.47
65,2021-11-08 16:00:00,4.9,4.9,4.745,4.745,25.06
66,2021-11-08 22:00:00,4.8,4.8,4.8,4.8,0.0
67,2021-11-10 04:00:00,4.935,4.935,4.852,4.889,414.41
68,2021-11-10 15:00:00,4.882,4.882,4.793,4.807,11.36
69,2021-07-18 14:00:00,2.5214,2.5214,2.4339,2.4386,40.66
70,2021-07-19 16:00:00,2.272,2.272,2.272,2.272,0.0
71,2021-07-31 00:00:00,3.3649,3.384,3.3371,3.367,2151.98
72,2021-08-25 20:00:00,5.0536,5.0536,5.0536,5.0536,0.0
73,2021-08-28 11:00:00,4.627,4.627,4.568,4.568,68.07
74,2021-09-15 04:00:00,4.0617,4.0617,4.0,4.0,10.28
75,2021-09-16 23:00:00,4.0468,4.0468,4.0289,4.038,119.69
76,2021-09-17 15:00:00,3.9001,3.9279,3.9001,3.9279,1.0
77,2021-09-28 23:00:00,3.2769,3.2769,3.18,3.18,15.58
78,2021-10-23 13:00:00,4.0611,4.0659,4.06,4.06,38.0
79,2021-10-27 03:00:00,4.2629,4.2629,4.2389,4.2549,38.99
80,2021-10-31 09:00:00,4.24,4.24,4.191,4.205,57.29
81,2021-11-01 10:00:00,4.401,4.401,4.401,4.401,47.32
82,2021-11-06 14:00:00,4.646,4.7729,4.646,4.76,58.76
83,2021-11-08 11:00:00,4.782,4.9497,4.782,4.9497,12.13
84,2021-11-10 21:00:00,4.928,4.928,4.891,4.891,5.65
85,2021-06-21 19:00:00,2.9863,2.9863,2.8931,2.8931,62.29
86,2021-06-25 14:00:00,2.5922,2.6451,2.5777,2.5908,571.67
87,2021-06-29 08:00:00,3.0071,3.0071,2.9631,2.9944,60.91
88,2021-06-30 00:00:00,3.06,3.1035,3.06,3.1035,22.45
89,2021-07-13 06:00:00,2.8047,2.8591,2.8047,2.8591,1400.52
90,2021-07-15 14:00:00,2.6021,2.6303,2.6021,2.6303,38.51
91,2021-07-15 17:00:00,2.6361,2.6361,2.6104,2.6104,6.7
92,2021-07-26 12:00:00,2.8045,2.8045,2.7541,2.7828,566.6
93,2021-08-19 08:00:00,4.0857,4.1797,4.0857,4.1774,802.4
94,2021-09-04 06:00:00,5.4161,5.6018,5.4161,5.5699,137.97
95,2021-09-06 23:00:00,5.281,5.281,5.203,5.203,92.58
96,2021-09-14 09:00:00,3.886,3.976,3.886,3.976,5.53
97,2021-09-20 20:00:00,3.221,3.221,3.221,3.221,0.0
98,2021-09-24 20:00:00,3.0751,3.1387,3.0751,3.1387,29.33
99,2021-09-30 20:00:00,3.458,3.458,3.404,3.404,16.8
100,2021-10-12 08:00:00,3.8439,3.8439,3.763,3.763,4.12
101,2021-10-22 23:00:00,4.089,4.1358,4.089,4.1358,2.0
102,2021-10-26 13:00:00,4.28,4.3674,4.28,4.314,1.45
103,2021-11-09 08:00:00,4.805,4.805,4.805,4.805,5.59
104,2021-11-12 02:00:00,4.56,4.56,4.56,4.56,0.0
105,2021-06-23 19:00:00,2.739,2.7526,2.6817,2.6817,667.33
106,2021-07-03 01:00:00,2.7776,2.7776,2.7776,2.7776,0.0
107,2021-07-04 00:00:00,2.9491,2.9491,2.93,2.93,39.97
108,2021-07-14 14:00:00,2.7968,2.8161,2.7968,2.8161,97.81
109,2021-07-24 21:00:00,2.4557,2.4557,2.4557,2.4557,0.0
110,2021-08-16 14:00:00,4.2524,4.2524,4.2304,4.2304,5.0
111,2021-08-31 02:00:00,4.508,4.508,4.4441,4.4441,80.72
112,2021-09-01 11:00:00,4.6555,4.7199,4.6555,4.7198,103.67
113,2021-09-01 23:00:00,4.949,4.949,4.8648,4.8648,44.71
114,2021-09-07 13:00:00,4.835,4.951,4.835,4.8868,78.57
115,2021-09-08 10:00:00,4.0419,4.0419,3.919,3.919,264.72
116,2021-09-15 15:00:00,4.1609,4.331,4.1609,4.3169,1613.58
117,2021-09-16 18:00:00,4.08,4.082,4.053,4.078,758.31
118,2021-09-20 11:00:00,3.4491,3.4491,3.252,3.2918,2418.8
119,2021-09-29 08:00:00,3.37,3.37,3.37,3.37,0.0
120,2021-10-14 12:00:00,4.405,4.405,4.365,4.365,9.04
121,2021-10-25 02:00:00,3.995,4.08,3.995,4.074,629.42
122,2021-11-06 16:00:00,4.6,4.8,4.6,4.8,8.37
123,2021-06-14 15:00:00,3.7298,3.7298,3.55,3.63,978.33
124,2021-06-21 22:00:00,2.8057,2.8057,2.6937,2.6938,443.64
125,2021-06-22 08:00:00,2.6836,2.6836,2.5456,2.5488,1014.27
126,2021-07-03 13:00:00,2.8324,2.8324,2.8297,2.8297,23.1
127,2021-07-23 20:00:00,2.306,2.3442,2.306,2.3442,510.97
128,2021-08-26 07:00:00,4.7724,5.1935,4.7724,5.1935,2.48
129,2021-08-28 05:00:00,4.6449,4.6449,4.6039,4.6039,0.67
130,2021-08-29 05:00:00,4.392,4.412,4.3461,4.412,24.35
131,2021-09-03 18:00:00,5.32,5.4409,5.32,5.353,51.0
132,2021-09-04 02:00:00,5.4011,5.4918,5.4011,5.4918,24.75
133,2021-09-16 14:00:00,4.115,4.115,4.115,4.115,0.0
134,2021-09-19 22:00:00,3.8291,3.8291,3.81,3.81,1.67
135,2021-09-30 07:00:00,3.3533,3.3533,3.349,3.349,54.48
136,2021-10-07 10:00:00,3.748,4.0999,3.7465,3.9011,55.83
137,2021-10-08 02:00:00,3.8819,3.8819,3.8199,3.8199,24.97
138,2021-10-10 02:00:00,3.78,3.78,3.766,3.769,11.28
139,2021-10-19 08:00:00,4.544,4.544,4.411,4.411,43.0
140,2021-10-20 13:00:00,4.4129,4.4129,4.4129,4.4129,0.0
