,Date,Open,High,Low,Close,Volume
0,2021-10-26,8.202,9.8,7.686,9.299,14700.3
1,2021-10-27,7.829,10.0,7.79,8.556,4064.3
2,2021-10-28,8.817,17.768,7.8,9.723,6323.099999999999
3,2021-10-29,9.092,10.177,8.6,9.764,1407.0000000000002
4,2021-10-30,9.114,9.7,8.51,9.289,971.6000000000001
5,2021-10-31,8.323,9.109,8.108,8.208,1436.5999999999997
6,2021-11-01,9.1,9.474,8.589,8.59,1838.6999999999998
7,2021-11-02,9.411,9.961,8.59,9.915,1596.8999999999999
8,2021-11-03,9.78,9.78,8.828,9.02,1299.5
9,2021-11-04,9.16,9.232,8.622,9.05,708.8999999999999
10,2021-11-05,9.263,9.342,8.8,8.975,1075.8
11,2021-11-06,8.914,9.5,8.577,9.069,2476.2
12,2021-11-07,9.073,9.5,8.1,9.286,1344.7
13,2021-11-08,9.3,9.68,8.61,9.3,657.5000000000001
14,2021-11-09,9.051,9.668,8.929,9.068,1704.2
15,2021-11-10,8.82,9.158,8.509,8.797,1836.6000000000001
16,2021-11-11,8.31,8.673,7.447,8.391,6811.4
