,Date,Open,High,Low,Close,Volume
0,2021-10-28 00:00:00,8.817,8.817,8.627,8.788,91.8
1,2021-11-03 02:00:00,9.78,9.78,9.622,9.622,23.7
2,2021-11-04 03:00:00,9.16,9.232,9.16,9.232,0.3
3,2021-11-10 13:00:00,8.82,8.9,8.82,8.9,4.1
4,2021-10-28 12:00:00,10.24,11.196,10.24,10.328,975.3
5,2021-11-05 18:00:00,9.263,9.263,9.263,9.263,0.0
6,2021-11-07 02:00:00,9.073,9.22,9.073,9.22,0.3
7,2021-11-07 19:00:00,9.178,9.458,8.1,8.501,268.3
8,2021-11-08 01:00:00,9.3,9.3,9.286,9.286,3.2
9,2021-11-09 07:00:00,9.051,9.051,9.051,9.051,1.0
10,2021-10-25 23:00:00,7.515,8.0,7.515,8.0,164.0
11,2021-11-04 05:00:00,9.0,9.05,8.901,9.03,34.9
12,2021-11-11 02:00:00,8.31,8.489,8.029,8.063,312.4
13,2021-11-06 08:00:00,8.914,8.931,8.8,8.931,1.8
14,2021-11-08 22:00:00,9.389,9.668,9.389,9.668,12.4
15,2021-11-12 03:00:00,8.302,8.302,8.302,8.302,0.0
16,2021-10-27 10:00:00,7.829,8.2,7.79,8.062,147.5
17,2021-11-04 12:00:00,8.945,8.945,8.932,8.932,24.2
18,2021-11-05 06:00:00,8.835,8.999,8.818,8.98,46.3
19,2021-11-07 10:00:00,9.236,9.236,9.236,9.236,107.7
20,2021-10-30 05:00:00,9.114,9.19,9.114,9.19,10.0
21,2021-10-30 16:00:00,9.199,9.199,9.199,9.199,19.3
22,2021-11-01 21:00:00,9.1,9.1,8.882,8.882,71.4
23,2021-11-05 21:00:00,9.064,9.064,9.0,9.0,2.3
24,2021-11-10 16:00:00,8.982,8.982,8.9,8.9,8.2
25,2021-10-30 11:00:00,9.3,9.3,9.228,9.228,25.3
26,2021-11-06 00:00:00,9.0,9.0,9.0,9.0,0.0
27,2021-11-12 10:00:00,8.065,8.215,8.065,8.215,3.8
28,2021-10-28 18:00:00,9.242,9.748,9.0,9.748,30.5
29,2021-11-09 01:00:00,9.659,9.668,9.659,9.668,11.7
30,2021-10-31 22:00:00,8.323,8.323,8.323,8.323,0.0
31,2021-11-02 18:00:00,9.411,9.696,9.411,9.696,138.6
32,2021-11-03 13:00:00,9.078,9.196,9.078,9.196,6.8
33,2021-11-04 23:00:00,8.854,8.854,8.854,8.854,0.0
34,2021-11-06 17:00:00,8.919,9.288,8.919,8.952,19.9
35,2021-10-30 04:00:00,9.218,9.218,9.0,9.114,42.1
36,2021-11-08 19:00:00,8.809,9.672,8.801,9.39,174.4
37,2021-11-10 23:00:00,8.72,8.72,8.509,8.673,366.6
38,2021-10-27 22:00:00,9.045,9.055,9.045,9.055,2.8
39,2021-11-02 11:00:00,8.9,8.91,8.75,8.813,8.6
40,2021-11-03 12:00:00,9.362,9.362,9.02,9.196,37.9
41,2021-11-07 15:00:00,9.178,9.178,9.0,9.0,1.1
42,2021-11-08 11:00:00,9.222,9.436,9.062,9.436,51.5
43,2021-10-26 02:00:00,8.202,8.516,8.036,8.516,678.8
