,Date,Open,High,Low,Close,Volume
0,2021-05-14,1.915e-05,2.226e-05,1.83e-05,2.066e-05,100027867956.0
1,2021-05-15,1.781e-05,1.906e-05,1.51e-05,1.743e-05,74647553731.0
2,2021-05-16,1.725e-05,1.933e-05,1.252e-05,1.593e-05,87595143114.0
3,2021-05-17,1.687e-05,1.8e-05,1.425e-05,1.661e-05,86381055274.0
4,2021-05-18,1.585e-05,1.79e-05,1.537e-05,1.615e-05,51621720174.0
5,2021-05-19,1.183e-05,1.586e-05,7.49e-06,1.036e-05,113333910928.0
6,2021-05-20,9.98e-06,1.199e-05,8.15e-06,1.043e-05,98972396553.0
7,2021-05-21,9.4e-06,1.039e-05,6.7e-06,8.16e-06,72761277494.0
8,2021-05-22,7.46e-06,9.72e-06,6.8e-06,7.42e-06,65186478298.0
9,2021-05-23,7.51e-06,9.52e-06,6.95e-06,7.76e-06,92193650815.0
10,2021-05-24,8.12e-06,1.198e-05,7.63e-06,9.47e-06,107299059601.0
11,2021-05-25,9.92e-06,1.118e-05,8.72e-06,1.066e-05,73589611974.0
12,2021-05-26,9.39e-06,1.045e-05,9.19e-06,9.44e-06,51894587549.0
13,2021-05-27,9.01e-06,9.61e-06,8.48e-06,8.99e-06,45623742092.0
14,2021-05-28,8.15e-06,8.95e-06,7.55e-06,7.93e-06,28073369795.0
15,2021-05-29,7.96e-06,8.19e-06,7.29e-06,8.11e-06,14996509559.0
16,2021-05-30,7.79e-06,8.08e-06,7.54e-06,7.97e-06,15763492032.0
17,2021-05-31,7.76e-06,9.98e-06,7.68e-06,8.8e-06,46821384267.0
18,2021-06-01,9.33e-06,9.46e-06,8.35e-06,9.15e-06,47563288133.0
19,2021-06-02,8.85e-06,1.045e-05,8.56e-06,9.6e-06,59138149464.0
20,2021-06-03,9.64e-06,1.037e-05,9.32e-06,9.69e-06,70968080171.0
21,2021-06-04,9.06e-06,9.89e-06,8.35e-06,8.9e-06,65964707372.0
22,2021-06-05,8.52e-06,9.11e-06,8.16e-06,8.93e-06,32188591522.0
23,2021-06-06,8.52e-06,8.66e-06,8.35e-06,8.6e-06,18583756954.0
24,2021-06-07,8.56e-06,8.75e-06,7.56e-06,8.6e-06,31325493357.0
25,2021-06-08,6.99e-06,7.9e-06,6.26e-06,7.85e-06,85843208206.0
26,2021-06-09,7.17e-06,7.6e-06,6.87e-06,7.34e-06,43114593231.0
27,2021-06-10,7.11e-06,7.44e-06,6.8e-06,6.99e-06,61928425856.0
28,2021-06-11,6.77e-06,6.93e-06,6.12e-06,6.76e-06,60480434399.0
29,2021-06-12,5.82e-06,6.57e-06,5.52e-06,6.3e-06,86643243816.0
30,2021-06-13,6.93e-06,7.18e-06,6.09e-06,6.2e-06,40177725169.0
31,2021-06-14,6.88e-06,7.18e-06,6.62e-06,7.11e-06,59189957891.0
32,2021-06-15,7.12e-06,9.8e-06,6.91e-06,9.02e-06,137978148217.0
33,2021-06-16,8.92e-06,9.25e-06,8.14e-06,8.88e-06,130590152882.0
34,2021-06-17,7.84e-06,8.53e-06,7.69e-06,7.98e-06,71088467814.0
35,2021-06-18,7.7e-06,7.99e-06,7.02e-06,7.27e-06,48953649068.0
36,2021-06-19,8.09e-06,8.41e-06,7.21e-06,7.42e-06,73319489964.0
37,2021-06-20,7.35e-06,8.05e-06,7.13e-06,7.71e-06,45891479476.0
38,2021-06-21,7.8e-06,7.84e-06,6.16e-06,7.12e-06,58982926126.0
39,2021-06-22,6.3e-06,7e-06,5.61e-06,6.46e-06,92589163658.0
40,2021-06-23,6.7e-06,7.05e-06,6.21e-06,6.73e-06,45299046291.0
41,2021-06-24,6.73e-06,7.37e-06,6.54e-06,6.79e-06,34817553734.0
42,2021-06-25,6.89e-06,8.39e-06,6.71e-06,6.87e-06,102738633329.0
43,2021-06-26,7.12e-06,7.63e-06,6.92e-06,7.18e-06,40790845628.0
44,2021-06-27,7.44e-06,7.82e-06,7.27e-06,7.4e-06,20628101136.0
45,2021-06-28,7.8e-06,8.2e-06,6.65e-06,7.97e-06,38942409408.0
46,2021-06-29,9.24e-06,9.64e-06,8e-06,9.26e-06,122775480879.0
47,2021-06-30,8.85e-06,9.19e-06,7.98e-06,8.89e-06,60032076407.0
48,2021-07-01,8.22e-06,8.84e-06,8.16e-06,8.36e-06,23944196541.0
49,2021-07-02,8.32e-06,8.43e-06,8.05e-06,8.26e-06,13746483366.0
50,2021-07-03,8.7e-06,8.79e-06,8.24e-06,8.61e-06,20243047494.0
51,2021-07-04,8.76e-06,8.94e-06,8.48e-06,8.73e-06,19240375017.0
52,2021-07-05,8.42e-06,8.73e-06,8.19e-06,8.35e-06,28289602396.0
