,Date,Open,High,Low,Close,Volume
0,2021-05-16 23:00:00,1.725e-05,1.82e-05,1.656e-05,1.781e-05,12605261525.0
1,2021-05-22 09:00:00,7.46e-06,7.46e-06,7.1e-06,7.31e-06,2574357349.0
2,2021-05-31 02:00:00,7.76e-06,7.81e-06,7.68e-06,7.71e-06,359323023.0
3,2021-06-30 05:00:00,8.85e-06,8.95e-06,8.79e-06,8.92e-06,2851885250.0
4,2021-06-30 09:00:00,8.93e-06,8.97e-06,8.63e-06,8.69e-06,2702047804.0
5,2021-07-10 14:00:00,7.84e-06,7.88e-06,7.8e-06,7.84e-06,357328426.0
6,2021-07-14 22:00:00,7.34e-06,7.35e-06,7.22e-06,7.35e-06,47557358.0
7,2021-07-25 23:00:00,6.27e-06,6.37e-06,6.27e-06,6.36e-06,710041057.0
8,2021-07-28 10:00:00,6.27e-06,6.3e-06,6.26e-06,6.3e-06,356732853.0
9,2021-08-02 00:00:00,6.3e-06,6.3e-06,6.23e-06,6.24e-06,764543732.0
10,2021-08-03 12:00:00,6.24e-06,6.26e-06,6.21e-06,6.26e-06,482823070.0
11,2021-08-12 19:00:00,7.68e-06,7.71e-06,7.63e-06,7.66e-06,606156054.0
12,2021-08-16 22:00:00,9.18e-06,9.31e-06,9.1e-06,9.12e-06,1574833113.0
13,2021-09-06 20:00:00,7.2e-06,7.26e-06,7.19e-06,7.21e-06,226841279.0
14,2021-09-07 15:00:00,6.15e-06,6.48e-06,5.7e-06,5.75e-06,4527362367.0
15,2021-10-02 12:00:00,7.44e-06,7.53e-06,7.42e-06,7.5e-06,748071295.0
16,2021-10-04 21:00:00,1.34e-05,1.372e-05,1.274e-05,1.357e-05,13819392209.0
17,2021-10-11 11:00:00,2.868e-05,2.941e-05,2.798e-05,2.92e-05,8529325723.0
18,2021-10-13 01:00:00,2.937e-05,2.962e-05,2.913e-05,2.924e-05,1183471635.0
19,2021-10-16 12:00:00,2.611e-05,2.611e-05,2.55e-05,2.569e-05,1750360005.0
20,2021-10-23 04:00:00,2.795e-05,2.81e-05,2.784e-05,2.805e-05,749508456.0
21,2021-10-27 03:00:00,4.875e-05,5.014e-05,4.85e-05,5.014e-05,3194904650.0
22,2021-10-28 10:00:00,7.345e-05,8e-05,7.2e-05,7.9e-05,10081389408.0
23,2021-11-05 23:00:00,6.375e-05,6.48e-05,6.208e-05,6.208e-05,2032548834.0
24,2021-05-28 06:00:00,8.15e-06,8.2e-06,7.84e-06,8.1e-06,2688544317.0
25,2021-06-08 17:00:00,6.99e-06,7.12e-06,6.94e-06,7.11e-06,1672188599.0
26,2021-06-10 13:00:00,7.11e-06,7.12e-06,7e-06,7.06e-06,3180914071.0
27,2021-06-11 10:00:00,6.77e-06,6.83e-06,6.75e-06,6.8e-06,2219703581.0
28,2021-07-01 08:00:00,8.22e-06,8.45e-06,8.2e-06,8.29e-06,1963508700.0
29,2021-07-09 12:00:00,7.93e-06,7.96e-06,7.86e-06,7.94e-06,731985569.0
30,2021-07-12 13:00:00,7.7e-06,7.71e-06,7.65e-06,7.71e-06,764727533.0
31,2021-07-18 02:00:00,6.91e-06,6.95e-06,6.9e-06,6.93e-06,99390479.0
32,2021-08-17 15:00:00,8.95e-06,8.98e-06,8.71e-06,8.72e-06,3314230088.0
33,2021-09-13 20:00:00,6.53e-06,6.56e-06,6.52e-06,6.52e-06,49658280.0
34,2021-09-15 01:00:00,6.67e-06,6.69e-06,6.61e-06,6.61e-06,275543328.0
35,2021-09-20 18:00:00,7.26e-06,7.31e-06,7.03e-06,7.03e-06,639393648.0
36,2021-09-25 18:00:00,7.34e-06,7.36e-06,7.26e-06,7.28e-06,342413601.0
37,2021-10-03 23:00:00,8.4e-06,8.53e-06,8.33e-06,8.4e-06,927644830.0
