,Date,Open,High,Low,Close,Volume
0,2020-08,3.788,7.5,3.6,7.136,499349.818
1,2020-09,7.485,7.72,3.5,4.591,41949.926
2,2020-10,4.472,4.997,2.99,3.08,17997.345999999998
3,2020-11,2.85,5.795,2.472,4.796,43004.852999999996
4,2020-12,4.884,8.9,4.19,7.353,45627.941000000006
5,2021-01,8.263,19.49,7.266,18.446,65122.971000000005
6,2021-02,17.206,29.606,15.5,18.548,60926.789
7,2021-03,20.271,24.4,15.5,17.058,30780.479
8,2021-04,18.465,23.068,12.15,17.785,36880.414000000004
9,2021-05,18.032,25.981,9.5,12.968,49712.90400000001
10,2021-06,12.53,14.0,5.198,6.889,27132.566
11,2021-07,7.0,13.652,6.443,9.688,112231.13799999999
12,2021-08,10.256,16.496,8.866,11.531,76426.227
13,2021-09,12.062,15.762,9.207,9.642,59158.173999999985
14,2021-10,9.6,11.388,8.5,9.945,45707.231
