,Date,Open,High,Low,Close,Volume
0,2020-09-03,3.2489,3.6105,2.8732,3.3451,1160832.6099999999
1,2020-09-04,3.189,3.25,2.5419,3.0771,608115.47
2,2020-09-05,2.9555,3.1413,2.0522,2.68,35863.32999999999
3,2020-09-06,2.1151,2.6786,2.0,2.5602,64130.04000000001
4,2020-09-07,2.6468,2.7048,2.0809,2.4274,50590.94
5,2020-09-08,2.3479,2.4495,2.0763,2.1459,38134.96
6,2020-09-09,2.5,2.5743,2.1053,2.1382,41164.860000000015
7,2020-09-10,2.4182,2.559,2.275,2.3599,15815.599999999999
8,2020-09-11,2.2642,2.3911,2.1814,2.2735,14686.619999999999
9,2020-09-12,2.3344,2.4814,2.2633,2.2814,12847.339999999997
10,2020-09-13,2.4127,2.6202,2.2266,2.2651,62170.53999999999
11,2020-09-14,2.3273,2.4901,2.256,2.3989,274331.12
12,2020-09-15,2.4609,2.4945,2.0968,2.3972,480237.29
13,2020-09-16,1.7892,2.0968,1.7597,1.945,44611.009999999995
14,2020-09-17,1.839,1.9684,1.817,1.9594,20343.93
15,2020-09-18,2.0294,2.2442,1.904,2.0161,108636.12
16,2020-09-19,2.005,2.1258,1.9718,2.0201,16517.600000000002
17,2020-09-20,1.9696,2.0201,1.815,1.9083,62893.44
18,2020-09-21,1.877,1.9445,1.6396,1.7728,90461.48999999999
19,2020-09-22,1.7674,1.8605,1.6737,1.7609,32225.66
20,2020-09-23,1.7414,1.8904,1.7414,1.7595,34398.04
21,2020-09-24,1.7934,1.9809,1.75,1.8237,100439.12999999998
22,2020-09-25,1.86,2.0329,1.8538,1.9881,28363.420000000002
23,2020-09-26,1.9659,2.0026,1.8629,1.9028,21405.86
24,2020-09-27,1.8974,1.9154,1.8197,1.88,36124.490000000005
25,2020-09-28,1.8716,1.885,1.7844,1.8528,41333.200000000004
26,2020-09-29,1.7804,1.7967,1.728,1.7895,68658.98000000001
27,2020-09-30,1.7505,1.856,1.6889,1.7466,60322.96000000001
28,2020-10-01,1.826,1.9114,1.68,1.8603,28905.170000000002
29,2020-10-02,1.7577,1.7707,1.58,1.7577,75802.33999999998
30,2020-10-03,1.656,1.656,1.5965,1.6419,1828.1299999999999
31,2020-10-04,1.5627,1.611,1.5307,1.5627,15584.320000000002
32,2020-10-05,1.5793,1.6273,1.5176,1.55,14935.32
33,2020-10-06,1.5503,1.564,1.1666,1.4209,66672.0
34,2020-10-07,1.2538,1.3572,1.0989,1.1586,24482.620000000003
35,2020-10-08,1.2272,1.3015,1.1378,1.3015,7438.619999999999
36,2020-10-09,1.3747,1.4231,1.24,1.24,13926.16
37,2020-10-10,1.3728,1.3931,1.2682,1.3211,14617.43
38,2020-10-11,1.3073,1.3319,1.2212,1.2212,10135.259999999998
39,2020-10-12,1.2825,1.3579,1.2781,1.3375,15379.029999999997
40,2020-10-13,1.3422,1.3464,1.2637,1.3197,7232.72
41,2020-10-14,1.3276,1.3714,1.3093,1.325,25445.09
42,2020-10-15,1.425,1.56,1.3334,1.3978,102976.06999999999
43,2020-10-16,1.3224,1.4008,1.275,1.3224,32429.58
44,2020-10-17,1.3067,1.3069,1.2518,1.3067,11288.199999999999
45,2020-10-18,1.2941,1.2992,1.2685,1.2992,420.25
46,2020-10-19,1.2992,1.2992,1.1867,1.2649,18967.039999999997
47,2020-10-20,1.0763,1.1942,1.0498,1.1613,9165.320000000002
48,2020-10-21,1.123,1.1426,1.0423,1.1231,35781.109999999986
49,2020-10-22,1.0964,1.1483,1.0944,1.1133,12386.640000000001
50,2020-10-23,1.1248,1.1333,1.05,1.0698,9021.430000000002
51,2020-10-24,1.0947,1.097,1.0512,1.0782,7201.63
52,2020-10-25,1.0935,1.1247,1.0512,1.0967,5159.650000000001
53,2020-10-26,0.9629,1.1184,0.9439,0.9854,26441.050000000003
54,2020-10-27,1.1501,1.2255,1.0013,1.0556,80328.56000000001
55,2020-10-28,1.0426,1.1704,0.9752,0.992,47109.66999999999
56,2020-10-29,0.988,1.0607,0.9502,1.0127,20390.15
57,2020-10-30,1.004,1.0237,0.9648,0.9709,3709.51
58,2020-10-31,0.9929,1.0083,0.9717,1.0009,5055.59
59,2020-11-01,0.9926,1.0052,0.9679,0.9792,2994.7899999999995
60,2020-11-02,0.9951,1.0052,0.9455,0.9582,1774.0499999999995
61,2020-11-03,0.8767,1.0238,0.8472,0.8472,29275.62
62,2020-11-04,0.8402,0.8533,0.7984,0.8496,22958.289999999997
63,2020-11-05,0.8492,0.876,0.8129,0.8448,14187.58
64,2020-11-06,0.9418,0.9954,0.8558,0.9834,70032.24
65,2020-11-07,1.1933,1.1933,0.9954,1.1081,169683.87000000002
66,2020-11-08,1.1204,1.1318,1.0335,1.0471,39810.2
67,2020-11-09,1.0412,1.1217,1.0138,1.0603,103521.59
68,2020-11-10,1.1318,1.2162,1.0164,1.0903,122294.0
69,2020-11-11,1.1354,1.1958,1.0964,1.1206,17531.75
70,2020-11-12,1.0997,1.1168,1.0156,1.0639,36597.5
71,2020-11-13,1.0885,1.0917,1.0285,1.0852,15549.669999999998
72,2020-11-14,1.0186,1.0767,1.0095,1.0227,28216.620000000003
73,2020-11-15,1.0564,1.188,1.0447,1.0554,90399.79999999997
74,2020-11-16,1.2739,1.3393,1.1797,1.2549,106049.45999999999
75,2020-11-17,1.2211,1.2986,1.1711,1.2175,100195.84999999998
76,2020-11-18,1.16,1.2574,1.0947,1.194,182761.29999999996
77,2020-11-19,1.1065,1.1616,1.0821,1.1397,34305.42
78,2020-11-20,1.1868,1.2037,1.1091,1.1995,72529.49
79,2020-11-21,1.1866,1.2659,1.13,1.1663,139396.55999999997
80,2020-11-22,1.2159,1.2663,1.1436,1.207,7018.3
81,2020-11-23,1.271,1.3527,1.1712,1.2626,247095.67
82,2020-11-24,1.2479,1.3293,1.2,1.2608,17082.25
83,2020-11-25,1.241,1.2707,1.1761,1.2218,8630.1217
84,2020-11-26,0.9766,1.2218,0.9628,0.998,146789.81
85,2020-11-27,0.9853,1.0454,0.9628,0.9953,52135.56999999999
86,2020-11-28,0.98,1.0374,0.9676,0.9764,8461.2
87,2020-11-29,1.0319,1.0349,0.9916,0.9954,9709.45
88,2020-11-30,1.0553,1.0787,1.0177,1.0787,18724.14
