,Date,Open,High,Low,Close,Volume
0,2020-09,3.0705,3.6719,1.6396,1.7466,3685851.0900000003
1,2020-10,1.826,1.9114,0.9439,1.0009,750215.6599999999
2,2020-11,0.9926,1.3527,0.7984,1.0787,1915712.1617000003
3,2020-12,1.2089,1.34,0.8913,1.0233,178572.61999999997
4,2021-01,1.0498,2.4279,1.0069,2.1507,628952.8800000001
5,2021-02,2.46,8.5,2.1315,4.8999,502132.1500000001
6,2021-03,5.5,6.7,3.8662,5.3372,157419.19999999998
7,2021-04,5.4237,11.3106,5.0312,9.517,188429.55
8,2021-05,9.77,13.0,3.0,4.6578,104849.13
9,2021-06,4.7495,5.89,2.25,3.2822,62539.06
10,2021-07,3.4153,4.2181,2.4082,3.9912,25875.79
11,2021-08,4.06,10.2,3.8,8.214,132902.4
12,2021-09,8.63,13.7279,6.776,7.25,226248.90000000002
13,2021-10,8.157,9.3482,6.548,7.24,128123.14000000001
