,Date,Open,High,Low,Close,Volume
0,2020-08,0.1883,0.7829,0.18,0.6888,720843.0
1,2020-09,0.5788,0.62,0.3,0.5048,364843.0
2,2020-10,0.5023,0.66,0.3147,0.317,304202.0
3,2020-11,0.317,0.447,0.2604,0.3498,452157.25
4,2020-12,0.3592,0.4,0.27,0.2811,264329.0
5,2021-01,0.2986,0.4804,0.285,0.4248,669495.0
6,2021-02,0.4206,0.9033,0.41,0.6674,637268.0
7,2021-03,0.6338,3.85,0.6154,2.788,1337928.0
8,2021-04,2.7,3.7092,1.2862,1.987,679273.0
9,2021-05,2.1178,2.7316,0.798,1.0718,457616.0
10,2021-06,1.059,1.3071,0.5,0.8216,300978.0
11,2021-07,0.7791,1.1146,0.68,1.0068,150994.0
12,2021-08,1.1096,1.6981,0.96,1.549,274707.0
13,2021-09,1.4847,2.0507,0.9811,1.0122,168729.0
14,2021-10,1.2031,2.85,1.065,2.052,500637.0
