,Date,Open,High,Low,Close,Volume
0,2020-11-19,0.4279,0.4411,0.4005,0.4131,14722.470000000001
1,2020-11-20,0.4087,0.4146,0.4002,0.4003,6814.7300000000005
2,2020-11-21,0.3908,0.4144,0.3906,0.4011,5839.04
3,2020-11-22,0.3908,0.4101,0.3775,0.4011,5298.5
4,2020-11-23,0.392,0.4111,0.385,0.4086,10742.97
5,2020-11-24,0.4111,0.5394,0.4111,0.4593,13709.789999999999
6,2020-11-25,0.7624,0.9,0.5298,0.6963,52101.24
7,2020-11-26,0.5548,0.64,0.4656,0.5548,29604.88
8,2020-11-27,0.5833,0.738,0.5548,0.7089,17368.420000000002
9,2020-11-28,0.6602,0.7821,0.643,0.6958,23219.430000000004
10,2020-11-29,0.653,0.6845,0.6383,0.6513,12482.61
11,2020-11-30,0.6416,0.6564,0.62,0.654,6463.869999999999
12,2020-12-01,0.6189,0.631,0.5672,0.6051,26750.02
13,2020-12-02,0.6175,0.638,0.5956,0.6173,8703.65
14,2020-12-03,0.5923,0.6151,0.5849,0.6033,15595.41
15,2020-12-04,0.5841,0.6033,0.5265,0.5629,12067.21
16,2020-12-05,0.5546,0.5626,0.5265,0.5265,9197.21
17,2020-12-06,0.5324,0.557,0.5254,0.5325,2825.28
18,2020-12-07,0.619,0.676,0.5324,0.5324,44515.53
19,2020-12-08,0.5961,0.6337,0.56,0.56,9258.990000000002
20,2020-12-09,0.5717,0.5825,0.5337,0.5513,13841.86
21,2020-12-10,0.5446,0.5718,0.5363,0.5689,511.37
22,2020-12-11,0.5122,0.5382,0.5122,0.5122,998.33
23,2020-12-12,0.537,0.55,0.5122,0.5326,567.04
24,2020-12-13,0.5706,0.6004,0.55,0.5783,8176.790000000001
25,2020-12-14,0.55,0.5706,0.5499,0.5574,5030.99
26,2020-12-15,0.5738,0.5738,0.5516,0.5738,1796.89
27,2020-12-16,0.5634,0.611,0.56,0.5665,3082.8700000000003
28,2020-12-17,0.6063,0.6248,0.5832,0.6061,2457.5699999999997
29,2020-12-18,0.5843,0.5863,0.5701,0.5773,2520.8500000000004
30,2020-12-19,0.5744,0.61,0.5744,0.61,925.55
31,2020-12-20,0.5875,0.61,0.5636,0.5891,978.27
32,2020-12-21,0.5636,0.6148,0.5176,0.5365,8511.119999999999
33,2020-12-22,0.5331,0.5355,0.5052,0.5167,5199.74
34,2020-12-23,0.5331,0.5515,0.4662,0.48,6864.829999999999
35,2020-12-24,0.4476,0.5621,0.4442,0.4522,6871.219999999999
36,2020-12-25,0.5023,0.5222,0.4835,0.5023,7022.65
37,2020-12-26,0.4916,0.5071,0.479,0.4899,308.86
38,2020-12-27,0.4825,0.4951,0.4548,0.4701,1452.3999999999999
39,2020-12-28,0.4951,0.5055,0.4816,0.5055,1216.4499999999998
40,2020-12-29,0.4563,0.4974,0.4439,0.4563,2591.1600000000003
41,2020-12-30,0.4575,0.49,0.4473,0.4473,3626.08
42,2020-12-31,0.49,0.5198,0.46,0.4819,8305.84
43,2021-01-01,0.4703,0.4877,0.4612,0.4792,1065.27
44,2021-01-02,0.4568,0.4808,0.4505,0.4688,761.06
45,2021-01-03,0.4473,0.4568,0.4322,0.4364,10567.76
46,2021-01-04,0.4211,0.4917,0.4197,0.425,15548.6
47,2021-01-05,0.4497,0.4508,0.4159,0.4473,10864.720000000001
48,2021-01-06,0.4854,0.4854,0.4297,0.4512,10965.91
49,2021-01-07,0.5046,0.5875,0.4297,0.52,30542.81
50,2021-01-08,0.4749,0.5086,0.4655,0.4808,21438.29
51,2021-01-09,0.5275,0.55,0.4697,0.522,10529.21
52,2021-01-10,0.48,0.59,0.48,0.5749,15734.559999999998
53,2021-01-11,0.4966,0.5165,0.4315,0.4503,10832.17
54,2021-01-12,0.4638,0.491,0.4503,0.4579,3451.1700000000005
55,2021-01-13,0.4555,0.4727,0.427,0.4503,7924.560000000001
56,2021-01-14,0.4934,0.4934,0.4651,0.4774,3851.49
57,2021-01-15,0.4716,0.5219,0.4507,0.4788,6193.75
58,2021-01-16,0.5208,0.54,0.4788,0.5208,6256.820000000001
59,2021-01-17,0.5195,0.5659,0.5008,0.5008,5625.659999999999
60,2021-01-18,0.5515,0.57,0.5307,0.5515,9960.88
61,2021-01-19,0.6166,0.6308,0.5515,0.5793,8528.96
62,2021-01-20,0.5421,0.615,0.5044,0.5341,13236.91
63,2021-01-21,0.52,0.5561,0.4947,0.52,7941.34
64,2021-01-22,0.5103,0.5277,0.4836,0.5103,5365.88
65,2021-01-23,0.5214,0.5511,0.5214,0.5295,2813.6400000000003
66,2021-01-24,0.548,0.5579,0.5423,0.548,3884.05
67,2021-01-25,0.5525,0.5578,0.537,0.5525,4263.06
68,2021-01-26,0.5525,0.5525,0.5069,0.525,1445.22
69,2021-01-27,0.5523,0.63,0.5339,0.5486,8230.43
70,2021-01-28,0.5868,0.6286,0.568,0.6157,10183.180000000002
71,2021-01-29,0.5741,0.65,0.5568,0.5568,13723.11
72,2021-01-30,0.6433,0.6925,0.6076,0.6509,17153.98
73,2021-01-31,0.6804,0.8346,0.6732,0.7582,28343.8
74,2021-02-01,0.6892,0.7899,0.6755,0.7882,14605.439999999999
75,2021-02-02,0.6909,0.7162,0.6772,0.6792,11497.300000000001
76,2021-02-03,0.7279,0.75,0.7145,0.726,10832.68
77,2021-02-04,0.719,0.73,0.6769,0.6947,13116.27
78,2021-02-05,0.7641,0.7874,0.6804,0.7874,23270.510000000002
79,2021-02-06,0.7498,0.81,0.7034,0.7582,8474.31
80,2021-02-07,0.7195,0.7521,0.7195,0.7369,1291.4199999999998
81,2021-02-08,0.7939,0.7939,0.7369,0.7369,1572.5800000000002
82,2021-02-09,0.85,1.085,0.7857,0.9221,12448.369999999999
83,2021-02-10,1.042,1.18,0.9765,1.0863,30678.789999999997
84,2021-02-11,1.0545,1.1123,1.0,1.0545,7478.750000000001
85,2021-02-12,1.0641,1.223,1.0335,1.1201,3480.1000000000004
86,2021-02-13,1.2222,1.2655,1.1378,1.2365,4362.5
87,2021-02-14,1.5724,3.89,1.1996,1.4462,170876.97000000003
88,2021-02-15,1.92,2.42,1.6116,1.8458,84756.76999999999
89,2021-02-16,1.8866,1.9232,1.5821,1.8698,25974.619999999995
90,2021-02-17,1.5737,1.7761,1.5186,1.6746,44620.640000000014
91,2021-02-18,1.7,1.7416,1.643,1.6834,25472.23
92,2021-02-19,1.6296,1.7004,1.5669,1.6104,18576.569999999996
93,2021-02-20,1.8718,1.9831,1.5611,1.7183,20907.34
94,2021-02-21,1.7898,1.8,1.6,1.677,12101.679999999998
95,2021-02-22,1.4373,1.79,1.3,1.638,22264.419999999995
96,2021-02-23,1.1641,1.4994,1.0099,1.0863,15436.490000000002
97,2021-02-24,1.2309,1.3819,1.1212,1.2444,6359.139999999999
98,2021-02-25,1.3642,1.3948,1.1956,1.2829,7794.369999999999
99,2021-02-26,1.157,1.2394,1.084,1.157,10488.15
100,2021-02-27,1.1826,1.2237,1.1373,1.2087,8898.289999999999
101,2021-02-28,1.0811,1.1755,1.011,1.0755,5316.06
