,Date,Open,High,Low,Close,Volume
0,2021-09-09,1.373,1.402,1.298,1.3329,26279.350000000002
1,2021-09-10,1.386,1.5309,1.3266,1.4878,9098.3
2,2021-09-11,1.3999,1.415,1.3299,1.41,3244.3300000000004
3,2021-09-12,1.415,1.446,1.371,1.44,16165.83
4,2021-09-13,1.49,1.5458,1.399,1.507,14911.140000000001
5,2021-09-14,1.5429,1.546,1.445,1.5429,7421.65
6,2021-09-15,1.549,1.56,1.511,1.556,7331.36
7,2021-09-16,1.532,1.5659,1.4842,1.541,9201.069999999998
8,2021-09-17,1.5005,1.5179,1.42,1.5005,1885.04
9,2021-09-18,1.428,1.484,1.428,1.459,2435.7400000000007
10,2021-09-19,1.45,1.467,1.395,1.451,9580.239999999996
11,2021-09-20,1.26,1.4529,1.155,1.216,145772.66999999993
12,2021-09-21,1.2699,1.349,1.1,1.317,153227.53
13,2021-09-22,1.325,1.371,1.154,1.325,88088.32
14,2021-09-23,1.331,1.441,1.27,1.4099,123500.76
15,2021-09-24,1.347,1.361,1.199,1.26,23083.29
16,2021-09-25,1.238,1.2856,1.218,1.224,14246.899999999998
17,2021-09-26,1.238,1.283,1.154,1.242,12941.54
18,2021-09-27,1.221,1.288,1.207,1.216,7083.879999999999
19,2021-09-28,1.143,1.218,1.143,1.201,463.15
20,2021-09-29,1.148,1.176,1.121,1.148,2963.8700000000003
21,2021-09-30,1.16,1.2159,1.134,1.158,7506.9
22,2021-10-01,1.3,1.3059,1.169,1.2,22103.39
23,2021-10-02,1.307,1.3629,1.302,1.3329,10839.919999999998
24,2021-10-03,1.334,1.353,1.298,1.3,3399.0199999999995
25,2021-10-04,1.377,1.427,1.268,1.298,16610.899999999998
26,2021-10-05,1.407,1.42,1.2858,1.376,5587.0599999999995
27,2021-10-06,1.395,1.4479,1.1212,1.359,14050.210000000001
28,2021-10-07,1.363,1.427,1.359,1.363,7558.74
29,2021-10-08,1.439,1.494,1.28,1.461,7303.350000000001
30,2021-10-09,1.6519,2.1164,1.424,1.445,170801.86000000002
31,2021-10-10,1.786,2.57,1.722,2.036,412586.7299999998
32,2021-10-11,1.979,2.2409,1.877,1.922,317351.22000000003
33,2021-10-12,1.993,2.178,1.826,1.98,243644.89999999997
34,2021-10-13,2.162,2.415,2.0199,2.164,192481.27999999997
35,2021-10-14,2.182,2.32,2.1,2.172,34138.1
36,2021-10-15,1.9951,2.226,1.93,2.118,11963.85
37,2021-10-16,1.9908,2.021,1.9003,1.97,15151.230000000001
38,2021-10-17,1.958,2.24,1.958,2.098,70011.13999999998
39,2021-10-18,2.452,2.82,2.167,2.446,150084.16999999995
40,2021-10-19,2.406,2.625,2.3,2.345,10827.45
41,2021-10-20,2.27,2.412,2.194,2.226,32399.790000000005
42,2021-10-21,2.313,2.4434,2.2,2.3297,17915.029999999995
43,2021-10-22,2.286,2.315,2.17,2.258,5788.81
44,2021-10-23,2.171,2.247,2.137,2.174,5730.82
45,2021-10-24,2.18,2.36,2.135,2.172,24230.24
46,2021-10-25,2.189,2.237,2.145,2.196,13314.480000000003
47,2021-10-26,2.189,2.22,2.1445,2.193,9479.91
48,2021-10-27,2.169,2.183,1.853,1.9,31759.410000000003
49,2021-10-28,1.856,1.971,1.8,1.842,12878.259999999998
50,2021-10-29,1.9348,2.002,1.85,1.972,10549.76
51,2021-10-30,1.914,1.992,1.81,1.888,6354.28
52,2021-10-31,1.846,1.888,1.776,1.805,6790.13
53,2021-11-01,1.908,2.058,1.778,1.909,55917.97000000001
54,2021-11-02,1.955,1.9821,1.86,1.8982,6710.689999999999
55,2021-11-03,2.03,2.1,1.87,2.03,22111.449999999997
56,2021-11-04,1.899,1.968,1.8668,1.8999,4568.1
57,2021-11-05,1.912,2.0,1.906,1.906,18624.950000000004
58,2021-11-06,1.94,2.011,1.901,1.901,11280.619999999999
59,2021-11-07,2.0088,2.1562,1.8791,2.069,11831.79
60,2021-11-08,2.0022,2.4,1.9,2.12,34352.71000000001
61,2021-11-09,2.239,2.27,2.0716,2.2329,33430.15000000001
62,2021-11-10,2.2444,2.2599,2.0,2.2113,2219.99
63,2021-11-11,2.0,2.1749,2.0,2.0346,3851.86
