,Date,Open,High,Low,Close,Volume
0,2021-01-05,3.187,3.969,3.156,3.856,7790.805999999998
1,2021-01-06,3.803,4.085,3.6,3.857,5827.149
2,2021-01-07,3.798,4.339,3.6,3.82,14553.955000000002
3,2021-01-08,3.855,4.476,3.398,4.395,6777.744
4,2021-01-09,4.904,5.0,4.2,4.316,1968.9070000000002
5,2021-01-10,4.576,4.842,4.303,4.576,2456.7850000000003
6,2021-01-11,3.727,4.328,3.243,4.0,2603.64
7,2021-01-12,4.226,4.625,3.738,3.738,3259.775
8,2021-01-13,4.531,5.15,4.064,4.064,3675.98
9,2021-01-14,5.369,5.77,5.078,5.352,5458.302
10,2021-01-15,5.906,6.9,5.5,5.544,4903.519999999999
11,2021-01-16,7.132,7.45,6.162,7.1,5973.320999999999
12,2021-01-17,6.982,7.803,6.806,7.659,5457.931999999999
13,2021-01-18,7.596,7.7,6.896,7.422,3993.9530000000004
14,2021-01-19,7.43,7.5,5.7,7.453,4033.4659999999994
15,2021-01-20,6.46,7.282,6.104,7.282,3621.672
16,2021-01-21,6.225,7.3,5.45,6.342,2150.542
17,2021-01-22,6.775,6.947,5.344,6.936,2323.9720000000007
18,2021-01-23,7.31,7.39,6.625,7.385,4121.204999999999
19,2021-01-24,7.585,8.51,7.005,7.689,4722.313
20,2021-01-25,8.376,9.4,7.5,7.764,7815.999000000001
21,2021-01-26,7.582,8.349,6.852,6.96,5921.568
22,2021-01-27,7.675,8.044,6.961,7.311,4601.951999999999
23,2021-01-28,8.174,8.613,6.999,7.6,8695.874
24,2021-01-29,7.996,8.983,7.735,8.308,3670.2670000000003
25,2021-01-30,9.688,10.38,8.424,9.7,7751.305
26,2021-01-31,10.6,11.0,9.6,9.9,5504.795999999999
27,2021-02-01,12.553,12.99,9.745,12.754,7176.145
28,2021-02-02,12.661,13.9,12.2,12.441,5942.904
29,2021-02-03,13.9,14.869,12.469,14.446,6444.073
30,2021-02-04,16.056,16.6,14.0,15.885,6174.311000000001
31,2021-02-05,15.572,16.0,14.741,15.428,6656.312999999998
32,2021-02-06,14.236,15.738,13.272,14.474,11533.473999999998
33,2021-02-07,13.158,14.036,11.8,12.608,7094.037999999999
34,2021-02-08,13.892,14.665,12.687,14.469,10414.965
35,2021-02-09,13.781,14.684,13.552,14.0,7005.053999999999
36,2021-02-10,14.281,15.754,13.994,14.81,5503.648999999999
37,2021-02-11,15.926,17.45,14.006,16.949,6798.428000000002
38,2021-02-12,16.134,17.253,15.711,16.407,2732.8769999999995
39,2021-02-13,16.162,17.2,16.0,16.3,1210.6349999999998
40,2021-02-14,15.1,16.722,14.9,15.35,1506.9730000000002
41,2021-02-15,17.75,18.25,12.5,16.525,5093.623
42,2021-02-16,16.48,17.896,15.783,16.286,2388.417
43,2021-02-17,16.285,17.442,15.001,16.373,2233.2760000000003
44,2021-02-18,16.234,16.899,15.678,16.229,2385.529
45,2021-02-19,15.0,16.431,14.017,15.087,12612.821000000004
46,2021-02-20,17.231,19.8,14.532,18.995,16248.699999999999
47,2021-02-21,17.787,19.366,16.997,17.346,3021.489000000001
48,2021-02-22,15.3,17.369,14.4,16.0,6343.185
49,2021-02-23,13.0,17.299,11.01,15.5,3869.934
50,2021-02-24,15.134,16.0,14.024,14.712,2961.7729999999992
51,2021-02-25,15.532,17.0,14.657,15.65,2310.6850000000004
52,2021-02-26,14.746,16.489,13.2,15.301,3702.4100000000003
53,2021-02-27,16.0,17.51,15.392,16.574,3052.2070000000003
54,2021-02-28,15.496,16.75,14.753,15.6,491.38300000000004
